appointment_id,location_id,service_type_id,scheduled_date,travel_minutes,override_flag,urgency,complexity_score,cancelled_label,day_of_week,is_weekend,month,is_winter,week_of_year,day_index
APT-000255,LOC-10,SVC-01,2025-08-14,40,False,Routine,13.4,1,3,0,8,1,33,13
APT-000260,LOC-05,SVC-07,2025-08-17,42,False,Routine,58.6,1,6,1,8,1,33,16
APT-000263,LOC-01,SVC-05,2025-08-14,36,False,Priority,13.2,1,3,0,8,1,33,13
APT-000264,LOC-05,SVC-01,2025-08-15,27,False,Priority,16.5,1,4,0,8,1,33,14
APT-000266,LOC-06,SVC-02,2025-08-15,19,False,Routine,27.7,1,4,0,8,1,33,14
APT-000270,LOC-02,SVC-02,2025-08-17,6,False,Routine,78.4,1,6,1,8,1,33,16
APT-000271,LOC-03,SVC-08,2025-08-16,25,False,Routine,33.2,1,5,1,8,1,33,15
APT-000272,LOC-10,SVC-05,2025-08-14,47,False,Priority,33.8,1,3,0,8,1,33,13
APT-000273,LOC-06,SVC-09,2025-08-14,30,False,Routine,26.6,1,3,0,8,1,33,13
APT-000274,LOC-07,SVC-05,2025-08-14,15,True,Urgent,91.6,1,3,0,8,1,33,13
APT-000275,LOC-07,SVC-02,2025-08-15,3,False,Priority,75.7,1,4,0,8,1,33,14
APT-000276,LOC-02,SVC-02,2025-08-16,36,False,Urgent,40.1,1,5,1,8,1,33,15
APT-000277,LOC-08,SVC-08,2025-08-15,8,False,Routine,13.3,1,4,0,8,1,33,14
APT-000285,LOC-01,SVC-02,2025-08-16,34,False,Routine,39.0,1,5,1,8,1,33,15
APT-000287,LOC-06,SVC-02,2025-08-17,18,False,Routine,86.9,1,6,1,8,1,33,16
APT-000291,LOC-07,SVC-03,2025-08-16,43,False,Routine,37.3,1,5,1,8,1,33,15
APT-000293,LOC-04,SVC-02,2025-08-15,16,False,Routine,79.7,1,4,0,8,1,33,14
APT-000296,LOC-03,SVC-02,2025-08-18,23,False,Priority,35.8,1,0,0,8,1,34,17
APT-000297,LOC-08,SVC-04,2025-08-16,13,False,Routine,16.0,1,5,1,8,1,33,15
APT-000298,LOC-05,SVC-01,2025-08-18,18,False,Routine,17.6,1,0,0,8,1,34,17
APT-000306,LOC-10,SVC-01,2025-08-17,64,False,Urgent,79.4,1,6,1,8,1,33,16
APT-000308,LOC-01,SVC-08,2025-08-18,28,False,Routine,21.2,1,0,0,8,1,34,17
APT-000313,LOC-07,SVC-02,2025-08-19,49,True,Routine,47.8,1,1,0,8,1,34,18
APT-000316,LOC-07,SVC-08,2025-08-18,32,False,Priority,61.9,1,0,0,8,1,34,17
APT-000317,LOC-01,SVC-03,2025-08-18,40,False,Priority,24.4,1,0,0,8,1,34,17
APT-000320,LOC-03,SVC-05,2025-08-18,46,False,Routine,22.1,1,0,0,8,1,34,17
APT-000321,LOC-09,SVC-09,2025-08-18,35,False,Routine,7.8,1,0,0,8,1,34,17
APT-000322,LOC-10,SVC-08,2025-08-18,7,True,Routine,5.7,1,0,0,8,1,34,17
APT-000323,LOC-05,SVC-02,2025-08-18,11,False,Urgent,59.0,1,0,0,8,1,34,17
APT-000325,LOC-01,SVC-01,2025-08-20,9,False,Routine,8.4,1,2,0,8,1,34,19
APT-000332,LOC-05,SVC-01,2025-08-19,11,False,Routine,43.3,1,1,0,8,1,34,18
APT-000342,LOC-09,SVC-05,2025-08-18,14,False,Routine,11.2,1,0,0,8,1,34,17
APT-000343,LOC-07,SVC-08,2025-08-18,41,False,Priority,9.8,1,0,0,8,1,34,17
APT-000347,LOC-04,SVC-02,2025-08-19,21,False,Routine,18.2,1,1,0,8,1,34,18
APT-000355,LOC-10,SVC-01,2025-08-23,32,False,Routine,28.6,1,5,1,8,1,34,22
APT-000356,LOC-04,SVC-03,2025-08-20,20,False,Priority,63.1,1,2,0,8,1,34,19
APT-000359,LOC-07,SVC-02,2025-08-20,49,False,Routine,31.9,1,2,0,8,1,34,19
APT-000360,LOC-07,SVC-02,2025-08-20,65,False,Routine,10.3,1,2,0,8,1,34,19
APT-000367,LOC-10,SVC-01,2025-08-20,11,False,Routine,36.3,1,2,0,8,1,34,19
APT-000369,LOC-07,SVC-09,2025-08-20,36,False,Emergency,91.6,1,2,0,8,1,34,19
APT-000376,LOC-03,SVC-07,2025-08-21,35,False,Routine,45.0,1,3,0,8,1,34,20
APT-000380,LOC-05,SVC-06,2025-08-20,25,False,Priority,37.0,1,2,0,8,1,34,19
APT-000381,LOC-06,SVC-01,2025-08-23,24,False,Routine,32.8,1,5,1,8,1,34,22
APT-000385,LOC-08,SVC-05,2025-08-20,36,False,Priority,16.3,1,2,0,8,1,34,19
APT-000387,LOC-07,SVC-04,2025-08-20,23,False,Priority,72.5,1,2,0,8,1,34,19
APT-000391,LOC-01,SVC-06,2025-08-22,14,False,Routine,36.5,1,4,0,8,1,34,21
APT-000392,LOC-09,SVC-02,2025-08-24,20,False,Routine,36.3,1,6,1,8,1,34,23
APT-000395,LOC-08,SVC-06,2025-08-25,46,False,Routine,24.8,1,0,0,8,1,35,24
APT-000397,LOC-10,SVC-05,2025-08-22,10,False,Routine,12.8,1,4,0,8,1,34,21
APT-000405,LOC-02,SVC-05,2025-08-21,16,False,Routine,24.0,1,3,0,8,1,34,20
APT-000406,LOC-04,SVC-07,2025-08-21,24,False,Routine,10.5,1,3,0,8,1,34,20
APT-000407,LOC-08,SVC-06,2025-08-21,8,False,Routine,34.7,1,3,0,8,1,34,20
APT-000409,LOC-05,SVC-06,2025-08-22,6,False,Routine,32.9,1,4,0,8,1,34,21
APT-000410,LOC-06,SVC-01,2025-08-23,3,False,Routine,13.8,1,5,1,8,1,34,22
APT-000413,LOC-07,SVC-07,2025-08-22,16,False,Routine,12.8,1,4,0,8,1,34,21
APT-000414,LOC-04,SVC-03,2025-08-22,24,False,Routine,16.2,1,4,0,8,1,34,21
APT-000416,LOC-04,SVC-04,2025-08-23,34,False,Routine,38.3,1,5,1,8,1,34,22
APT-000419,LOC-08,SVC-08,2025-08-25,30,False,Routine,11.9,1,0,0,8,1,35,24
APT-000421,LOC-06,SVC-07,2025-08-22,38,False,Routine,7.9,1,4,0,8,1,34,21
APT-000426,LOC-06,SVC-02,2025-08-23,48,False,Urgent,59.9,1,5,1,8,1,34,22
APT-000432,LOC-07,SVC-03,2025-08-24,35,False,Priority,14.4,1,6,1,8,1,34,23
APT-000442,LOC-06,SVC-02,2025-08-24,60,False,Routine,15.6,1,6,1,8,1,34,23
APT-000446,LOC-03,SVC-03,2025-08-24,24,False,Priority,35.3,1,6,1,8,1,34,23
APT-000448,LOC-01,SVC-08,2025-08-26,15,False,Routine,46.0,1,1,0,8,1,35,25
APT-000453,LOC-02,SVC-05,2025-08-25,38,False,Emergency,54.0,1,0,0,8,1,35,24
APT-000455,LOC-03,SVC-02,2025-08-25,18,False,Routine,16.1,1,0,0,8,1,35,24
APT-000456,LOC-06,SVC-02,2025-08-26,33,False,Routine,32.5,1,1,0,8,1,35,25
APT-000457,LOC-10,SVC-01,2025-08-26,44,False,Routine,14.4,1,1,0,8,1,35,25
APT-000458,LOC-04,SVC-05,2025-08-26,40,False,Routine,83.8,1,1,0,8,1,35,25
APT-000460,LOC-05,SVC-07,2025-08-25,38,True,Routine,41.0,1,0,0,8,1,35,24
APT-000463,LOC-08,SVC-04,2025-08-26,10,False,Routine,36.4,1,1,0,8,1,35,25
APT-000470,LOC-09,SVC-09,2025-08-26,44,False,Routine,49.5,1,1,0,8,1,35,25
APT-000471,LOC-07,SVC-01,2025-08-26,28,False,Priority,69.5,1,1,0,8,1,35,25
APT-000474,LOC-10,SVC-07,2025-08-25,9,False,Priority,25.5,1,0,0,8,1,35,24
APT-000483,LOC-08,SVC-01,2025-08-26,41,False,Routine,36.3,1,1,0,8,1,35,25
APT-000484,LOC-06,SVC-01,2025-08-27,37,False,Routine,14.1,1,2,0,8,1,35,26
APT-000489,LOC-07,SVC-06,2025-08-27,46,False,Urgent,66.0,1,2,0,8,1,35,26
APT-000493,LOC-10,SVC-03,2025-08-27,52,False,Routine,37.4,1,2,0,8,1,35,26
APT-000495,LOC-07,SVC-03,2025-08-28,9,False,Priority,67.8,1,3,0,8,1,35,27
APT-000508,LOC-02,SVC-01,2025-08-30,12,False,Routine,52.5,1,5,1,8,1,35,29
APT-000510,LOC-01,SVC-06,2025-08-27,12,False,Routine,13.5,1,2,0,8,1,35,26
APT-000511,LOC-03,SVC-01,2025-08-29,28,False,Routine,8.8,1,4,0,8,1,35,28
APT-000513,LOC-07,SVC-01,2025-08-29,28,False,Routine,32.6,1,4,0,8,1,35,28
APT-000521,LOC-06,SVC-05,2025-08-27,41,False,Priority,46.8,1,2,0,8,1,35,26
APT-000530,LOC-01,SVC-05,2025-08-28,12,False,Priority,65.8,1,3,0,8,1,35,27
APT-000531,LOC-09,SVC-01,2025-08-29,29,False,Priority,61.0,1,4,0,8,1,35,28
APT-000541,LOC-05,SVC-02,2025-08-29,38,False,Routine,1.0,1,4,0,8,1,35,28
APT-000543,LOC-03,SVC-07,2025-08-29,3,False,Routine,12.5,1,4,0,8,1,35,28
APT-000547,LOC-01,SVC-02,2025-08-30,29,False,Priority,29.4,1,5,1,8,1,35,29
APT-000548,LOC-02,SVC-02,2025-08-29,7,False,Routine,70.6,1,4,0,8,1,35,28
APT-000549,LOC-08,SVC-06,2025-08-29,8,False,Priority,55.4,1,4,0,8,1,35,28
APT-000555,LOC-07,SVC-09,2025-08-29,17,False,Routine,32.1,1,4,0,8,1,35,28
APT-000556,LOC-03,SVC-04,2025-08-28,14,False,Priority,13.7,1,3,0,8,1,35,27
APT-000560,LOC-09,SVC-06,2025-08-29,28,False,Priority,94.9,1,4,0,8,1,35,28
APT-000563,LOC-09,SVC-05,2025-08-29,12,False,Routine,36.1,1,4,0,8,1,35,28
APT-000564,LOC-08,SVC-02,2025-08-30,33,False,Routine,8.6,1,5,1,8,1,35,29
APT-000567,LOC-06,SVC-01,2025-08-29,3,False,Priority,27.7,1,4,0,8,1,35,28
APT-000572,LOC-06,SVC-02,2025-08-31,23,False,Routine,9.2,1,6,1,8,1,35,30
APT-000575,LOC-06,SVC-02,2025-08-30,27,False,Routine,9.0,1,5,1,8,1,35,29
APT-000577,LOC-02,SVC-05,2025-08-29,7,False,Priority,37.7,1,4,0,8,1,35,28
APT-000604,LOC-01,SVC-03,2025-09-01,27,False,Routine,35.0,1,0,0,9,0,36,31
APT-000607,LOC-09,SVC-02,2025-09-01,33,True,Urgent,65.0,1,0,0,9,0,36,31
APT-000609,LOC-06,SVC-08,2025-09-01,17,False,Urgent,79.9,1,0,0,9,0,36,31
APT-000617,LOC-03,SVC-02,2025-09-02,16,False,Routine,49.6,1,1,0,9,0,36,32
APT-000619,LOC-07,SVC-01,2025-09-04,39,False,Routine,4.9,1,3,0,9,0,36,34
APT-000623,LOC-08,SVC-01,2025-09-06,55,False,Routine,63.4,1,5,1,9,0,36,36
APT-000627,LOC-06,SVC-05,2025-09-02,40,False,Routine,23.2,1,1,0,9,0,36,32
APT-000628,LOC-08,SVC-06,2025-09-03,11,False,Routine,16.2,1,2,0,9,0,36,33
APT-000630,LOC-09,SVC-07,2025-09-03,29,False,Routine,73.1,1,2,0,9,0,36,33
APT-000634,LOC-01,SVC-02,2025-09-02,42,False,Routine,12.3,1,1,0,9,0,36,32
APT-000639,LOC-08,SVC-09,2025-09-02,19,False,Routine,9.4,1,1,0,9,0,36,32
APT-000642,LOC-07,SVC-04,2025-09-06,16,False,Routine,48.8,1,5,1,9,0,36,36
APT-000643,LOC-01,SVC-05,2025-09-03,39,False,Routine,40.9,1,2,0,9,0,36,33
APT-000645,LOC-03,SVC-07,2025-09-03,30,False,Priority,42.1,1,2,0,9,0,36,33
APT-000657,LOC-10,SVC-05,2025-09-05,18,False,Routine,35.1,1,4,0,9,0,36,35
APT-000660,LOC-03,SVC-01,2025-09-09,29,False,Routine,77.7,1,1,0,9,0,37,39
APT-000663,LOC-07,SVC-07,2025-09-05,40,False,Routine,64.3,1,4,0,9,0,36,35
APT-000665,LOC-02,SVC-08,2025-09-05,15,False,Priority,85.1,1,4,0,9,0,36,35
APT-000667,LOC-07,SVC-05,2025-09-09,39,False,Priority,72.8,1,1,0,9,0,37,39
APT-000668,LOC-04,SVC-06,2025-09-05,16,True,Routine,82.6,1,4,0,9,0,36,35
APT-000670,LOC-07,SVC-05,2025-09-05,11,False,Routine,37.7,1,4,0,9,0,36,35
APT-000673,LOC-05,SVC-02,2025-09-05,35,False,Routine,29.9,1,4,0,9,0,36,35
APT-000674,LOC-04,SVC-03,2025-09-07,46,False,Routine,20.3,1,6,1,9,0,36,37
APT-000677,LOC-01,SVC-02,2025-09-05,31,False,Priority,36.3,1,4,0,9,0,36,35
APT-000678,LOC-03,SVC-02,2025-09-05,12,False,Urgent,36.3,1,4,0,9,0,36,35
APT-000682,LOC-04,SVC-06,2025-09-05,25,True,Priority,59.4,1,4,0,9,0,36,35
APT-000683,LOC-04,SVC-02,2025-09-07,34,False,Routine,58.3,1,6,1,9,0,36,37
APT-000685,LOC-07,SVC-01,2025-09-05,7,False,Urgent,53.6,1,4,0,9,0,36,35
APT-000688,LOC-10,SVC-02,2025-09-05,39,False,Routine,15.6,1,4,0,9,0,36,35
APT-000691,LOC-01,SVC-08,2025-09-05,9,False,Routine,16.5,1,4,0,9,0,36,35
APT-000698,LOC-02,SVC-02,2025-09-07,21,False,Routine,14.1,1,6,1,9,0,36,37
APT-000700,LOC-06,SVC-02,2025-09-07,42,False,Routine,21.4,1,6,1,9,0,36,37
APT-000706,LOC-07,SVC-02,2025-09-07,44,True,Priority,63.1,1,6,1,9,0,36,37
APT-000708,LOC-09,SVC-05,2025-09-06,33,False,Routine,20.0,1,5,1,9,0,36,36
APT-000714,LOC-05,SVC-01,2025-09-07,3,False,Priority,36.3,1,6,1,9,0,36,37
APT-000715,LOC-09,SVC-05,2025-09-08,22,False,Routine,29.6,1,0,0,9,0,37,38
APT-000721,LOC-05,SVC-06,2025-09-09,21,False,Routine,64.3,1,1,0,9,0,37,39
APT-000722,LOC-02,SVC-02,2025-09-09,14,True,Routine,59.6,1,1,0,9,0,37,39
APT-000723,LOC-07,SVC-07,2025-09-08,25,False,Routine,14.9,1,0,0,9,0,37,38
APT-000730,LOC-10,SVC-01,2025-09-09,29,True,Routine,46.6,1,1,0,9,0,37,39
APT-000731,LOC-09,SVC-01,2025-09-08,9,False,Routine,16.6,1,0,0,9,0,37,38
APT-000733,LOC-04,SVC-02,2025-09-09,26,False,Routine,69.3,1,1,0,9,0,37,39
APT-000734,LOC-10,SVC-06,2025-09-11,31,False,Routine,18.3,1,3,0,9,0,37,41
APT-000738,LOC-09,SVC-04,2025-09-09,30,False,Routine,36.3,1,1,0,9,0,37,39
APT-000747,LOC-03,SVC-07,2025-09-11,13,False,Routine,9.0,1,3,0,9,0,37,41
APT-000749,LOC-04,SVC-03,2025-09-09,15,False,Routine,24.5,1,1,0,9,0,37,39
APT-000750,LOC-05,SVC-05,2025-09-09,8,False,Routine,36.8,1,1,0,9,0,37,39
APT-000752,LOC-07,SVC-06,2025-09-11,13,False,Routine,36.3,1,3,0,9,0,37,41
APT-000759,LOC-06,SVC-02,2025-09-10,39,False,Priority,17.3,1,2,0,9,0,37,40
APT-000761,LOC-03,SVC-01,2025-09-10,30,False,Routine,22.2,1,2,0,9,0,37,40
APT-000774,LOC-09,SVC-02,2025-09-10,35,False,Urgent,82.3,1,2,0,9,0,37,40
APT-000779,LOC-08,SVC-02,2025-09-11,10,False,Priority,8.7,1,3,0,9,0,37,41
APT-000781,LOC-06,SVC-02,2025-09-12,10,False,Routine,21.2,1,4,0,9,0,37,42
APT-000785,LOC-08,SVC-04,2025-09-11,23,False,Routine,43.0,1,3,0,9,0,37,41
APT-000786,LOC-07,SVC-02,2025-09-12,4,False,Priority,43.5,1,4,0,9,0,37,42
APT-000787,LOC-05,SVC-06,2025-09-11,13,False,Priority,16.8,1,3,0,9,0,37,41
APT-000789,LOC-08,SVC-04,2025-09-11,25,False,Routine,67.2,1,3,0,9,0,37,41
APT-000792,LOC-04,SVC-06,2025-09-11,36,False,Urgent,39.6,1,3,0,9,0,37,41
APT-000793,LOC-08,SVC-01,2025-09-12,30,False,Routine,13.2,1,4,0,9,0,37,42
APT-000800,LOC-08,SVC-01,2025-09-12,26,False,Routine,13.3,1,4,0,9,0,37,42
APT-000803,LOC-09,SVC-02,2025-09-15,21,False,Routine,94.1,1,0,0,9,0,38,45
APT-000805,LOC-02,SVC-02,2025-09-13,6,False,Urgent,88.8,1,5,1,9,0,37,43
APT-000807,LOC-06,SVC-03,2025-09-16,36,False,Routine,71.4,1,1,0,9,0,38,46
APT-000818,LOC-09,SVC-01,2025-09-12,28,False,Routine,36.3,1,4,0,9,0,37,42
APT-000822,LOC-03,SVC-02,2025-09-14,20,False,Priority,44.1,1,6,1,9,0,37,44
APT-000823,LOC-10,SVC-09,2025-09-13,24,False,Routine,2.2,1,5,1,9,0,37,43
APT-000825,LOC-05,SVC-02,2025-09-14,3,False,Routine,40.6,1,6,1,9,0,37,44
APT-000832,LOC-08,SVC-05,2025-09-16,3,False,Routine,29.4,1,1,0,9,0,38,46
APT-000839,LOC-07,SVC-02,2025-09-14,34,False,Routine,17.0,1,6,1,9,0,37,44
APT-000847,LOC-03,SVC-05,2025-09-15,3,False,Routine,39.7,1,0,0,9,0,38,45
APT-000851,LOC-02,SVC-08,2025-09-15,41,False,Priority,66.3,1,0,0,9,0,38,45
APT-000852,LOC-08,SVC-07,2025-09-15,19,False,Routine,9.9,1,0,0,9,0,38,45
APT-000854,LOC-09,SVC-01,2025-09-15,23,False,Priority,35.7,1,0,0,9,0,38,45
APT-000856,LOC-10,SVC-06,2025-09-15,35,False,Priority,33.2,1,0,0,9,0,38,45
APT-000861,LOC-05,SVC-05,2025-09-15,26,False,Priority,35.7,1,0,0,9,0,38,45
APT-000862,LOC-08,SVC-09,2025-09-15,19,False,Routine,16.1,1,0,0,9,0,38,45
APT-000865,LOC-08,SVC-05,2025-09-18,27,False,Routine,4.2,1,3,0,9,0,38,48
APT-000867,LOC-07,SVC-01,2025-09-19,16,False,Routine,60.3,1,4,0,9,0,38,49
APT-000871,LOC-01,SVC-04,2025-09-17,13,False,Routine,20.4,1,2,0,9,0,38,47
APT-000873,LOC-07,SVC-06,2025-09-18,22,False,Priority,87.9,1,3,0,9,0,38,48
APT-000875,LOC-02,SVC-06,2025-09-17,42,False,Priority,16.3,1,2,0,9,0,38,47
APT-000878,LOC-09,SVC-07,2025-09-18,20,False,Routine,29.9,1,3,0,9,0,38,48
APT-000879,LOC-09,SVC-02,2025-09-17,43,False,Routine,11.8,1,2,0,9,0,38,47
APT-000881,LOC-06,SVC-05,2025-09-16,40,False,Routine,47.6,1,1,0,9,0,38,46
APT-000883,LOC-02,SVC-07,2025-09-19,3,False,Priority,62.6,1,4,0,9,0,38,49
APT-000884,LOC-08,SVC-05,2025-09-17,47,False,Routine,11.8,1,2,0,9,0,38,47
APT-000886,LOC-02,SVC-05,2025-09-17,24,False,Routine,38.5,1,2,0,9,0,38,47
APT-000889,LOC-08,SVC-02,2025-09-17,3,False,Urgent,59.6,1,2,0,9,0,38,47
APT-000890,LOC-08,SVC-03,2025-09-17,19,False,Routine,13.6,1,2,0,9,0,38,47
APT-000893,LOC-08,SVC-01,2025-09-17,29,False,Routine,15.7,1,2,0,9,0,38,47
APT-000896,LOC-08,SVC-06,2025-09-19,45,False,Routine,37.6,1,4,0,9,0,38,49
APT-000898,LOC-02,SVC-03,2025-09-22,19,False,Routine,91.4,1,0,0,9,0,39,52
