request_id,location_id,service_type_id,urgency,requested_by,requested_channel,requested_date,complexity_score,complexity_tier,day_of_week,is_weekend,month,is_winter,week_of_year,day_index
REQ-000117,LOC-06,SVC-05,Emergency,Family Member,Referral,2025-08-06,38.9,Medium,2,0,8,1,32,5
REQ-000118,LOC-02,SVC-06,Priority,Client,Phone,2025-08-06,31.7,Medium,2,0,8,1,32,5
REQ-000119,LOC-07,SVC-06,Urgent,Case Manager,Portal,2025-08-06,55.5,High,2,0,8,1,32,5
REQ-000120,LOC-02,SVC-05,Urgent,Case Manager,Case Manager,2025-08-06,64.6,High,2,0,8,1,32,5
REQ-000121,LOC-08,SVC-02,Routine,Case Manager,Phone,2025-08-07,75.4,High,3,0,8,1,32,6
REQ-000123,LOC-08,SVC-06,Routine,Case Manager,Phone,2025-08-07,37.2,Medium,3,0,8,1,32,6
REQ-000124,LOC-10,SVC-01,Urgent,Family Member,Phone,2025-08-07,68.6,High,3,0,8,1,32,6
REQ-000125,LOC-08,SVC-02,Priority,Client,Referral,2025-08-07,34.5,Medium,3,0,8,1,32,6
REQ-000126,LOC-04,SVC-09,Routine,Client,Phone,2025-08-07,46.7,Medium,3,0,8,1,32,6
REQ-000127,LOC-06,SVC-02,Urgent,Family Member,Phone,2025-08-07,42.0,Medium,3,0,8,1,32,6
REQ-000128,LOC-03,SVC-01,Routine,Client,Phone,2025-08-07,24.7,Low,3,0,8,1,32,6
REQ-000129,LOC-08,SVC-05,Emergency,Family Member,Referral,2025-08-07,82.5,Critical,3,0,8,1,32,6
REQ-000131,LOC-02,SVC-04,Priority,Client,Case Manager,2025-08-07,51.5,High,3,0,8,1,32,6
REQ-000132,LOC-01,SVC-02,Routine,Case Manager,Referral,2025-08-07,32.1,Medium,3,0,8,1,32,6
REQ-000133,LOC-07,SVC-01,Urgent,Client,Phone,2025-08-07,72.1,High,3,0,8,1,32,6
REQ-000134,LOC-04,SVC-09,Priority,Client,Phone,2025-08-07,22.8,Low,3,0,8,1,32,6
REQ-000137,LOC-06,SVC-01,Routine,Case Manager,Portal,2025-08-07,15.8,Low,3,0,8,1,32,6
REQ-000138,LOC-02,SVC-06,Priority,Client,Referral,2025-08-07,40.6,Medium,3,0,8,1,32,6
REQ-000139,LOC-09,SVC-01,Priority,Client,Portal,2025-08-07,11.7,Low,3,0,8,1,32,6
REQ-000140,LOC-10,SVC-06,Priority,Client,Phone,2025-08-07,41.8,Medium,3,0,8,1,32,6
REQ-000141,LOC-10,SVC-05,Routine,Case Manager,Portal,2025-08-07,11.5,Low,3,0,8,1,32,6
REQ-000142,LOC-01,SVC-01,Urgent,GP / Clinician,Referral,2025-08-07,86.8,Critical,3,0,8,1,32,6
REQ-000144,LOC-02,SVC-01,Routine,Client,Portal,2025-08-07,32.8,Medium,3,0,8,1,32,6
REQ-000145,LOC-07,SVC-09,Priority,Case Manager,Case Manager,2025-08-07,91.2,Critical,3,0,8,1,32,6
REQ-000147,LOC-08,SVC-01,Routine,Client,Phone,2025-08-07,16.3,Low,3,0,8,1,32,6
REQ-000148,LOC-02,SVC-03,Routine,Client,Portal,2025-08-07,35.7,Medium,3,0,8,1,32,6
REQ-000149,LOC-10,SVC-05,Routine,Family Member,Phone,2025-08-07,72.2,High,3,0,8,1,32,6
REQ-000151,LOC-06,SVC-06,Routine,Family Member,Phone,2025-08-08,40.8,Medium,4,0,8,1,32,7
REQ-000152,LOC-10,SVC-06,Routine,Client,Portal,2025-08-08,14.3,Low,4,0,8,1,32,7
REQ-000154,LOC-04,SVC-01,Urgent,Family Member,Phone,2025-08-08,35.4,Medium,4,0,8,1,32,7
REQ-000158,LOC-05,SVC-01,Priority,Family Member,Portal,2025-08-08,13.2,Low,4,0,8,1,32,7
REQ-000159,LOC-06,SVC-07,Priority,Client,Case Manager,2025-08-08,27.1,Low,4,0,8,1,32,7
REQ-000160,LOC-06,SVC-05,Routine,Case Manager,Phone,2025-08-08,61.1,High,4,0,8,1,32,7
REQ-000161,LOC-04,SVC-09,Routine,Family Member,Portal,2025-08-08,45.7,Medium,4,0,8,1,32,7
REQ-000162,LOC-03,SVC-02,Routine,Case Manager,Portal,2025-08-08,27.6,Low,4,0,8,1,32,7
REQ-000164,LOC-01,SVC-05,Urgent,Case Manager,Phone,2025-08-08,93.0,Critical,4,0,8,1,32,7
REQ-000166,LOC-04,SVC-02,Routine,Client,Phone,2025-08-08,14.6,Low,4,0,8,1,32,7
REQ-000168,LOC-02,SVC-05,Routine,Client,Portal,2025-08-08,16.6,Low,4,0,8,1,32,7
REQ-000170,LOC-01,SVC-03,Routine,GP / Clinician,Portal,2025-08-08,34.6,Medium,4,0,8,1,32,7
REQ-000171,LOC-01,SVC-06,Priority,Client,Phone,2025-08-08,39.2,Medium,4,0,8,1,32,7
REQ-000172,LOC-01,SVC-04,Urgent,Case Manager,Portal,2025-08-08,62.4,High,4,0,8,1,32,7
REQ-000173,LOC-03,SVC-01,Urgent,GP / Clinician,Referral,2025-08-08,66.5,High,4,0,8,1,32,7
REQ-000174,LOC-06,SVC-09,Urgent,Case Manager,Phone,2025-08-08,66.4,High,4,0,8,1,32,7
REQ-000175,LOC-10,SVC-07,Priority,Case Manager,Referral,2025-08-08,59.4,High,4,0,8,1,32,7
REQ-000176,LOC-10,SVC-03,Routine,Client,Referral,2025-08-08,65.0,High,4,0,8,1,32,7
REQ-000177,LOC-05,SVC-06,Routine,Family Member,Portal,2025-08-09,33.1,Medium,5,1,8,1,32,8
REQ-000178,LOC-09,SVC-06,Routine,Family Member,Phone,2025-08-09,43.5,Medium,5,1,8,1,32,8
REQ-000179,LOC-05,SVC-07,Routine,Family Member,Phone,2025-08-09,64.8,High,5,1,8,1,32,8
REQ-000180,LOC-07,SVC-03,Urgent,Family Member,Portal,2025-08-09,8.2,Low,5,1,8,1,32,8
REQ-000181,LOC-07,SVC-09,Urgent,Client,Portal,2025-08-09,20.0,Low,5,1,8,1,32,8
REQ-000182,LOC-10,SVC-05,Urgent,GP / Clinician,Phone,2025-08-09,55.6,High,5,1,8,1,32,8
REQ-000183,LOC-09,SVC-02,Priority,Case Manager,Referral,2025-08-09,59.2,High,5,1,8,1,32,8
REQ-000185,LOC-06,SVC-05,Routine,Client,Referral,2025-08-09,8.3,Low,5,1,8,1,32,8
REQ-000186,LOC-05,SVC-02,Urgent,Family Member,Phone,2025-08-09,40.8,Medium,5,1,8,1,32,8
REQ-000187,LOC-09,SVC-03,Urgent,Family Member,Portal,2025-08-09,34.8,Medium,5,1,8,1,32,8
REQ-000188,LOC-03,SVC-04,Urgent,Family Member,Phone,2025-08-09,74.0,Critical,5,1,8,1,32,8
REQ-000189,LOC-07,SVC-05,Routine,Family Member,Portal,2025-08-09,59.6,High,5,1,8,1,32,8
REQ-000190,LOC-09,SVC-05,Routine,Client,Phone,2025-08-09,14.7,Low,5,1,8,1,32,8
REQ-000191,LOC-05,SVC-04,Urgent,Case Manager,Portal,2025-08-09,55.3,High,5,1,8,1,32,8
REQ-000192,LOC-01,SVC-01,Urgent,Case Manager,Portal,2025-08-09,39.7,Medium,5,1,8,1,32,8
REQ-000194,LOC-10,SVC-03,Urgent,Client,Case Manager,2025-08-10,28.7,Medium,6,1,8,1,32,9
REQ-000195,LOC-09,SVC-04,Routine,Family Member,Case Manager,2025-08-10,11.5,Low,6,1,8,1,32,9
REQ-000196,LOC-06,SVC-08,Routine,Client,Phone,2025-08-10,16.1,Low,6,1,8,1,32,9
REQ-000197,LOC-01,SVC-01,Routine,Client,Phone,2025-08-10,30.5,Medium,6,1,8,1,32,9
REQ-000198,LOC-05,SVC-07,Priority,Client,Referral,2025-08-10,7.4,Low,6,1,8,1,32,9
REQ-000199,LOC-05,SVC-02,Priority,Family Member,Phone,2025-08-10,65.3,High,6,1,8,1,32,9
REQ-000200,LOC-09,SVC-02,Urgent,GP / Clinician,Phone,2025-08-11,86.3,Critical,0,0,8,1,33,10
REQ-000202,LOC-01,SVC-07,Routine,Client,Case Manager,2025-08-11,7.9,Low,0,0,8,1,33,10
REQ-000203,LOC-05,SVC-01,Priority,Family Member,Portal,2025-08-11,35.9,Medium,0,0,8,1,33,10
REQ-000204,LOC-07,SVC-08,Urgent,Family Member,Case Manager,2025-08-11,17.4,Low,0,0,8,1,33,10
REQ-000205,LOC-07,SVC-05,Routine,Client,Phone,2025-08-11,38.3,Medium,0,0,8,1,33,10
REQ-000206,LOC-04,SVC-01,Routine,Client,Portal,2025-08-11,12.0,Low,0,0,8,1,33,10
REQ-000207,LOC-10,SVC-03,Routine,Case Manager,Phone,2025-08-11,25.9,Medium,0,0,8,1,33,10
REQ-000208,LOC-06,SVC-06,Urgent,Client,Phone,2025-08-11,78.1,Critical,0,0,8,1,33,10
REQ-000209,LOC-02,SVC-07,Urgent,Case Manager,Phone,2025-08-11,83.2,Critical,0,0,8,1,33,10
REQ-000210,LOC-08,SVC-01,Routine,Client,Referral,2025-08-11,22.6,Low,0,0,8,1,33,10
REQ-000211,LOC-03,SVC-07,Urgent,Case Manager,Portal,2025-08-11,63.8,High,0,0,8,1,33,10
REQ-000213,LOC-10,SVC-01,Routine,Case Manager,Referral,2025-08-11,28.0,Medium,0,0,8,1,33,10
REQ-000214,LOC-01,SVC-01,Routine,Client,Portal,2025-08-11,11.7,Low,0,0,8,1,33,10
REQ-000215,LOC-02,SVC-01,Routine,Family Member,Portal,2025-08-11,18.6,Low,0,0,8,1,33,10
REQ-000216,LOC-05,SVC-09,Urgent,GP / Clinician,Referral,2025-08-11,80.4,Critical,0,0,8,1,33,10
REQ-000217,LOC-03,SVC-05,Priority,Client,Portal,2025-08-11,42.8,Medium,0,0,8,1,33,10
REQ-000218,LOC-10,SVC-01,Routine,Family Member,Portal,2025-08-11,63.5,High,0,0,8,1,33,10
REQ-000219,LOC-04,SVC-08,Routine,Client,Phone,2025-08-11,36.3,Medium,0,0,8,1,33,10
REQ-000221,LOC-01,SVC-06,Urgent,GP / Clinician,Referral,2025-08-11,83.6,Critical,0,0,8,1,33,10
REQ-000222,LOC-09,SVC-01,Priority,GP / Clinician,Portal,2025-08-11,87.0,Critical,0,0,8,1,33,10
REQ-000223,LOC-03,SVC-02,Routine,Family Member,Phone,2025-08-11,85.7,Critical,0,0,8,1,33,10
REQ-000225,LOC-03,SVC-05,Routine,Client,Portal,2025-08-11,15.9,Low,0,0,8,1,33,10
REQ-000226,LOC-09,SVC-04,Routine,GP / Clinician,Phone,2025-08-11,38.0,Medium,0,0,8,1,33,10
REQ-000227,LOC-09,SVC-05,Routine,Case Manager,Phone,2025-08-12,67.0,High,1,0,8,1,33,11
REQ-000228,LOC-05,SVC-07,Routine,Client,Portal,2025-08-12,14.6,Low,1,0,8,1,33,11
REQ-000229,LOC-06,SVC-05,Routine,Case Manager,Portal,2025-08-12,15.1,Low,1,0,8,1,33,11
REQ-000230,LOC-05,SVC-02,Urgent,Family Member,Phone,2025-08-12,84.8,Critical,1,0,8,1,33,11
REQ-000231,LOC-02,SVC-09,Routine,Client,Portal,2025-08-12,4.0,Low,1,0,8,1,33,11
REQ-000232,LOC-08,SVC-09,Routine,Family Member,Case Manager,2025-08-12,32.5,Medium,1,0,8,1,33,11
REQ-000233,LOC-05,SVC-05,Routine,Family Member,Case Manager,2025-08-12,48.4,Medium,1,0,8,1,33,11
REQ-000234,LOC-03,SVC-04,Routine,Client,Portal,2025-08-12,12.8,Low,1,0,8,1,33,11
REQ-000235,LOC-07,SVC-02,Routine,Family Member,Portal,2025-08-12,38.7,Medium,1,0,8,1,33,11
REQ-000237,LOC-03,SVC-09,Routine,Family Member,Portal,2025-08-12,25.2,Low,1,0,8,1,33,11
REQ-000238,LOC-08,SVC-08,Urgent,Client,Phone,2025-08-12,45.3,Medium,1,0,8,1,33,11
REQ-000240,LOC-10,SVC-01,Priority,Client,Referral,2025-08-12,23.6,Low,1,0,8,1,33,11
REQ-000241,LOC-07,SVC-02,Urgent,Family Member,Referral,2025-08-12,26.6,Low,1,0,8,1,33,11
REQ-000243,LOC-01,SVC-06,Routine,Case Manager,Case Manager,2025-08-12,35.7,Medium,1,0,8,1,33,11
REQ-000244,LOC-05,SVC-01,Urgent,Client,Referral,2025-08-12,54.5,High,1,0,8,1,33,11
REQ-000245,LOC-01,SVC-05,Priority,Family Member,Phone,2025-08-12,54.7,High,1,0,8,1,33,11
REQ-000247,LOC-03,SVC-06,Routine,Case Manager,Phone,2025-08-12,87.6,Critical,1,0,8,1,33,11
REQ-000248,LOC-04,SVC-01,Priority,GP / Clinician,Phone,2025-08-12,41.4,Medium,1,0,8,1,33,11
REQ-000249,LOC-08,SVC-05,Priority,Client,Portal,2025-08-12,9.4,Low,1,0,8,1,33,11
REQ-000250,LOC-01,SVC-06,Routine,Case Manager,Phone,2025-08-12,43.7,Medium,1,0,8,1,33,11
REQ-000251,LOC-04,SVC-05,Routine,Client,Phone,2025-08-12,16.0,Low,1,0,8,1,33,11
REQ-000252,LOC-04,SVC-02,Priority,GP / Clinician,Phone,2025-08-12,65.4,High,1,0,8,1,33,11
REQ-000253,LOC-08,SVC-06,Routine,Client,Portal,2025-08-13,9.6,Low,2,0,8,1,33,12
REQ-000254,LOC-01,SVC-05,Emergency,Family Member,Portal,2025-08-13,93.9,Critical,2,0,8,1,33,12
REQ-000255,LOC-03,SVC-06,Priority,Client,Portal,2025-08-13,19.8,Low,2,0,8,1,33,12
REQ-000256,LOC-06,SVC-06,Urgent,Family Member,Referral,2025-08-13,70.1,High,2,0,8,1,33,12
REQ-000257,LOC-10,SVC-02,Routine,Family Member,Phone,2025-08-13,12.9,Low,2,0,8,1,33,12
REQ-000258,LOC-09,SVC-04,Routine,Family Member,Portal,2025-08-13,65.6,High,2,0,8,1,33,12
REQ-000259,LOC-03,SVC-02,Routine,Client,Phone,2025-08-13,65.0,High,2,0,8,1,33,12
REQ-000260,LOC-06,SVC-01,Routine,Case Manager,Portal,2025-08-13,43.1,Medium,2,0,8,1,33,12
REQ-000262,LOC-01,SVC-09,Routine,Case Manager,Portal,2025-08-13,17.9,Low,2,0,8,1,33,12
REQ-000263,LOC-06,SVC-01,Routine,Family Member,Referral,2025-08-13,38.9,Medium,2,0,8,1,33,12
REQ-000264,LOC-09,SVC-07,Routine,Client,Phone,2025-08-13,36.9,Medium,2,0,8,1,33,12
REQ-000265,LOC-02,SVC-08,Urgent,Family Member,Phone,2025-08-14,60.8,High,3,0,8,1,33,13
REQ-000266,LOC-08,SVC-03,Priority,Client,Portal,2025-08-14,14.4,Low,3,0,8,1,33,13
REQ-000267,LOC-03,SVC-01,Routine,Client,Portal,2025-08-14,22.3,Low,3,0,8,1,33,13
REQ-000268,LOC-01,SVC-05,Routine,Case Manager,Phone,2025-08-14,62.1,High,3,0,8,1,33,13
REQ-000269,LOC-02,SVC-02,Routine,Family Member,Referral,2025-08-14,31.5,Medium,3,0,8,1,33,13
REQ-000270,LOC-01,SVC-06,Priority,Family Member,Portal,2025-08-14,43.6,Medium,3,0,8,1,33,13
REQ-000272,LOC-01,SVC-04,Routine,Client,Referral,2025-08-14,60.9,High,3,0,8,1,33,13
REQ-000273,LOC-01,SVC-05,Priority,GP / Clinician,Referral,2025-08-14,68.4,High,3,0,8,1,33,13
REQ-000274,LOC-04,SVC-01,Urgent,Family Member,Case Manager,2025-08-14,77.7,Critical,3,0,8,1,33,13
REQ-000277,LOC-10,SVC-01,Routine,Client,Portal,2025-08-14,13.4,Low,3,0,8,1,33,13
REQ-000278,LOC-02,SVC-07,Priority,Client,Portal,2025-08-14,17.7,Low,3,0,8,1,33,13
REQ-000279,LOC-04,SVC-04,Routine,Client,Phone,2025-08-14,21.5,Low,3,0,8,1,33,13
REQ-000280,LOC-02,SVC-08,Routine,Case Manager,Case Manager,2025-08-14,62.8,High,3,0,8,1,33,13
REQ-000281,LOC-02,SVC-08,Routine,Client,Portal,2025-08-14,36.2,Medium,3,0,8,1,33,13
