request_id,requested_date,scheduled_date,completed_date,waiting_hours_to_schedule,waiting_days_to_schedule,sla_target_hours,sla_met_flag
REQ-000044,2025-08-04,2025-08-05,2025-08-05,31.3,1.3,24,False
REQ-000045,2025-08-04,2025-08-05,2025-08-05,35.6,1.48,218,True
REQ-000046,2025-08-04,2025-08-04,,17.6,0.73,94,True
REQ-000047,2025-08-04,2025-08-07,2025-08-07,77.1,3.21,94,True
REQ-000048,2025-08-04,2025-08-05,2025-08-05,27.9,1.16,79,True
REQ-000049,2025-08-04,2025-08-05,,30.8,1.28,79,True
REQ-000050,2025-08-04,2025-08-05,,32.3,1.35,168,True
REQ-000051,2025-08-04,2025-08-05,,30.8,1.28,185,True
REQ-000052,2025-08-04,2025-08-05,2025-08-05,25.5,1.06,94,True
REQ-000053,2025-08-04,2025-08-04,2025-08-04,14.6,0.61,79,True
REQ-000054,2025-08-04,2025-08-06,2025-08-06,65.4,2.72,168,True
REQ-000055,2025-08-04,2025-08-04,2025-08-04,16.0,0.67,79,True
REQ-000056,2025-08-04,2025-08-05,2025-08-05,30.5,1.27,72,True
REQ-000057,2025-08-04,2025-08-05,2025-08-05,36.9,1.54,94,True
REQ-000058,2025-08-04,2025-08-05,2025-08-05,30.5,1.27,24,False
REQ-000059,2025-08-04,2025-08-05,2025-08-05,27.0,1.13,168,True
REQ-000060,2025-08-04,2025-08-04,2025-08-04,21.5,0.9,72,True
REQ-000061,2025-08-04,2025-08-07,2025-08-07,77.2,3.22,72,False
REQ-000062,2025-08-04,2025-08-08,2025-08-08,97.1,4.05,185,True
REQ-000064,2025-08-04,2025-08-06,,66.9,2.79,168,True
REQ-000065,2025-08-04,2025-08-04,2025-08-04,14.0,0.58,5,False
REQ-000066,2025-08-04,2025-08-05,2025-08-05,28.4,1.18,218,True
REQ-000067,2025-08-04,2025-08-04,,6.3,0.26,72,True
REQ-000068,2025-08-04,2025-08-04,2025-08-04,9.6,0.4,94,True
REQ-000069,2025-08-05,2025-08-05,,3.5,0.14,218,True
REQ-000070,2025-08-05,2025-08-05,,20.2,0.84,168,True
REQ-000071,2025-08-05,2025-08-06,2025-08-06,29.6,1.23,5,False
REQ-000072,2025-08-05,2025-08-07,2025-08-07,51.9,2.16,24,False
REQ-000073,2025-08-05,2025-08-06,2025-08-06,27.3,1.14,185,True
REQ-000074,2025-08-05,2025-08-06,,25.1,1.05,79,True
REQ-000075,2025-08-05,2025-08-06,2025-08-06,29.7,1.24,72,True
REQ-000076,2025-08-05,2025-08-05,2025-08-05,16.1,0.67,168,True
REQ-000078,2025-08-05,2025-08-06,2025-08-06,27.5,1.15,94,True
REQ-000079,2025-08-05,2025-08-05,2025-08-05,17.7,0.74,24,True
REQ-000080,2025-08-05,2025-08-06,2025-08-06,30.3,1.26,168,True
REQ-000081,2025-08-05,2025-08-05,2025-08-05,9.1,0.38,24,True
REQ-000082,2025-08-05,2025-08-06,2025-08-06,44.4,1.85,4,False
REQ-000083,2025-08-05,2025-08-06,,35.1,1.46,168,True
REQ-000084,2025-08-05,2025-08-05,2025-08-05,22.7,0.95,26,True
REQ-000086,2025-08-05,2025-08-05,2025-08-05,17.7,0.74,218,True
REQ-000087,2025-08-05,2025-08-06,2025-08-06,24.0,1.0,94,True
REQ-000088,2025-08-05,2025-08-07,2025-08-07,50.6,2.11,185,True
REQ-000089,2025-08-05,2025-08-05,2025-08-05,4.9,0.2,185,True
REQ-000090,2025-08-05,2025-08-07,2025-08-07,69.0,2.88,168,True
REQ-000091,2025-08-05,2025-08-05,2025-08-05,4.3,0.18,218,True
REQ-000092,2025-08-05,2025-08-07,,49.4,2.06,218,True
REQ-000093,2025-08-05,2025-08-05,,22.2,0.93,72,True
REQ-000094,2025-08-05,2025-08-05,,21.2,0.88,168,True
REQ-000095,2025-08-05,2025-08-05,2025-08-05,6.3,0.26,168,True
REQ-000096,2025-08-06,2025-08-07,2025-08-07,29.5,1.23,72,True
REQ-000097,2025-08-06,2025-08-07,2025-08-07,39.7,1.65,94,True
REQ-000098,2025-08-06,2025-08-06,,3.4,0.14,168,True
REQ-000099,2025-08-06,2025-08-06,,7.6,0.32,218,True
REQ-000100,2025-08-06,2025-08-07,,30.6,1.27,24,False
REQ-000101,2025-08-06,2025-08-08,2025-08-08,61.2,2.55,218,True
REQ-000102,2025-08-06,2025-08-07,,40.3,1.68,218,True
REQ-000103,2025-08-06,2025-08-06,,14.6,0.61,218,True
REQ-000104,2025-08-06,2025-08-07,,31.4,1.31,72,True
REQ-000105,2025-08-06,2025-08-07,2025-08-07,43.6,1.81,168,True
REQ-000106,2025-08-06,2025-08-06,2025-08-06,13.8,0.58,94,True
REQ-000107,2025-08-06,2025-08-07,2025-08-07,24.3,1.01,5,False
REQ-000108,2025-08-06,2025-08-06,2025-08-06,17.7,0.74,218,True
REQ-000109,2025-08-06,2025-08-07,2025-08-07,29.0,1.21,31,True
REQ-000110,2025-08-06,2025-08-08,,64.1,2.67,168,True
REQ-000111,2025-08-06,2025-08-06,2025-08-06,7.1,0.3,5,False
REQ-000112,2025-08-06,2025-08-09,2025-08-09,85.4,3.56,72,False
REQ-000113,2025-08-06,2025-08-09,,74.4,3.1,218,True
REQ-000115,2025-08-06,2025-08-06,,16.7,0.7,72,True
REQ-000116,2025-08-06,2025-08-07,2025-08-07,24.5,1.02,31,True
REQ-000117,2025-08-06,2025-08-06,,7.4,0.31,4,False
REQ-000118,2025-08-06,2025-08-06,,14.8,0.62,72,True
REQ-000119,2025-08-06,2025-08-07,,29.7,1.24,26,False
REQ-000120,2025-08-06,2025-08-06,2025-08-06,10.2,0.42,24,True
REQ-000121,2025-08-07,2025-08-12,2025-08-12,143.0,5.96,218,True
REQ-000123,2025-08-07,2025-08-07,,9.7,0.4,218,True
REQ-000124,2025-08-07,2025-08-08,2025-08-08,31.0,1.29,31,False
REQ-000125,2025-08-07,2025-08-11,,104.6,4.36,94,False
REQ-000126,2025-08-07,2025-08-08,2025-08-08,39.8,1.66,168,True
REQ-000127,2025-08-07,2025-08-08,2025-08-08,28.8,1.2,26,False
REQ-000128,2025-08-07,2025-08-07,2025-08-07,19.7,0.82,168,True
REQ-000129,2025-08-07,2025-08-07,2025-08-07,15.5,0.64,5,False
REQ-000130,2025-08-07,2025-08-08,2025-08-08,44.6,1.86,79,True
REQ-000131,2025-08-07,2025-08-07,2025-08-07,23.7,0.99,72,True
REQ-000132,2025-08-07,2025-08-08,,27.6,1.15,168,True
REQ-000133,2025-08-07,2025-08-10,2025-08-10,91.8,3.83,26,False
REQ-000134,2025-08-07,2025-08-07,2025-08-07,8.1,0.34,72,True
REQ-000135,2025-08-07,2025-08-08,,24.9,1.04,218,True
REQ-000137,2025-08-07,2025-08-09,2025-08-09,54.2,2.26,185,True
REQ-000138,2025-08-07,2025-08-07,2025-08-07,20.5,0.86,72,True
REQ-000139,2025-08-07,2025-08-07,2025-08-07,15.9,0.66,94,True
REQ-000140,2025-08-07,2025-08-09,,69.8,2.91,94,True
REQ-000141,2025-08-07,2025-08-08,,47.4,1.98,218,True
REQ-000142,2025-08-07,2025-08-07,2025-08-07,20.4,0.85,24,True
REQ-000143,2025-08-07,2025-08-07,2025-08-07,9.9,0.41,24,True
REQ-000144,2025-08-07,2025-08-07,,12.8,0.53,168,True
REQ-000145,2025-08-07,2025-08-07,,15.6,0.65,79,True
REQ-000146,2025-08-07,2025-08-10,,76.6,3.19,168,True
REQ-000147,2025-08-07,2025-08-07,,20.2,0.84,218,True
REQ-000148,2025-08-07,2025-08-07,2025-08-07,5.6,0.23,168,True
REQ-000149,2025-08-07,2025-08-08,,27.1,1.13,218,True
REQ-000150,2025-08-08,2025-08-09,2025-08-09,37.4,1.56,168,True
REQ-000151,2025-08-08,2025-08-11,,72.5,3.02,185,True
REQ-000152,2025-08-08,2025-08-08,,6.0,0.25,218,True
REQ-000153,2025-08-08,2025-08-08,2025-08-08,3.2,0.13,4,True
REQ-000154,2025-08-08,2025-08-09,2025-08-09,42.4,1.77,24,False
REQ-000156,2025-08-08,2025-08-08,,7.7,0.32,168,True
REQ-000158,2025-08-08,2025-08-08,,19.8,0.82,72,True
REQ-000159,2025-08-08,2025-08-08,2025-08-08,14.3,0.6,79,True
REQ-000160,2025-08-08,2025-08-09,,45.5,1.9,185,True
REQ-000161,2025-08-08,2025-08-09,,28.9,1.21,168,True
REQ-000162,2025-08-08,2025-08-09,2025-08-09,41.2,1.72,168,True
REQ-000164,2025-08-08,2025-08-09,2025-08-09,35.6,1.48,24,False
REQ-000165,2025-08-08,2025-08-08,2025-08-08,1.4,0.06,168,True
REQ-000166,2025-08-08,2025-08-08,,8.8,0.37,168,True
REQ-000168,2025-08-08,2025-08-08,,13.8,0.58,168,True
REQ-000170,2025-08-08,2025-08-09,,35.8,1.49,168,True
REQ-000171,2025-08-08,2025-08-08,,7.2,0.3,72,True
REQ-000172,2025-08-08,2025-08-08,2025-08-08,9.0,0.38,24,True
REQ-000173,2025-08-08,2025-08-08,,8.4,0.35,24,True
REQ-000174,2025-08-08,2025-08-08,2025-08-08,21.2,0.88,26,True
REQ-000175,2025-08-08,2025-08-08,,18.0,0.75,94,True
REQ-000176,2025-08-08,2025-08-08,,11.4,0.48,218,True
REQ-000177,2025-08-09,2025-08-10,,34.0,1.42,168,True
REQ-000178,2025-08-09,2025-08-09,,12.9,0.54,218,True
REQ-000179,2025-08-09,2025-08-11,,51.2,2.13,168,True
REQ-000180,2025-08-09,2025-08-09,2025-08-09,16.3,0.68,26,True
REQ-000181,2025-08-09,2025-08-09,2025-08-09,21.8,0.91,26,True
REQ-000182,2025-08-09,2025-08-10,2025-08-10,33.6,1.4,31,False
REQ-000183,2025-08-09,2025-08-12,,82.6,3.44,94,True
REQ-000185,2025-08-09,2025-08-11,,67.6,2.82,185,True
REQ-000186,2025-08-09,2025-08-09,2025-08-09,16.9,0.7,24,True
REQ-000187,2025-08-09,2025-08-11,2025-08-11,50.3,2.1,31,False
REQ-000188,2025-08-09,2025-08-11,2025-08-11,68.1,2.84,24,False
REQ-000189,2025-08-09,2025-08-10,,24.6,1.03,185,True
REQ-000190,2025-08-09,2025-08-09,2025-08-09,18.8,0.78,218,True
REQ-000191,2025-08-09,2025-08-09,2025-08-09,10.7,0.45,24,True
REQ-000192,2025-08-09,2025-08-09,2025-08-09,9.0,0.37,24,True
REQ-000194,2025-08-10,2025-08-10,2025-08-10,15.1,0.63,31,True
REQ-000195,2025-08-10,2025-08-12,2025-08-12,53.5,2.23,218,True
REQ-000196,2025-08-10,2025-08-10,,15.2,0.63,185,True
REQ-000197,2025-08-10,2025-08-10,2025-08-10,19.0,0.79,168,True
REQ-000198,2025-08-10,2025-08-11,2025-08-11,45.8,1.91,72,True
REQ-000199,2025-08-10,2025-08-10,,16.0,0.67,72,True
REQ-000200,2025-08-11,2025-08-11,2025-08-11,15.4,0.64,31,True
REQ-000201,2025-08-11,2025-08-14,,73.1,3.05,168,True
REQ-000202,2025-08-11,2025-08-11,,18.4,0.77,168,True
REQ-000203,2025-08-11,2025-08-11,2025-08-11,11.4,0.48,72,True
REQ-000204,2025-08-11,2025-08-11,2025-08-11,5.1,0.21,26,True
REQ-000205,2025-08-11,2025-08-13,2025-08-13,62.4,2.6,185,True
REQ-000206,2025-08-11,2025-08-11,2025-08-11,22.8,0.95,168,True
REQ-000207,2025-08-11,2025-08-11,,8.6,0.36,218,True
REQ-000208,2025-08-11,2025-08-12,,27.8,1.16,26,False
REQ-000209,2025-08-11,2025-08-12,2025-08-12,25.5,1.06,24,False
REQ-000210,2025-08-11,2025-08-12,2025-08-12,27.6,1.15,218,True
REQ-000211,2025-08-11,2025-08-11,2025-08-11,16.4,0.68,24,True
REQ-000212,2025-08-11,2025-08-11,,21.4,0.89,218,True
REQ-000213,2025-08-11,2025-08-12,2025-08-12,37.1,1.55,218,True
REQ-000214,2025-08-11,2025-08-12,2025-08-12,43.0,1.79,168,True
REQ-000215,2025-08-11,2025-08-13,2025-08-13,55.2,2.3,168,True
REQ-000216,2025-08-11,2025-08-11,,17.4,0.72,24,True
REQ-000217,2025-08-11,2025-08-12,2025-08-12,47.6,1.99,72,True
REQ-000218,2025-08-11,2025-08-12,2025-08-12,44.5,1.85,218,True
REQ-000219,2025-08-11,2025-08-12,2025-08-12,33.0,1.37,168,True
REQ-000220,2025-08-11,2025-08-11,2025-08-11,20.3,0.85,168,True
REQ-000221,2025-08-11,2025-08-11,2025-08-11,15.1,0.63,24,True
REQ-000222,2025-08-11,2025-08-14,2025-08-14,90.1,3.75,94,True
REQ-000223,2025-08-11,2025-08-12,,43.0,1.79,168,True
REQ-000224,2025-08-11,2025-08-12,2025-08-12,26.0,1.08,185,True
REQ-000225,2025-08-11,2025-08-11,,8.0,0.33,168,True
REQ-000226,2025-08-11,2025-08-12,,25.2,1.05,218,True
REQ-000227,2025-08-12,2025-08-12,,17.3,0.72,218,True
REQ-000228,2025-08-12,2025-08-13,2025-08-13,33.6,1.4,168,True
REQ-000229,2025-08-12,2025-08-13,2025-08-13,25.8,1.08,185,True
REQ-000230,2025-08-12,2025-08-13,2025-08-13,33.3,1.39,24,False
REQ-000231,2025-08-12,2025-08-14,2025-08-14,49.0,2.04,168,True
REQ-000232,2025-08-12,2025-08-14,2025-08-14,69.9,2.91,218,True
REQ-000233,2025-08-12,2025-08-13,,26.4,1.1,168,True
REQ-000234,2025-08-12,2025-08-12,2025-08-12,19.5,0.81,168,True
REQ-000235,2025-08-12,2025-08-17,2025-08-17,126.3,5.26,185,True
REQ-000236,2025-08-12,2025-08-13,,42.3,1.76,72,True
REQ-000237,2025-08-12,2025-08-12,,11.6,0.48,168,True
REQ-000238,2025-08-12,2025-08-12,2025-08-12,14.9,0.62,31,True
REQ-000240,2025-08-12,2025-08-12,2025-08-12,4.6,0.19,94,True
REQ-000241,2025-08-12,2025-08-12,2025-08-12,4.5,0.19,26,True
REQ-000243,2025-08-12,2025-08-13,2025-08-13,26.6,1.11,168,True
REQ-000244,2025-08-12,2025-08-12,2025-08-12,16.8,0.7,24,True
REQ-000245,2025-08-12,2025-08-12,2025-08-12,11.1,0.46,72,True
REQ-000246,2025-08-12,2025-08-13,2025-08-13,47.2,1.97,168,True
REQ-000247,2025-08-12,2025-08-12,,17.5,0.73,168,True
REQ-000248,2025-08-12,2025-08-12,2025-08-12,9.4,0.39,72,True
REQ-000249,2025-08-12,2025-08-13,2025-08-13,30.2,1.26,94,True
REQ-000250,2025-08-12,2025-08-12,2025-08-12,3.8,0.16,168,True
REQ-000251,2025-08-12,2025-08-13,2025-08-13,34.9,1.46,168,True
REQ-000252,2025-08-12,2025-08-14,,60.3,2.51,72,True
REQ-000253,2025-08-13,2025-08-13,,10.2,0.42,218,True
REQ-000254,2025-08-13,2025-08-13,2025-08-13,17.5,0.73,4,False
REQ-000255,2025-08-13,2025-08-13,2025-08-13,18.0,0.75,72,True
REQ-000256,2025-08-13,2025-08-13,2025-08-13,10.9,0.45,26,True
REQ-000257,2025-08-13,2025-08-14,,34.0,1.42,218,True
REQ-000258,2025-08-13,2025-08-14,,34.1,1.42,218,True
REQ-000259,2025-08-13,2025-08-15,,68.2,2.84,168,True
REQ-000260,2025-08-13,2025-08-13,,9.4,0.39,185,True
REQ-000261,2025-08-13,2025-08-13,2025-08-13,23.9,0.99,218,True
REQ-000262,2025-08-13,2025-08-13,2025-08-13,13.0,0.54,168,True
REQ-000263,2025-08-13,2025-08-15,,67.4,2.81,185,True
REQ-000264,2025-08-13,2025-08-14,,44.7,1.86,218,True
REQ-000265,2025-08-14,2025-08-14,2025-08-14,6.2,0.26,24,True
REQ-000266,2025-08-14,2025-08-14,2025-08-14,6.0,0.25,94,True
REQ-000267,2025-08-14,2025-08-14,2025-08-14,19.6,0.81,168,True
REQ-000268,2025-08-14,2025-08-14,2025-08-14,22.6,0.94,168,True
REQ-000269,2025-08-14,2025-08-15,2025-08-15,27.5,1.15,168,True
REQ-000270,2025-08-14,2025-08-15,2025-08-15,29.1,1.21,72,True
REQ-000272,2025-08-14,2025-08-15,,32.1,1.34,168,True
REQ-000273,2025-08-14,2025-08-16,2025-08-16,58.0,2.42,72,True
REQ-000274,2025-08-14,2025-08-14,2025-08-14,8.5,0.35,24,True
REQ-000275,2025-08-14,2025-08-14,2025-08-14,9.7,0.4,31,True
REQ-000277,2025-08-14,2025-08-14,,8.3,0.35,218,True
REQ-000278,2025-08-14,2025-08-14,2025-08-14,8.6,0.36,72,True
REQ-000279,2025-08-14,2025-08-14,2025-08-14,15.2,0.63,168,True
REQ-000280,2025-08-14,2025-08-14,2025-08-14,9.4,0.39,168,True
REQ-000281,2025-08-14,2025-08-15,,32.3,1.34,168,True
REQ-000282,2025-08-14,2025-08-17,,78.3,3.26,168,True
REQ-000283,2025-08-14,2025-08-14,2025-08-14,7.8,0.33,24,True
REQ-000284,2025-08-14,2025-08-15,2025-08-15,26.3,1.1,218,True
REQ-000285,2025-08-14,2025-08-14,,16.1,0.67,72,True
REQ-000286,2025-08-14,2025-08-15,,30.0,1.25,72,True
REQ-000287,2025-08-14,2025-08-16,2025-08-16,69.9,2.91,94,True
REQ-000289,2025-08-14,2025-08-15,,34.1,1.42,185,True
REQ-000290,2025-08-14,2025-08-17,2025-08-17,92.9,3.87,218,True
REQ-000291,2025-08-14,2025-08-15,2025-08-15,45.4,1.89,24,False
REQ-000292,2025-08-14,2025-08-14,2025-08-14,22.0,0.92,24,True
REQ-000293,2025-08-14,2025-08-17,,80.5,3.35,168,True
REQ-000294,2025-08-14,2025-08-16,,50.3,2.1,168,True
REQ-000295,2025-08-14,2025-08-14,,13.0,0.54,94,True
REQ-000296,2025-08-14,2025-08-14,,13.3,0.55,185,True
REQ-000297,2025-08-14,2025-08-14,,16.4,0.68,26,True
REQ-000298,2025-08-14,2025-08-15,,27.7,1.15,79,True
REQ-000300,2025-08-15,2025-08-16,,43.7,1.82,24,False
REQ-000301,2025-08-15,2025-08-15,,18.3,0.76,218,True
REQ-000302,2025-08-15,2025-08-16,2025-08-16,43.6,1.82,185,True
REQ-000305,2025-08-15,2025-08-17,2025-08-17,59.4,2.48,218,True
REQ-000306,2025-08-15,2025-08-15,2025-08-15,13.0,0.54,24,True
REQ-000307,2025-08-15,2025-08-16,,32.7,1.36,31,False
REQ-000308,2025-08-15,2025-08-17,2025-08-17,48.6,2.03,168,True
REQ-000309,2025-08-15,2025-08-16,2025-08-16,38.1,1.59,24,False
REQ-000310,2025-08-15,2025-08-16,2025-08-16,25.8,1.07,185,True
REQ-000312,2025-08-15,2025-08-16,,36.2,1.51,168,True
REQ-000313,2025-08-15,2025-08-15,2025-08-15,18.6,0.78,26,True
REQ-000315,2025-08-15,2025-08-17,,70.6,2.94,185,True
REQ-000316,2025-08-15,2025-08-15,2025-08-15,16.3,0.68,72,True
REQ-000317,2025-08-15,2025-08-15,2025-08-15,21.5,0.9,72,True
REQ-000318,2025-08-15,2025-08-15,2025-08-15,4.8,0.2,5,True
REQ-000319,2025-08-15,2025-08-16,,32.2,1.34,185,True
REQ-000320,2025-08-15,2025-08-16,,28.4,1.18,72,True
REQ-000321,2025-08-15,2025-08-15,,12.4,0.52,168,True
REQ-000323,2025-08-16,2025-08-19,2025-08-19,73.1,3.05,218,True
REQ-000324,2025-08-16,2025-08-18,2025-08-18,53.8,2.24,72,True
REQ-000325,2025-08-16,2025-08-18,,66.4,2.77,72,True
REQ-000326,2025-08-16,2025-08-16,,18.3,0.76,218,True
REQ-000327,2025-08-16,2025-08-18,,59.4,2.48,168,True
REQ-000328,2025-08-16,2025-08-16,,24.0,1.0,94,True
REQ-000329,2025-08-16,2025-08-17,2025-08-17,26.5,1.1,168,True
REQ-000330,2025-08-16,2025-08-17,2025-08-17,44.9,1.87,168,True
REQ-000331,2025-08-16,2025-08-16,2025-08-16,10.0,0.42,5,False
REQ-000332,2025-08-16,2025-08-17,2025-08-17,28.4,1.18,218,True
REQ-000333,2025-08-16,2025-08-16,2025-08-16,7.4,0.31,31,True
REQ-000334,2025-08-16,2025-08-16,2025-08-16,17.7,0.74,94,True
REQ-000335,2025-08-17,2025-08-17,,15.0,0.63,31,True
REQ-000336,2025-08-17,2025-08-17,2025-08-17,12.3,0.51,24,True
REQ-000337,2025-08-17,2025-08-18,,30.7,1.28,168,True
REQ-000338,2025-08-17,2025-08-18,2025-08-18,30.9,1.29,168,True
REQ-000339,2025-08-17,2025-08-17,2025-08-17,0.8,0.03,5,True
REQ-000340,2025-08-17,2025-08-17,2025-08-17,22.7,0.95,218,True
REQ-000341,2025-08-17,2025-08-17,2025-08-17,19.4,0.81,24,True
REQ-000342,2025-08-17,2025-08-19,,67.2,2.8,185,True
REQ-000344,2025-08-17,2025-08-17,2025-08-17,23.8,0.99,72,True
REQ-000345,2025-08-17,2025-08-19,2025-08-19,64.2,2.68,218,True
REQ-000346,2025-08-17,2025-08-18,,33.1,1.38,79,True
REQ-000347,2025-08-17,2025-08-18,,39.9,1.66,72,True
REQ-000348,2025-08-17,2025-08-18,2025-08-18,33.2,1.39,218,True
REQ-000350,2025-08-18,2025-08-21,,88.2,3.67,185,True
REQ-000351,2025-08-18,2025-08-18,,2.3,0.09,168,True
REQ-000352,2025-08-18,2025-08-18,,22.1,0.92,218,True
REQ-000353,2025-08-18,2025-08-18,,22.3,0.93,218,True
REQ-000354,2025-08-18,2025-08-18,,23.7,0.99,24,True
REQ-000355,2025-08-18,2025-08-18,2025-08-18,10.3,0.43,168,True
REQ-000356,2025-08-18,2025-08-20,,60.2,2.51,168,True
REQ-000358,2025-08-18,2025-08-20,2025-08-20,51.1,2.13,72,True
REQ-000360,2025-08-18,2025-08-18,2025-08-18,6.4,0.27,24,True
REQ-000361,2025-08-18,2025-08-19,2025-08-19,35.2,1.47,168,True
REQ-000362,2025-08-18,2025-08-19,2025-08-19,31.1,1.3,218,True
REQ-000363,2025-08-18,2025-08-18,2025-08-18,6.0,0.25,72,True
REQ-000364,2025-08-18,2025-08-19,2025-08-19,47.1,1.96,168,True
REQ-000365,2025-08-18,2025-08-19,,26.1,1.09,168,True
REQ-000366,2025-08-18,2025-08-20,2025-08-20,64.9,2.7,218,True
REQ-000367,2025-08-18,2025-08-18,2025-08-18,10.8,0.45,26,True
REQ-000368,2025-08-18,2025-08-20,2025-08-20,48.9,2.04,218,True
REQ-000369,2025-08-18,2025-08-19,2025-08-19,29.8,1.24,31,True
REQ-000370,2025-08-18,2025-08-19,2025-08-19,32.7,1.36,168,True
REQ-000371,2025-08-18,2025-08-19,2025-08-19,44.1,1.84,168,True
REQ-000372,2025-08-18,2025-08-19,2025-08-19,32.5,1.36,31,False
REQ-000373,2025-08-18,2025-08-20,2025-08-20,64.4,2.68,218,True
REQ-000374,2025-08-18,2025-08-18,2025-08-18,7.9,0.33,168,True
REQ-000375,2025-08-18,2025-08-18,,16.4,0.68,218,True
REQ-000376,2025-08-18,2025-08-18,,11.9,0.5,79,True
REQ-000378,2025-08-19,2025-08-21,2025-08-21,70.3,2.93,31,False
REQ-000379,2025-08-19,2025-08-19,2025-08-19,9.0,0.37,72,True
REQ-000381,2025-08-19,2025-08-21,2025-08-21,50.1,2.09,168,True
REQ-000382,2025-08-19,2025-08-19,,10.2,0.43,168,True
REQ-000383,2025-08-19,2025-08-20,2025-08-20,45.3,1.89,168,True
REQ-000384,2025-08-19,2025-08-20,2025-08-20,44.8,1.87,218,True
REQ-000387,2025-08-19,2025-08-20,2025-08-20,33.4,1.39,72,True
REQ-000388,2025-08-19,2025-08-19,2025-08-19,17.0,0.71,218,True
REQ-000389,2025-08-19,2025-08-20,2025-08-20,26.2,1.09,72,True
REQ-000390,2025-08-19,2025-08-19,2025-08-19,17.1,0.71,168,True
REQ-000391,2025-08-19,2025-08-19,2025-08-19,4.2,0.17,31,True
REQ-000392,2025-08-19,2025-08-23,,96.4,4.01,218,True
REQ-000393,2025-08-19,2025-08-20,,41.2,1.72,72,True
REQ-000395,2025-08-19,2025-08-19,2025-08-19,18.5,0.77,72,True
REQ-000396,2025-08-19,2025-08-20,2025-08-20,26.9,1.12,72,True
REQ-000397,2025-08-19,2025-08-20,,30.3,1.26,185,True
REQ-000398,2025-08-19,2025-08-20,,36.8,1.53,185,True
REQ-000399,2025-08-20,2025-08-21,2025-08-21,39.8,1.66,218,True
REQ-000400,2025-08-20,2025-08-20,,10.6,0.44,72,True
REQ-000401,2025-08-20,2025-08-21,2025-08-21,25.7,1.07,72,True
REQ-000402,2025-08-20,2025-08-20,2025-08-20,23.5,0.98,79,True
REQ-000403,2025-08-20,2025-08-20,2025-08-20,17.6,0.73,218,True
REQ-000404,2025-08-20,2025-08-20,2025-08-20,7.6,0.32,31,True
REQ-000405,2025-08-20,2025-08-20,,14.3,0.59,218,True
REQ-000406,2025-08-20,2025-08-20,,22.8,0.95,168,True
