cancellation_id,appointment_id,cancelled_by,cancellation_reason,notice_hours,rebooked_flag
CAN-00127,APT-000381,Client,Other,13.7,True
CAN-00128,APT-000385,Organisation,Weather,18.0,False
CAN-00129,APT-000387,Client,Staff illness,42.9,False
CAN-00130,APT-000391,Employee,Client unavailable,8.2,True
CAN-00131,APT-000392,Client,Client unavailable,20.3,False
CAN-00132,APT-000395,Organisation,Other,55.7,False
CAN-00133,APT-000397,Organisation,Staff illness,16.7,True
CAN-00134,APT-000405,Organisation,Weather,21.5,True
CAN-00135,APT-000406,Client,Transport issue,51.3,True
CAN-00136,APT-000407,Client,Other,0.0,True
CAN-00137,APT-000409,Client,Duplicate booking,87.5,True
CAN-00138,APT-000410,Client,Weather,43.1,True
CAN-00139,APT-000413,Client,Duplicate booking,23.4,True
CAN-00140,APT-000414,Client,Staff illness,32.4,True
CAN-00141,APT-000416,Client,Transport issue,17.5,True
CAN-00142,APT-000419,Client,Staff illness,26.5,False
CAN-00143,APT-000421,Employee,Client unwell,12.3,True
CAN-00144,APT-000426,Organisation,Weather,3.3,False
CAN-00145,APT-000432,Client,Client declined,47.5,True
CAN-00146,APT-000442,Employee,Duplicate booking,20.3,False
CAN-00147,APT-000446,Employee,Client unwell,32.6,True
CAN-00148,APT-000448,Organisation,Duplicate booking,26.2,True
CAN-00149,APT-000453,Organisation,Client unwell,16.3,False
CAN-00150,APT-000455,Client,Transport issue,0.0,False
CAN-00151,APT-000456,Employee,Client unavailable,23.4,True
CAN-00152,APT-000457,Organisation,Client unavailable,0.0,False
CAN-00153,APT-000458,Client,Weather,44.2,True
CAN-00154,APT-000460,Employee,Client unwell,12.1,True
CAN-00155,APT-000463,Organisation,Client unwell,7.3,True
CAN-00156,APT-000470,Client,Duplicate booking,40.8,True
CAN-00157,APT-000471,Employee,Weather,30.1,False
CAN-00158,APT-000474,Employee,Client unwell,0.0,True
CAN-00159,APT-000483,Employee,Client declined,12.7,False
CAN-00160,APT-000484,Client,Other,0.0,False
CAN-00161,APT-000487,Client,Weather,12.3,True
CAN-00162,APT-000489,Employee,Other,7.6,True
CAN-00163,APT-000493,Client,Transport issue,5.9,True
CAN-00164,APT-000495,Client,Other,47.6,False
CAN-00165,APT-000508,Organisation,Other,40.1,False
CAN-00166,APT-000510,Employee,Staff illness,0.0,False
CAN-00167,APT-000511,Organisation,Client declined,0.0,True
CAN-00168,APT-000513,Organisation,Client unavailable,20.5,True
CAN-00169,APT-000521,Client,Client unavailable,1.7,False
CAN-00170,APT-000530,Client,Transport issue,0.0,False
CAN-00171,APT-000531,Client,Client unavailable,56.6,True
CAN-00172,APT-000541,Employee,Duplicate booking,28.3,True
CAN-00173,APT-000542,Client,Transport issue,7.9,True
CAN-00174,APT-000543,Client,Duplicate booking,0.0,True
CAN-00175,APT-000547,Organisation,Staff illness,43.7,True
CAN-00176,APT-000548,Client,Other,30.9,False
CAN-00177,APT-000549,Employee,Client unwell,45.5,True
CAN-00178,APT-000555,Client,Staff illness,49.5,False
CAN-00179,APT-000556,Employee,Duplicate booking,0.0,True
CAN-00180,APT-000560,Client,Other,9.6,False
CAN-00181,APT-000562,Employee,Other,16.4,False
CAN-00182,APT-000563,Employee,Transport issue,42.5,True
CAN-00183,APT-000564,Organisation,Other,22.1,True
CAN-00184,APT-000567,Employee,Duplicate booking,7.3,True
CAN-00185,APT-000569,Client,Client declined,38.7,True
CAN-00186,APT-000572,Employee,Staff illness,8.8,True
CAN-00187,APT-000575,Client,Weather,13.7,True
CAN-00188,APT-000577,Client,Other,14.9,True
CAN-00189,APT-000604,Client,Duplicate booking,0.0,False
CAN-00190,APT-000607,Client,Client unwell,45.7,True
CAN-00191,APT-000609,Client,Client unwell,6.3,True
CAN-00192,APT-000617,Client,Other,23.9,False
CAN-00193,APT-000619,Employee,Client unavailable,10.2,True
CAN-00194,APT-000623,Client,Weather,0.0,True
CAN-00195,APT-000627,Organisation,Duplicate booking,7.4,False
CAN-00196,APT-000628,Organisation,Client declined,18.6,True
CAN-00197,APT-000630,Client,Client unwell,0.0,True
CAN-00198,APT-000634,Client,Client unwell,20.0,True
CAN-00199,APT-000639,Employee,Client unavailable,4.2,False
CAN-00200,APT-000642,Client,Duplicate booking,49.5,False
CAN-00201,APT-000643,Organisation,Weather,34.0,True
CAN-00202,APT-000645,Organisation,Client declined,64.5,True
CAN-00203,APT-000657,Client,Staff illness,9.9,True
CAN-00204,APT-000658,Employee,Client declined,15.3,True
CAN-00205,APT-000660,Client,Staff illness,8.1,True
CAN-00206,APT-000663,Employee,Client unwell,34.3,True
CAN-00207,APT-000665,Employee,Duplicate booking,12.2,False
CAN-00208,APT-000667,Client,Client unavailable,19.7,False
CAN-00209,APT-000668,Client,Weather,26.3,True
CAN-00210,APT-000670,Client,Client unavailable,55.9,True
CAN-00211,APT-000673,Client,Staff illness,36.5,True
CAN-00212,APT-000674,Client,Client unavailable,13.1,False
CAN-00213,APT-000677,Client,Other,3.6,True
CAN-00214,APT-000678,Client,Client unwell,24.4,True
CAN-00215,APT-000682,Organisation,Staff illness,76.6,True
CAN-00216,APT-000683,Employee,Transport issue,31.2,True
CAN-00217,APT-000685,Organisation,Client unavailable,7.3,False
CAN-00218,APT-000688,Client,Transport issue,8.8,True
CAN-00219,APT-000691,Client,Weather,0.0,True
CAN-00220,APT-000698,Organisation,Duplicate booking,57.0,False
CAN-00221,APT-000700,Organisation,Weather,12.2,False
CAN-00222,APT-000706,Client,Transport issue,3.6,True
CAN-00223,APT-000708,Client,Weather,4.1,False
CAN-00224,APT-000714,Client,Staff illness,34.2,True
CAN-00225,APT-000715,Client,Duplicate booking,23.1,True
CAN-00226,APT-000721,Client,Weather,60.8,True
CAN-00227,APT-000722,Organisation,Staff illness,47.0,True
CAN-00228,APT-000723,Client,Client unwell,34.3,False
CAN-00229,APT-000729,Employee,Duplicate booking,16.1,True
CAN-00230,APT-000730,Client,Weather,96.8,False
CAN-00231,APT-000731,Client,Client unwell,0.0,True
CAN-00232,APT-000733,Client,Other,23.1,False
CAN-00233,APT-000734,Employee,Weather,47.2,False
CAN-00234,APT-000738,Client,Staff illness,23.2,False
CAN-00235,APT-000747,Employee,Duplicate booking,31.8,True
CAN-00236,APT-000749,Client,Staff illness,31.0,False
CAN-00237,APT-000750,Client,Client declined,22.6,True
CAN-00238,APT-000752,Organisation,Staff illness,0.0,True
CAN-00239,APT-000759,Organisation,Transport issue,5.2,False
CAN-00240,APT-000761,Client,Client unwell,24.2,True
CAN-00241,APT-000774,Client,Transport issue,0.0,True
CAN-00242,APT-000779,Client,Client declined,17.9,True
CAN-00243,APT-000781,Client,Client unavailable,0.0,True
CAN-00244,APT-000785,Client,Weather,46.7,True
CAN-00245,APT-000786,Client,Weather,0.0,True
CAN-00246,APT-000787,Organisation,Staff illness,36.6,False
CAN-00247,APT-000789,Client,Weather,21.4,False
CAN-00248,APT-000792,Employee,Client declined,32.7,False
CAN-00249,APT-000793,Employee,Transport issue,0.0,True
CAN-00250,APT-000800,Employee,Client unwell,3.3,True
CAN-00251,APT-000803,Client,Duplicate booking,0.0,False
CAN-00252,APT-000805,Client,Staff illness,71.6,True
CAN-00253,APT-000807,Client,Client unavailable,34.8,True
CAN-00254,APT-000818,Client,Weather,10.6,False
CAN-00255,APT-000822,Client,Staff illness,26.1,True
CAN-00256,APT-000823,Client,Other,57.5,True
CAN-00257,APT-000825,Organisation,Other,12.2,True
CAN-00258,APT-000826,Client,Client declined,12.0,True
CAN-00259,APT-000832,Client,Client unavailable,32.0,True
CAN-00260,APT-000839,Client,Weather,28.3,True
CAN-00261,APT-000847,Organisation,Staff illness,7.4,True
CAN-00262,APT-000851,Client,Transport issue,7.8,True
CAN-00263,APT-000852,Client,Duplicate booking,2.1,False
CAN-00264,APT-000854,Client,Weather,0.0,True
CAN-00265,APT-000856,Organisation,Transport issue,50.3,True
CAN-00266,APT-000861,Client,Client unwell,0.0,False
CAN-00267,APT-000862,Client,Weather,0.0,True
CAN-00268,APT-000865,Client,Staff illness,0.0,True
CAN-00269,APT-000867,Employee,Transport issue,0.0,True
CAN-00270,APT-000871,Client,Staff illness,0.0,True
CAN-00271,APT-000873,Client,Staff illness,0.0,True
CAN-00272,APT-000875,Client,Client unwell,0.0,True
CAN-00273,APT-000878,Organisation,Weather,27.3,True
CAN-00274,APT-000879,Organisation,Client unwell,9.2,True
CAN-00275,APT-000881,Client,Duplicate booking,16.1,True
CAN-00276,APT-000883,Client,Other,3.7,True
CAN-00277,APT-000884,Client,Client declined,0.0,True
CAN-00278,APT-000886,Employee,Duplicate booking,28.1,False
CAN-00279,APT-000889,Employee,Staff illness,0.0,True
CAN-00280,APT-000890,Organisation,Staff illness,37.1,True
CAN-00281,APT-000893,Organisation,Client unwell,4.9,True
CAN-00282,APT-000896,Employee,Transport issue,17.3,False
CAN-00283,APT-000898,Client,Other,19.7,True
CAN-00284,APT-000899,Client,Client unavailable,56.7,True
CAN-00285,APT-000910,Organisation,Duplicate booking,9.7,False
CAN-00286,APT-000911,Employee,Duplicate booking,0.0,False
CAN-00287,APT-000920,Employee,Other,9.8,False
CAN-00288,APT-000922,Organisation,Client unwell,24.9,True
CAN-00289,APT-000923,Employee,Duplicate booking,24.9,True
CAN-00290,APT-000924,Organisation,Other,67.8,True
CAN-00291,APT-000926,Client,Duplicate booking,24.6,False
CAN-00292,APT-000930,Client,Client declined,12.1,True
CAN-00293,APT-000932,Client,Client unavailable,13.4,True
CAN-00294,APT-000935,Organisation,Duplicate booking,11.8,True
CAN-00295,APT-000936,Organisation,Duplicate booking,8.2,True
CAN-00296,APT-000937,Organisation,Client unwell,57.1,True
CAN-00297,APT-000948,Client,Other,14.9,False
CAN-00298,APT-000949,Client,Weather,35.0,True
CAN-00299,APT-000951,Client,Other,46.8,True
CAN-00300,APT-000953,Organisation,Client declined,22.9,False
CAN-00301,APT-000955,Employee,Client declined,6.1,False
CAN-00302,APT-000956,Organisation,Other,7.1,False
CAN-00303,APT-000957,Organisation,Other,18.4,True
CAN-00304,APT-000961,Organisation,Duplicate booking,21.0,True
CAN-00305,APT-000964,Client,Weather,17.7,True
CAN-00306,APT-000966,Employee,Client declined,20.9,True
CAN-00307,APT-000970,Organisation,Staff illness,31.0,True
CAN-00308,APT-000972,Employee,Weather,8.5,True
CAN-00309,APT-000975,Employee,Staff illness,8.7,True
CAN-00310,APT-000983,Organisation,Staff illness,13.0,True
CAN-00311,APT-000990,Organisation,Client unavailable,10.4,True
CAN-00312,APT-000995,Client,Staff illness,24.9,True
CAN-00313,APT-000997,Client,Client unavailable,9.2,True
CAN-00314,APT-001000,Employee,Duplicate booking,27.8,True
CAN-00315,APT-001003,Client,Other,0.0,False
CAN-00316,APT-001006,Employee,Other,0.0,True
CAN-00317,APT-001009,Client,Client unavailable,36.8,True
CAN-00318,APT-001010,Client,Duplicate booking,46.0,False
CAN-00319,APT-001012,Employee,Duplicate booking,23.7,True
CAN-00320,APT-001021,Organisation,Staff illness,0.0,False
CAN-00321,APT-001023,Client,Transport issue,28.5,True
CAN-00322,APT-001024,Client,Client unavailable,28.0,True
CAN-00323,APT-001029,Client,Transport issue,0.0,False
CAN-00324,APT-001030,Client,Weather,29.1,False
CAN-00325,APT-001031,Client,Transport issue,0.0,False
CAN-00326,APT-001032,Client,Weather,11.4,True
CAN-00327,APT-001034,Client,Transport issue,0.0,True
CAN-00328,APT-001036,Employee,Transport issue,32.6,True
CAN-00329,APT-001037,Employee,Client declined,36.1,True
CAN-00330,APT-001043,Employee,Other,0.0,False
CAN-00331,APT-001045,Employee,Transport issue,33.1,False
CAN-00332,APT-001048,Employee,Client unavailable,12.2,False
CAN-00333,APT-001049,Employee,Transport issue,0.0,True
CAN-00334,APT-001057,Client,Transport issue,31.3,True
CAN-00335,APT-001058,Client,Client declined,0.0,True
CAN-00336,APT-001059,Organisation,Staff illness,0.0,False
CAN-00337,APT-001061,Employee,Transport issue,18.0,True
CAN-00338,APT-001063,Client,Transport issue,19.9,True
CAN-00339,APT-001067,Employee,Weather,27.7,True
CAN-00340,APT-001068,Organisation,Client unavailable,23.1,True
CAN-00341,APT-001069,Employee,Client unwell,5.8,True
CAN-00342,APT-001072,Client,Transport issue,42.2,False
CAN-00343,APT-001073,Employee,Client unwell,8.1,False
CAN-00344,APT-001074,Client,Staff illness,0.0,False
CAN-00345,APT-001076,Client,Duplicate booking,0.0,True
CAN-00346,APT-001079,Organisation,Other,31.5,True
CAN-00347,APT-001083,Organisation,Other,8.2,True
CAN-00348,APT-001084,Organisation,Transport issue,27.8,True
CAN-00349,APT-001086,Organisation,Client declined,5.4,False
CAN-00350,APT-001108,Client,Client unwell,33.1,False
CAN-00351,APT-001118,Employee,Client declined,52.0,True
CAN-00352,APT-001119,Client,Transport issue,18.0,True
CAN-00353,APT-001124,Employee,Client unwell,22.4,True
CAN-00354,APT-001128,Client,Other,0.0,True
CAN-00355,APT-001129,Employee,Other,0.0,True
CAN-00356,APT-001131,Client,Transport issue,14.5,True
CAN-00357,APT-001147,Employee,Other,38.5,True
CAN-00358,APT-001151,Client,Staff illness,0.0,True
CAN-00359,APT-001152,Employee,Client declined,0.0,True
CAN-00360,APT-001158,Employee,Client unavailable,30.3,False
CAN-00361,APT-001159,Organisation,Duplicate booking,25.2,True
CAN-00362,APT-001169,Employee,Client unwell,16.6,False
CAN-00363,APT-001173,Client,Client unavailable,24.0,True
CAN-00364,APT-001176,Client,Client declined,14.8,False
CAN-00365,APT-001178,Client,Client unavailable,29.2,True
CAN-00366,APT-001180,Organisation,Duplicate booking,35.3,False
CAN-00367,APT-001183,Client,Client unavailable,55.2,True
CAN-00368,APT-001197,Client,Client unwell,32.4,True
CAN-00369,APT-001204,Client,Transport issue,5.8,True
CAN-00370,APT-001209,Client,Weather,5.2,False
CAN-00371,APT-001212,Organisation,Other,27.0,False
CAN-00372,APT-001213,Client,Client unwell,15.2,True
CAN-00373,APT-001216,Client,Client unavailable,17.1,False
CAN-00374,APT-001217,Client,Client unwell,0.0,False
CAN-00375,APT-001219,Client,Transport issue,0.0,False
CAN-00376,APT-001220,Client,Staff illness,33.6,True
CAN-00377,APT-001222,Employee,Other,32.8,True
CAN-00378,APT-001224,Organisation,Client unwell,23.8,True
CAN-00379,APT-001231,Organisation,Client unwell,23.8,True
CAN-00380,APT-001232,Client,Client unavailable,49.1,False
CAN-00381,APT-001233,Client,Client declined,0.0,True
CAN-00382,APT-001236,Client,Weather,12.3,False
CAN-00383,APT-001239,Organisation,Weather,33.3,False
CAN-00384,APT-001242,Organisation,Other,7.2,False
CAN-00385,APT-001243,Organisation,Other,17.6,True
CAN-00386,APT-001244,Client,Client unwell,0.0,True
CAN-00387,APT-001246,Organisation,Other,29.4,True
CAN-00388,APT-001254,Organisation,Weather,3.6,True
CAN-00389,APT-001257,Client,Client unavailable,36.2,True
CAN-00390,APT-001258,Client,Weather,0.0,True
CAN-00391,APT-001259,Employee,Transport issue,8.1,True
CAN-00392,APT-001260,Client,Staff illness,21.9,False
CAN-00393,APT-001262,Client,Weather,80.9,True
CAN-00394,APT-001265,Client,Client unavailable,48.5,True
CAN-00395,APT-001267,Client,Weather,46.2,False
CAN-00396,APT-001269,Client,Transport issue,39.6,False
CAN-00397,APT-001270,Client,Transport issue,2.6,True
CAN-00398,APT-001271,Client,Transport issue,15.3,True
CAN-00399,APT-001277,Client,Client unwell,0.0,True
CAN-00400,APT-001281,Employee,Client unwell,16.1,False
CAN-00401,APT-001283,Client,Other,0.0,False
CAN-00402,APT-001284,Client,Client unwell,25.9,False
CAN-00403,APT-001292,Client,Client unavailable,51.0,False
CAN-00404,APT-001297,Employee,Client unavailable,25.5,True
CAN-00405,APT-001304,Organisation,Client declined,10.1,True
CAN-00406,APT-001306,Client,Staff illness,0.0,False
CAN-00407,APT-001309,Employee,Other,42.6,False
CAN-00408,APT-001311,Client,Client declined,0.0,True
CAN-00409,APT-001312,Client,Client unavailable,0.0,True
CAN-00410,APT-001314,Client,Client unwell,43.4,False
CAN-00411,APT-001315,Client,Weather,32.8,False
CAN-00412,APT-001317,Employee,Staff illness,39.6,True
CAN-00413,APT-001319,Client,Other,18.1,True
CAN-00414,APT-001321,Organisation,Client declined,30.8,True
CAN-00415,APT-001322,Organisation,Client declined,0.0,False
CAN-00416,APT-001323,Organisation,Other,9.0,False
CAN-00417,APT-001332,Client,Transport issue,0.0,False
CAN-00418,APT-001344,Organisation,Weather,19.5,False
CAN-00419,APT-001346,Organisation,Weather,15.6,False
CAN-00420,APT-001349,Client,Duplicate booking,0.0,True
CAN-00421,APT-001350,Organisation,Staff illness,34.7,True
CAN-00422,APT-001359,Employee,Duplicate booking,0.0,True
CAN-00423,APT-001363,Client,Client unwell,9.1,False
CAN-00424,APT-001364,Client,Client unavailable,15.5,True
CAN-00425,APT-001370,Employee,Staff illness,31.9,True
CAN-00426,APT-001371,Organisation,Other,22.7,False
CAN-00427,APT-001373,Organisation,Transport issue,2.9,True
CAN-00428,APT-001374,Client,Client unwell,1.7,True
CAN-00429,APT-001375,Client,Client unwell,85.2,False
CAN-00430,APT-001382,Organisation,Duplicate booking,2.7,False
CAN-00431,APT-001383,Employee,Other,13.3,True
CAN-00432,APT-001387,Employee,Client declined,31.7,False
CAN-00433,APT-001390,Organisation,Client unavailable,27.2,False
CAN-00434,APT-001393,Employee,Staff illness,33.3,True
CAN-00435,APT-001394,Client,Transport issue,32.1,True
CAN-00436,APT-001395,Client,Staff illness,0.0,True
CAN-00437,APT-001401,Client,Client declined,2.3,False
CAN-00438,APT-001402,Client,Transport issue,38.1,True
CAN-00439,APT-001403,Organisation,Other,25.9,True
CAN-00440,APT-001404,Employee,Duplicate booking,12.2,True
CAN-00441,APT-001410,Client,Client declined,9.8,False
CAN-00442,APT-001412,Employee,Weather,30.9,True
CAN-00443,APT-001413,Employee,Weather,0.0,False
CAN-00444,APT-001415,Client,Staff illness,60.0,False
CAN-00445,APT-001417,Organisation,Transport issue,20.6,True
CAN-00446,APT-001420,Client,Transport issue,16.2,True
CAN-00447,APT-001422,Client,Weather,0.0,True
CAN-00448,APT-001423,Client,Staff illness,0.0,False
CAN-00449,APT-001428,Employee,Client unwell,12.9,True
CAN-00450,APT-001433,Client,Duplicate booking,0.0,False
CAN-00451,APT-001446,Organisation,Transport issue,39.3,True
CAN-00452,APT-001447,Employee,Client unavailable,9.5,True
CAN-00453,APT-001451,Client,Weather,6.7,True
CAN-00454,APT-001454,Client,Transport issue,30.8,True
CAN-00455,APT-001455,Client,Client unwell,0.0,False
CAN-00456,APT-001457,Client,Duplicate booking,19.2,True
CAN-00457,APT-001465,Client,Staff illness,6.2,False
CAN-00458,APT-001466,Employee,Staff illness,19.8,False
CAN-00459,APT-001471,Organisation,Client unwell,7.7,True
CAN-00460,APT-001473,Client,Client unwell,14.9,True
CAN-00461,APT-001474,Client,Client unavailable,20.9,False
CAN-00462,APT-001479,Client,Staff illness,26.2,True
CAN-00463,APT-001480,Organisation,Client unavailable,0.0,True
CAN-00464,APT-001483,Employee,Weather,12.7,True
CAN-00465,APT-001486,Organisation,Client unwell,25.1,True
CAN-00466,APT-001487,Client,Staff illness,1.7,False
CAN-00467,APT-001488,Organisation,Duplicate booking,32.8,True
CAN-00468,APT-001490,Employee,Client unavailable,41.3,True
CAN-00469,APT-001495,Organisation,Duplicate booking,16.0,False
CAN-00470,APT-001497,Employee,Other,34.2,True
CAN-00471,APT-001510,Client,Weather,37.4,True
CAN-00472,APT-001516,Organisation,Other,15.2,True
CAN-00473,APT-001517,Organisation,Duplicate booking,0.0,False
CAN-00474,APT-001518,Organisation,Transport issue,42.6,True
CAN-00475,APT-001520,Client,Staff illness,22.9,True
CAN-00476,APT-001521,Client,Staff illness,43.5,True
CAN-00477,APT-001522,Client,Duplicate booking,33.0,True
CAN-00478,APT-001525,Employee,Staff illness,43.0,True
CAN-00479,APT-001526,Client,Other,27.5,True
CAN-00480,APT-001530,Client,Staff illness,0.0,True
CAN-00481,APT-001533,Employee,Client unavailable,29.1,False
CAN-00482,APT-001542,Client,Staff illness,0.0,True
CAN-00483,APT-001546,Client,Transport issue,28.5,True
CAN-00484,APT-001547,Organisation,Duplicate booking,23.0,True
CAN-00485,APT-001551,Employee,Client unwell,10.2,True
CAN-00486,APT-001564,Client,Duplicate booking,17.7,True
CAN-00487,APT-001568,Client,Client unwell,3.8,True
CAN-00488,APT-001570,Organisation,Duplicate booking,22.1,True
CAN-00489,APT-001574,Organisation,Client declined,33.3,False
CAN-00490,APT-001579,Client,Client unavailable,4.4,True
CAN-00491,APT-001580,Employee,Client unavailable,57.4,True
