client_id,location_id,client_since_date,complexity_tier,preferred_language,active_flag,consent_data_use_flag,communication_preference
CLT-00141,LOC-10,2025-04-19,Medium,English,True,True,Email
CLT-00142,LOC-04,2025-05-16,Medium,English,True,True,Phone
CLT-00143,LOC-05,2020-09-09,High,English,True,True,Email
CLT-00144,LOC-03,2025-02-23,Medium,Arabic,True,True,SMS
CLT-00145,LOC-08,2023-04-07,Medium,Arabic,True,True,Email
CLT-00146,LOC-03,2023-06-24,Medium,Italian,True,True,Email
CLT-00147,LOC-02,2025-06-05,Medium,Italian,True,True,Phone
CLT-00148,LOC-02,2020-10-14,High,English,True,True,Email
CLT-00149,LOC-10,2024-01-17,Low,Greek,True,True,Email
CLT-00150,LOC-04,2022-02-06,Critical,English,True,True,Email
CLT-00151,LOC-07,2022-09-05,Low,English,False,True,Phone
CLT-00152,LOC-09,2025-04-13,High,Mandarin,True,True,Email
CLT-00153,LOC-02,2020-01-31,Low,Italian,True,True,Phone
CLT-00154,LOC-02,2021-02-02,Critical,English,True,True,Phone
CLT-00155,LOC-04,2020-06-24,Critical,English,True,True,Email
CLT-00156,LOC-07,2023-07-05,Medium,English,True,True,Email
CLT-00157,LOC-07,2023-06-04,Low,Mandarin,True,True,Phone
CLT-00158,LOC-09,2019-10-31,Low,English,True,True,SMS
CLT-00159,LOC-07,2020-08-01,Medium,Vietnamese,True,True,SMS
CLT-00160,LOC-10,2022-11-18,Medium,English,True,True,Email
CLT-00161,LOC-06,2022-10-19,Low,English,True,True,SMS
CLT-00162,LOC-02,2022-08-21,Low,English,True,True,Email
CLT-00163,LOC-09,2023-03-20,Low,English,True,True,Email
CLT-00164,LOC-05,2021-08-03,Medium,English,True,True,Phone
CLT-00165,LOC-07,2022-10-04,Critical,English,True,True,Phone
CLT-00166,LOC-02,2024-01-05,Low,Mandarin,True,True,Phone
CLT-00167,LOC-06,2020-12-26,Medium,Mandarin,True,True,SMS
CLT-00168,LOC-02,2024-09-24,Medium,English,True,True,Phone
CLT-00169,LOC-05,2023-12-26,High,Greek,True,True,Phone
CLT-00170,LOC-02,2022-10-05,Medium,English,True,True,Email
CLT-00171,LOC-03,2024-09-23,Low,Other,True,True,Phone
CLT-00172,LOC-07,2021-09-24,Low,English,True,True,Phone
CLT-00173,LOC-10,2020-05-13,Critical,English,True,True,Phone
CLT-00174,LOC-06,2025-04-12,Medium,English,True,True,Post
CLT-00175,LOC-01,2020-06-06,High,English,True,True,Email
CLT-00176,LOC-01,2024-12-31,High,English,False,True,Phone
CLT-00177,LOC-08,2025-04-16,Medium,English,True,True,Phone
CLT-00178,LOC-08,2021-10-30,Medium,Greek,True,True,Email
CLT-00179,LOC-01,2024-07-06,Low,Arabic,True,True,Phone
CLT-00180,LOC-08,2024-11-17,Low,English,True,True,Phone
CLT-00181,LOC-03,2022-12-24,Low,,True,True,Phone
CLT-00182,LOC-02,2022-01-16,Medium,English,True,True,Email
CLT-00183,LOC-08,2023-03-15,Low,Mandarin,True,True,Phone
CLT-00184,LOC-06,2024-12-17,Low,English,True,True,Email
CLT-00185,LOC-06,2021-06-27,High,Italian,False,True,Phone
CLT-00186,LOC-03,2024-11-05,Low,English,True,True,Email
CLT-00187,LOC-06,2021-01-08,Low,English,True,True,Phone
CLT-00188,LOC-02,2021-07-15,Medium,Mandarin,True,True,Email
CLT-00189,LOC-08,2025-06-26,High,English,True,True,Email
CLT-00190,LOC-02,2023-07-25,High,English,True,True,Phone
CLT-00191,LOC-06,2020-01-31,Low,English,True,True,Phone
CLT-00192,LOC-08,2024-11-08,Medium,Other,True,True,Phone
CLT-00193,LOC-07,2022-03-14,Critical,Vietnamese,True,True,Phone
CLT-00194,LOC-09,2023-09-16,High,English,True,True,Post
CLT-00195,LOC-08,2022-08-29,Low,English,True,True,Phone
CLT-00196,LOC-09,2020-09-24,High,Greek,True,True,Email
CLT-00197,LOC-05,2022-09-06,Medium,English,True,True,Phone
CLT-00198,LOC-02,2021-02-10,Low,English,True,True,Phone
CLT-00199,LOC-10,2023-12-10,High,Greek,True,False,Email
CLT-00200,LOC-10,2021-12-26,Critical,English,True,True,Email
CLT-00201,LOC-04,2025-02-27,High,English,True,True,SMS
CLT-00202,LOC-08,2025-03-21,High,Other,True,True,Phone
CLT-00203,LOC-01,2022-03-30,Medium,English,True,True,Email
CLT-00204,LOC-02,2019-12-06,High,Mandarin,True,True,Phone
CLT-00205,LOC-08,2023-07-19,Medium,English,True,True,Email
CLT-00206,LOC-04,2023-11-16,Critical,English,True,True,Email
CLT-00207,LOC-09,2023-09-27,Low,Other,True,True,Phone
CLT-00208,LOC-09,2019-10-03,Low,English,True,True,Phone
CLT-00209,LOC-05,2022-09-17,Medium,English,True,True,Phone
CLT-00210,LOC-01,2023-03-16,High,English,True,True,Phone
CLT-00211,LOC-08,2024-08-19,Medium,Italian,True,True,Phone
CLT-00212,LOC-01,2021-04-20,Low,English,True,True,Email
CLT-00213,LOC-08,2021-04-27,Medium,English,True,True,Phone
CLT-00214,LOC-04,2019-10-31,Low,English,True,True,Email
CLT-00215,LOC-10,2023-07-03,Low,English,True,True,Phone
CLT-00216,LOC-04,2020-06-13,Low,English,True,True,Phone
CLT-00217,LOC-06,2021-04-25,Low,English,True,True,Phone
CLT-00218,LOC-01,2023-11-12,High,English,True,True,Email
CLT-00219,LOC-04,2020-08-06,Critical,English,True,True,Phone
CLT-00220,LOC-09,2021-10-11,Critical,Other,True,True,Phone
CLT-00221,LOC-02,2021-07-26,Critical,English,True,True,Email
CLT-00222,LOC-01,2019-11-23,Medium,Mandarin,True,True,Phone
CLT-00223,LOC-04,2022-09-02,Medium,Other,True,True,Email
CLT-00224,LOC-01,2022-02-19,Medium,English,True,True,Email
CLT-00225,LOC-04,2021-08-26,Medium,English,True,True,SMS
CLT-00226,LOC-09,2022-09-05,Medium,English,True,True,Phone
CLT-00227,LOC-01,2025-01-04,Low,Italian,True,True,Email
CLT-00228,LOC-07,2023-07-29,Medium,Arabic,True,True,Phone
CLT-00229,LOC-01,2025-01-30,Critical,English,True,True,Phone
CLT-00230,LOC-05,2025-04-06,Low,Italian,True,True,Post
CLT-00231,LOC-09,2021-03-08,Medium,English,True,True,Phone
CLT-00232,LOC-02,2020-08-29,Medium,English,True,True,Phone
CLT-00233,LOC-09,2025-01-22,Medium,English,False,True,Email
CLT-00234,LOC-08,2021-10-19,Low,Arabic,True,False,SMS
CLT-00235,LOC-08,2020-08-06,Medium,English,True,True,Phone
CLT-00236,LOC-04,2023-05-13,Low,Italian,True,True,Phone
CLT-00237,LOC-10,2022-03-20,Low,English,True,True,Phone
CLT-00238,LOC-04,2021-04-19,Low,English,True,True,Phone
CLT-00239,LOC-10,2022-10-26,Medium,English,True,True,SMS
CLT-00240,LOC-09,2023-11-12,High,Italian,True,False,Phone
CLT-00241,LOC-09,2020-01-12,High,Italian,True,True,Phone
CLT-00242,LOC-04,2023-11-25,Medium,English,True,True,Phone
CLT-00243,LOC-07,2021-06-21,Low,English,True,True,SMS
CLT-00244,LOC-01,2021-01-21,Medium,English,True,True,Phone
CLT-00245,LOC-01,2020-04-03,Low,English,True,True,Email
CLT-00246,LOC-07,2020-01-03,Medium,English,True,True,Phone
CLT-00247,LOC-05,2020-08-18,Medium,English,True,False,Phone
CLT-00248,LOC-05,2024-06-28,Medium,Mandarin,True,True,Phone
CLT-00249,LOC-09,2023-08-23,Medium,English,False,True,Phone
CLT-00250,LOC-05,2025-02-13,Medium,Arabic,True,True,Email
CLT-00251,LOC-07,2021-12-07,High,Other,True,True,SMS
CLT-00252,LOC-03,2021-05-17,Critical,English,True,True,Phone
CLT-00253,LOC-05,2025-04-30,High,English,True,True,Phone
CLT-00254,LOC-04,2021-01-16,Medium,English,True,True,Phone
CLT-00255,LOC-01,2022-04-07,Medium,Mandarin,True,True,Phone
CLT-00256,LOC-04,2024-10-02,Low,English,True,False,Phone
CLT-00257,LOC-05,2021-01-29,High,English,True,True,Phone
CLT-00258,LOC-07,2025-06-14,High,English,True,True,Email
CLT-00259,LOC-02,2020-02-13,Low,English,True,True,Phone
CLT-00260,LOC-10,2023-02-12,Low,Other,True,True,Email
CLT-00261,LOC-05,2022-10-21,Low,English,True,False,Email
CLT-00262,LOC-08,2022-08-24,Critical,English,True,True,Phone
CLT-00263,LOC-06,2019-12-06,Low,English,True,True,Email
CLT-00264,LOC-03,2023-11-25,Low,English,True,True,Phone
CLT-00265,LOC-01,2025-05-05,Low,Arabic,True,True,Phone
CLT-00266,LOC-10,2025-06-11,High,English,True,True,Phone
CLT-00267,LOC-10,2020-03-13,High,Other,True,True,Post
CLT-00268,LOC-04,2025-01-21,Low,Mandarin,True,True,Post
CLT-00269,LOC-08,2020-10-28,High,English,True,True,Email
CLT-00270,LOC-02,2020-12-14,High,English,True,True,Email
CLT-00271,LOC-03,2025-06-18,Critical,English,True,True,Phone
CLT-00272,LOC-05,2022-08-31,Medium,English,True,True,Phone
CLT-00273,LOC-08,2022-01-15,Low,Vietnamese,True,True,Email
CLT-00274,LOC-04,2023-11-24,High,English,False,True,Email
CLT-00275,LOC-02,2023-03-05,High,Mandarin,True,True,SMS
CLT-00276,LOC-01,2024-01-06,High,Vietnamese,True,True,Email
CLT-00277,LOC-09,2021-07-08,Low,English,True,True,SMS
CLT-00278,LOC-05,2022-11-06,Critical,English,True,True,SMS
CLT-00279,LOC-05,2019-10-19,Medium,English,True,True,Email
CLT-00280,LOC-02,2024-03-15,Low,English,True,True,Email
CLT-00281,LOC-08,2023-10-06,Low,English,True,True,Phone
CLT-00282,LOC-09,2022-04-06,Medium,Italian,True,True,Phone
CLT-00283,LOC-03,2024-11-16,Medium,English,True,True,SMS
CLT-00284,LOC-08,2019-11-11,Low,English,True,True,Phone
CLT-00285,LOC-05,2019-09-23,Medium,English,True,True,Phone
CLT-00286,LOC-07,2025-03-22,Medium,English,True,True,Email
CLT-00287,LOC-05,2023-01-03,High,English,True,True,Phone
CLT-00288,LOC-09,2022-01-13,Low,English,True,True,Phone
CLT-00289,LOC-07,2019-09-12,High,English,True,True,Phone
CLT-00290,LOC-07,2024-01-28,Medium,English,False,True,Email
CLT-00291,LOC-03,2021-02-09,Low,English,True,True,Email
CLT-00292,LOC-08,2023-02-24,Low,Arabic,True,True,SMS
CLT-00293,LOC-07,2024-11-30,Low,Other,True,True,Post
CLT-00294,LOC-04,2024-08-19,Low,English,True,True,Phone
CLT-00295,LOC-05,2025-04-13,High,English,True,True,Phone
CLT-00296,LOC-07,2023-05-28,Low,Arabic,True,True,Email
CLT-00297,LOC-06,2023-06-13,Medium,Greek,True,True,Email
CLT-00298,LOC-06,2022-12-15,Medium,English,True,True,Phone
CLT-00299,LOC-08,2023-03-17,Low,English,True,True,Phone
CLT-00300,LOC-09,2022-07-23,Critical,English,True,True,Email
CLT-00301,LOC-01,2025-02-10,Critical,English,True,True,Email
CLT-00302,LOC-02,2022-04-02,High,English,True,True,Phone
CLT-00303,LOC-06,2020-12-23,Low,English,True,True,Phone
CLT-00304,LOC-06,2023-11-17,High,English,True,True,Email
CLT-00305,LOC-08,2022-08-12,Low,English,True,True,Phone
CLT-00306,LOC-10,2024-04-16,Low,English,True,True,Email
CLT-00307,LOC-03,2021-12-26,Low,English,True,False,SMS
CLT-00308,LOC-03,2024-11-05,Low,English,False,True,Phone
CLT-00309,LOC-06,2019-12-28,Medium,English,True,True,Phone
CLT-00310,LOC-04,2020-01-24,Low,Other,True,True,Phone
CLT-00311,LOC-10,2019-11-19,Medium,English,False,True,Email
CLT-00312,LOC-07,2019-09-15,Low,English,False,True,Phone
CLT-00313,LOC-09,2024-08-08,Critical,English,True,True,Phone
CLT-00314,LOC-10,2020-12-09,Low,English,True,True,Email
CLT-00315,LOC-06,2019-12-22,Low,English,True,True,Email
CLT-00316,LOC-06,2024-07-20,Low,English,True,True,Phone
CLT-00317,LOC-09,2020-08-08,Critical,English,True,True,SMS
CLT-00318,LOC-01,2020-06-02,Medium,English,True,True,Email
CLT-00319,LOC-09,2022-05-06,Low,English,True,True,Post
CLT-00320,LOC-10,2025-01-06,Medium,English,True,True,Email
CLT-00321,LOC-10,2024-07-08,Low,Other,True,True,Email
CLT-00322,LOC-07,2023-10-07,Low,Mandarin,True,True,SMS
CLT-00323,LOC-07,2024-07-09,Low,English,True,True,Phone
CLT-00324,LOC-06,2024-06-27,Medium,English,True,True,Phone
CLT-00325,LOC-07,2020-08-16,Medium,English,True,True,Phone
CLT-00326,LOC-02,2021-07-25,Medium,English,True,True,Phone
CLT-00327,LOC-02,2021-12-02,Medium,Mandarin,True,True,Email
CLT-00328,LOC-03,2019-10-19,Low,Arabic,True,True,Phone
CLT-00329,LOC-08,2020-03-16,Medium,English,True,True,SMS
CLT-00330,LOC-05,2019-11-20,Medium,English,True,True,Email
CLT-00331,LOC-06,2024-06-06,Medium,English,True,True,Phone
CLT-00332,LOC-06,2022-11-17,Critical,English,False,True,SMS
CLT-00333,LOC-07,2020-04-11,Medium,English,True,True,Phone
CLT-00334,LOC-06,2024-08-30,Low,Mandarin,True,True,SMS
CLT-00335,LOC-08,2021-01-21,High,Mandarin,True,True,SMS
CLT-00336,LOC-08,2019-09-02,Medium,Other,True,True,Email
CLT-00337,LOC-06,2019-07-25,Low,Arabic,True,True,Email
CLT-00338,LOC-09,2020-04-11,Low,English,True,True,Phone
CLT-00339,LOC-03,2024-02-04,Medium,English,True,True,Phone
CLT-00340,LOC-09,2025-05-19,Medium,Arabic,True,True,SMS
CLT-00341,LOC-04,2021-09-21,Low,Vietnamese,True,True,Phone
CLT-00342,LOC-10,2023-12-01,High,Other,True,True,Phone
CLT-00343,LOC-10,2022-07-08,Critical,English,True,True,Email
CLT-00344,LOC-05,2022-10-07,Medium,English,True,True,Post
CLT-00345,LOC-02,2021-12-03,Low,English,True,True,Phone
CLT-00346,LOC-05,2025-02-28,Low,English,True,True,Email
CLT-00347,LOC-05,2020-06-17,Low,English,True,True,Phone
CLT-00348,LOC-10,2024-03-19,Low,English,True,True,Email
CLT-00349,LOC-08,2021-05-06,High,English,True,True,SMS
CLT-00350,LOC-01,2021-06-22,High,English,True,True,SMS
CLT-00351,LOC-08,2025-02-21,Low,Other,True,True,Email
CLT-00352,LOC-03,2025-02-14,High,English,True,True,Phone
CLT-00353,LOC-10,2020-10-01,Low,English,True,True,Phone
CLT-00354,LOC-07,2023-07-03,Low,English,True,True,Email
CLT-00355,LOC-09,2021-01-26,Medium,Vietnamese,True,True,SMS
CLT-00356,LOC-10,2024-01-29,Low,Greek,True,True,Email
CLT-00357,LOC-08,2019-09-07,Medium,English,True,True,SMS
CLT-00358,LOC-08,2025-05-18,Low,English,True,True,Phone
CLT-00359,LOC-07,2023-02-24,Medium,English,True,True,Email
CLT-00360,LOC-08,2022-10-15,Medium,English,True,True,Email
CLT-00361,LOC-02,2023-02-02,High,English,True,True,Email
CLT-00362,LOC-03,2022-11-21,Medium,English,True,True,Phone
CLT-00363,LOC-01,2023-10-13,Low,English,True,True,Phone
CLT-00364,LOC-01,2019-11-24,Low,English,True,True,Email
CLT-00365,LOC-03,2023-12-18,High,Greek,True,True,Phone
CLT-00366,LOC-04,2020-10-26,High,English,True,True,Post
CLT-00367,LOC-01,2024-04-25,Low,English,True,True,SMS
CLT-00368,LOC-06,2021-05-04,High,English,True,True,SMS
CLT-00369,LOC-05,2020-07-04,Medium,English,True,True,Email
CLT-00370,LOC-09,2025-05-10,Medium,English,True,True,SMS
CLT-00371,LOC-06,2022-09-28,Critical,English,True,True,Phone
CLT-00372,LOC-09,2019-08-29,Medium,English,True,True,Phone
CLT-00373,LOC-04,2021-11-22,Medium,English,True,True,Email
CLT-00374,LOC-06,2023-06-04,Medium,English,True,True,Phone
CLT-00375,LOC-01,2021-04-18,High,English,True,True,Phone
CLT-00376,LOC-01,2020-09-03,High,Arabic,True,True,Phone
CLT-00377,LOC-09,2024-08-10,Low,Greek,True,True,Phone
CLT-00378,LOC-07,2019-10-28,Low,English,True,True,Email
CLT-00379,LOC-01,2020-12-05,High,Italian,True,True,Phone
CLT-00380,LOC-06,2023-06-18,High,Arabic,True,True,Email
CLT-00381,LOC-03,2024-12-12,High,English,True,True,Email
CLT-00382,LOC-06,2025-05-13,Medium,Vietnamese,True,True,Phone
CLT-00383,LOC-09,2019-12-15,Medium,English,True,True,Email
CLT-00384,LOC-02,2023-05-29,Medium,Greek,True,True,Email
CLT-00385,LOC-01,2024-11-29,Low,Other,True,True,Email
CLT-00386,LOC-01,2021-01-16,Medium,Mandarin,True,True,SMS
CLT-00387,LOC-03,2024-09-20,Low,English,True,True,SMS
CLT-00388,LOC-08,2022-01-02,Low,English,True,True,SMS
CLT-00389,LOC-07,2025-05-23,Low,English,True,False,SMS
CLT-00390,LOC-07,2023-09-06,Medium,English,True,True,Phone
CLT-00391,LOC-05,2024-01-25,Low,English,True,False,Phone
CLT-00392,LOC-04,2025-01-16,Low,English,True,True,Email
CLT-00393,LOC-10,2020-04-14,Low,English,True,True,Email
CLT-00394,LOC-02,2025-02-12,High,English,True,True,Post
CLT-00395,LOC-07,2019-08-19,Medium,Other,True,True,Phone
CLT-00396,LOC-03,2023-02-22,Low,English,True,True,Phone
CLT-00397,LOC-04,2025-05-17,Medium,English,True,True,Email
CLT-00398,LOC-03,2022-02-23,Medium,English,True,True,Phone
CLT-00399,LOC-02,2023-11-03,Critical,English,True,True,Phone
CLT-00400,LOC-10,2023-06-05,Low,English,True,True,Phone
CLT-00401,LOC-02,2021-06-12,Medium,English,True,False,Phone
CLT-00402,LOC-10,2024-06-29,Low,English,True,True,Email
CLT-00403,LOC-08,2020-04-08,High,English,False,True,SMS
CLT-00404,LOC-06,2021-04-26,Medium,English,True,True,Email
CLT-00405,LOC-04,2024-11-14,Medium,English,True,True,Post
CLT-00406,LOC-01,2022-08-02,Medium,English,True,True,SMS
CLT-00407,LOC-01,2021-08-02,Low,English,True,False,SMS
CLT-00408,LOC-09,2019-11-06,Medium,English,True,True,Phone
CLT-00409,LOC-03,2024-07-07,Critical,English,True,True,Phone
CLT-00410,LOC-02,2022-05-13,High,Vietnamese,True,True,Email
CLT-00411,LOC-06,2023-04-06,Medium,English,True,True,Email
