employee_id,primary_role,employment_type,contracted_hours_per_week,fte,base_location_id,hire_date,employment_status,manager_id,gender,age_band,hourly_rate_band
EMP-00081,Support Worker,Part-time,24.0,0.63,LOC-03,2021-11-17,On Leave,EMP-00015,Male,55-64,Band 1
EMP-00082,Team Leader,Part-time,30.0,0.79,LOC-07,2021-08-11,Terminated,,Male,65+,Band 1
EMP-00083,Team Leader,Part-time,24.0,0.63,LOC-03,2025-06-20,Active,,Male,35-44,Band 4
EMP-00084,Support Worker,Casual,8.0,0.21,LOC-08,2022-08-10,Active,EMP-00035,Female,35-44,Band 3
EMP-00085,Allied Health Clinician,Casual,8.0,0.21,LOC-10,2025-02-11,Active,EMP-00074,Female,45-54,Band 3
EMP-00086,Coordinator,Casual,16.0,0.42,LOC-09,2020-04-19,Active,,Female,25-34,Band 2
EMP-00087,Allied Health Clinician,Full-time,38.0,1.0,LOC-06,2023-08-27,On Leave,EMP-00033,Female,55-64,Band 2
EMP-00088,Support Worker,Casual,12.0,0.32,LOC-09,2023-01-20,On Leave,EMP-00007,Female,45-54,Band 2
EMP-00089,Support Worker,Casual,8.0,0.21,LOC-07,2020-09-21,Active,EMP-00072,Male,55-64,Band 4
EMP-00090,Support Worker,Full-time,38.0,1.0,LOC-06,2024-07-16,Active,EMP-00007,Non-binary / Other,45-54,Band 2
EMP-00091,Support Worker,Casual,12.0,0.32,LOC-02,2023-01-30,Active,EMP-00026,Female,25-34,Band 1
EMP-00092,Support Worker,Part-time,20.0,0.53,LOC-05,2023-02-01,Active,EMP-00001,Male,45-54,Band 2
EMP-00093,Support Worker,Casual,8.0,0.21,LOC-09,2021-07-23,Active,EMP-00008,Female,45-54,Band 2
EMP-00094,Team Leader,Full-time,38.0,1.0,LOC-04,2023-10-21,Active,,Female,55-64,Band 1
EMP-00095,Support Worker,Part-time,24.0,0.63,LOC-09,2021-01-13,Active,EMP-00057,Non-binary / Other,45-54,Band 3
EMP-00096,Allied Health Clinician,Part-time,20.0,0.53,LOC-06,2024-03-14,Active,EMP-00133,Female,45-54,Band 4
EMP-00097,Support Worker,Part-time,16.0,0.42,LOC-08,2018-11-26,Terminated,EMP-00110,Female,25-34,Band 1
EMP-00098,Support Worker,Part-time,16.0,0.42,LOC-01,2023-04-21,Active,EMP-00008,Female,35-44,Band 1
EMP-00099,Team Leader,Full-time,38.0,1.0,LOC-03,2022-01-19,Active,,Female,25-34,Band 3
EMP-00100,Support Worker,Part-time,20.0,0.53,LOC-04,2022-01-21,Active,EMP-00005,Female,55-64,Band 3
EMP-00101,Support Worker,Full-time,38.0,1.0,LOC-09,2019-01-26,Active,EMP-00041,Female,35-44,Band 4
EMP-00102,Support Worker,Part-time,24.0,0.63,LOC-02,2020-06-30,Active,EMP-00083,Female,25-34,Band 4
EMP-00103,Support Worker,Full-time,38.0,1.0,LOC-08,2024-06-03,Active,EMP-00106,Female,45-54,Band 2
EMP-00104,Allied Health Clinician,Full-time,38.0,1.0,LOC-07,2019-07-01,Active,EMP-00117,Female,45-54,Band 3
EMP-00105,Support Worker,Casual,12.0,0.32,LOC-10,2018-09-09,Active,EMP-00045,Female,55-64,Band 1
EMP-00106,Coordinator,Part-time,30.0,0.79,LOC-05,2023-12-24,Active,,Female,18-24,Band 1
EMP-00107,Support Worker,Full-time,38.0,1.0,LOC-09,2020-11-11,On Leave,EMP-00021,Male,25-34,Band 3
EMP-00108,Support Worker,Full-time,38.0,1.0,LOC-07,2024-06-28,On Leave,EMP-00005,Female,35-44,Band 4
EMP-00109,Support Worker,Full-time,38.0,1.0,LOC-04,2021-06-09,Active,EMP-00015,Male,55-64,Band 2
EMP-00110,Team Leader,Full-time,38.0,1.0,LOC-06,2025-02-23,Active,,Female,45-54,Band 3
EMP-00111,Support Worker,Part-time,16.0,0.42,LOC-09,2019-07-17,Terminated,EMP-00007,Female,35-44,Band 2
EMP-00112,Team Leader,Part-time,20.0,0.53,LOC-08,2021-07-06,Active,,Non-binary / Other,35-44,Band 2
EMP-00113,Support Worker,Part-time,20.0,0.53,LOC-10,2022-06-29,Active,EMP-00133,Male,35-44,Band 2
EMP-00114,Support Worker,Casual,8.0,0.21,LOC-02,2024-03-31,On Leave,EMP-00033,Male,55-64,Band 1
EMP-00115,Support Worker,Part-time,24.0,0.63,LOC-05,2020-12-16,Active,EMP-00117,Male,45-54,Band 3
EMP-00116,Support Worker,Full-time,38.0,1.0,LOC-09,2019-02-21,On Leave,EMP-00076,Male,18-24,Band 1
EMP-00117,Coordinator,Full-time,38.0,1.0,LOC-09,2018-07-20,Active,,Male,35-44,Band 1
EMP-00118,Support Worker,Part-time,24.0,0.63,LOC-07,2022-08-16,Active,EMP-00074,Male,35-44,Band 1
EMP-00119,Support Worker,Full-time,38.0,1.0,LOC-04,2023-03-02,Active,EMP-00062,Female,65+,Band 1
EMP-00120,Support Worker,Part-time,24.0,0.63,LOC-03,2019-04-21,Active,EMP-00117,Female,25-34,Band 2
EMP-00121,Support Worker,Full-time,38.0,1.0,LOC-01,2025-06-10,Active,EMP-00005,Male,35-44,Band 1
EMP-00122,Support Worker,Full-time,38.0,1.0,LOC-09,2020-02-14,Active,EMP-00008,Male,65+,Band 4
EMP-00123,Registered Nurse,Full-time,38.0,1.0,LOC-03,2018-11-17,Active,EMP-00057,Female,55-64,Band 2
EMP-00124,Support Worker,Full-time,38.0,1.0,LOC-02,2023-09-21,Active,EMP-00047,Male,45-54,Band 3
EMP-00125,Support Worker,Full-time,38.0,1.0,LOC-01,2024-09-20,On Leave,EMP-00074,Female,65+,Band 1
EMP-00126,Allied Health Clinician,Full-time,38.0,1.0,LOC-09,2023-08-23,Active,EMP-00106,Female,35-44,Band 2
EMP-00127,Support Worker,Part-time,16.0,0.42,LOC-08,2021-06-18,Terminated,EMP-00079,Female,25-34,Band 1
EMP-00128,Support Worker,Casual,8.0,0.21,LOC-08,2019-04-03,Active,EMP-00029,Female,35-44,Band 2
EMP-00129,Support Worker,Part-time,20.0,0.53,LOC-02,2022-12-21,Active,EMP-00041,Female,65+,Band 1
EMP-00130,Support Worker,Full-time,38.0,1.0,LOC-01,2023-09-21,Terminated,EMP-00106,Female,55-64,Band 1
EMP-00131,Support Worker,Part-time,30.0,0.79,LOC-07,2021-10-13,Active,EMP-00022,Non-binary / Other,55-64,Band 3
EMP-00132,Support Worker,Full-time,38.0,1.0,LOC-04,2019-01-09,On Leave,EMP-00072,Female,35-44,Band 3
EMP-00133,Team Leader,Part-time,24.0,0.63,LOC-03,2019-09-06,Active,,Female,45-54,
EMP-00134,Registered Nurse,Full-time,38.0,1.0,LOC-05,2025-01-24,Active,EMP-00074,Female,25-34,Band 2
EMP-00135,Support Worker,Casual,8.0,0.21,LOC-08,2022-08-04,On Leave,EMP-00106,Male,45-54,Band 2
EMP-00136,Registered Nurse,Full-time,38.0,1.0,LOC-07,2024-04-03,Active,EMP-00099,Male,18-24,Band 2
EMP-00137,Allied Health Clinician,Part-time,20.0,0.53,LOC-08,2022-04-26,Active,EMP-00062,Female,65+,Band 2
EMP-00138,Team Leader,Full-time,38.0,1.0,LOC-08,2021-07-20,Active,,Female,55-64,Band 2
EMP-00139,Team Leader,Full-time,38.0,1.0,LOC-03,2022-03-27,Active,,Female,45-54,Band 2
EMP-00140,Team Leader,Full-time,38.0,1.0,LOC-02,2023-03-16,On Leave,,Male,55-64,Band 1
EMP-00141,Team Leader,Full-time,38.0,1.0,LOC-03,2020-02-11,Active,,Male,55-64,Band 1
EMP-00142,Support Worker,Part-time,20.0,0.53,LOC-07,2018-10-18,Active,EMP-00035,Female,45-54,
EMP-00143,Registered Nurse,Full-time,38.0,1.0,LOC-06,2021-09-02,Active,EMP-00045,Male,45-54,Band 2
EMP-00144,Allied Health Clinician,Casual,8.0,0.21,LOC-06,2023-03-27,Terminated,EMP-00053,Female,45-54,Band 1
EMP-00145,Support Worker,Casual,16.0,0.42,LOC-10,2023-04-12,Terminated,EMP-00026,Male,45-54,Band 3
EMP-00146,Support Worker,Part-time,30.0,0.79,LOC-07,2023-10-24,Active,EMP-00082,Female,25-34,Band 2
EMP-00147,Support Worker,Full-time,38.0,1.0,LOC-06,2023-06-16,Terminated,EMP-00022,Female,35-44,Band 3
EMP-00148,Coordinator,Full-time,38.0,1.0,LOC-02,2020-01-20,Active,,Female,65+,Band 1
EMP-00149,Support Worker,Part-time,20.0,0.53,LOC-03,2019-04-30,Terminated,EMP-00083,Female,25-34,Band 3
EMP-00150,Support Worker,Casual,8.0,0.21,LOC-02,2020-10-31,Active,EMP-00106,Male,25-34,Band 2
EMP-00146,Support Worker,Part-time,30.0,0.79,LOC-07,2023-10-24,Active,EMP-00082,Female,25-34,Band 2
