request_id,client_id,service_type_id,location_id,requested_date,requested_by,urgency,complexity_score,requested_channel,status
REQ-000050,CLT-00379,SVC-07,LOC-01,2025-08-04,Family Member,Routine,68.4,Referral,Cancelled
REQ-000051,CLT-00333,SVC-05,LOC-07,2025-08-04,Client,Routine,42.8,Portal,Cancelled
REQ-000052,CLT-00189,SVC-07,LOC-08,2025-08-04,Client,Priority,62.2,Referral,Completed
REQ-000053,CLT-00333,SVC-09,LOC-07,2025-08-04,Family Member,Priority,46.6,Referral,Completed
REQ-000054,CLT-00225,SVC-03,LOC-04,2025-08-04,Client,Routine,34.3,Portal,Completed
REQ-000055,CLT-00380,SVC-03,LOC-06,2025-08-04,Case Manager,Priority,69.8,Case Manager,Completed
REQ-000056,CLT-00238,SVC-08,LOC-04,2025-08-04,Client,Priority,7.5,Portal,Completed
REQ-000057,CLT-00473,SVC-05,LOC-08,2025-08-04,Case Manager,Priority,65.7,Phone,Completed
REQ-000058,CLT-00114,SVC-07,LOC-01,2025-08-04,Family Member,Urgent,14.2,Phone,Completed
REQ-000059,CLT-00513,SVC-03,LOC-01,2025-08-04,Case Manager,Routine,30.5,Portal,Completed
REQ-000060,CLT-00059,SVC-02,LOC-01,2025-08-04,Family Member,Priority,61.0,Referral,Completed
REQ-000061,CLT-00399,SVC-01,LOC-02,2025-08-04,GP / Clinician,Priority,91.8,Phone,Completed
REQ-000062,CLT-00047,SVC-05,LOC-06,2025-08-04,Client,Routine,45.2,Phone,Completed
REQ-000063,CLT-00343,SVC-02,LOC-10,2025-08-04,GP / Clinician,Urgent,87.1,Phone,Backlog
REQ-000064,CLT-00042,SVC-01,LOC-01,2025-08-04,Client,Routine,41.2,Referral,Cancelled
REQ-000065,CLT-00262,SVC-05,LOC-08,2025-08-04,Family Member,Emergency,79.6,Phone,Completed
REQ-000066,CLT-00180,SVC-02,LOC-08,2025-08-04,Family Member,Routine,3.2,Portal,Completed
REQ-000067,CLT-00110,SVC-04,LOC-03,2025-08-04,Case Manager,Priority,36.6,Referral,Cancelled
REQ-000068,CLT-00119,SVC-09,LOC-09,2025-08-04,Client,Priority,,Portal,Completed
REQ-000069,CLT-00107,SVC-02,LOC-08,2025-08-05,Family Member,Routine,10.4,Portal,Cancelled
REQ-000070,CLT-00095,SVC-05,LOC-04,2025-08-05,Client,Routine,17.7,Portal,Cancelled
REQ-000071,CLT-00460,SVC-01,LOC-08,2025-08-05,Family Member,Emergency,12.4,Portal,Completed
REQ-000072,CLT-00175,SVC-03,LOC-01,2025-08-05,Case Manager,Urgent,64.4,Referral,Completed
REQ-000073,CLT-00331,SVC-05,LOC-06,2025-08-05,Family Member,Routine,31.8,Portal,Completed
REQ-000074,CLT-00463,SVC-01,LOC-06,2025-08-05,Family Member,Priority,89.3,Case Manager,Cancelled
REQ-000075,CLT-00132,SVC-03,LOC-02,2025-08-05,GP / Clinician,Priority,52.9,Case Manager,Completed
REQ-000076,CLT-00264,SVC-07,LOC-03,2025-08-05,Client,Routine,21.0,Portal,Completed
REQ-000077,CLT-00215,SVC-06,LOC-10,2025-08-05,Client,Routine,9.9,Phone,Backlog
REQ-000078,CLT-00342,SVC-06,LOC-10,2025-08-05,Case Manager,Priority,57.7,Referral,Completed
REQ-000079,CLT-00520,SVC-01,LOC-03,2025-08-05,Family Member,Urgent,84.0,Phone,Completed
REQ-000080,CLT-00203,SVC-01,LOC-01,2025-08-05,Family Member,Routine,37.2,Portal,Completed
REQ-000081,CLT-00470,SVC-02,LOC-03,2025-08-05,Case Manager,Urgent,46.3,Phone,Completed
REQ-000082,CLT-00029,SVC-05,LOC-06,2025-08-05,Client,Emergency,51.0,Portal,Completed
REQ-000083,CLT-00287,SVC-01,LOC-05,2025-08-05,Family Member,Routine,70.3,Referral,Cancelled
REQ-000084,CLT-00309,SVC-01,LOC-06,2025-08-05,Client,Urgent,32.5,Case Manager,Completed
REQ-000085,CLT-00295,SVC-07,LOC-05,2025-08-05,Case Manager,Priority,56.3,Portal,Backlog
REQ-000086,CLT-00062,SVC-09,LOC-10,2025-08-05,Client,Routine,12.2,Case Manager,Completed
REQ-000087,CLT-00516,SVC-02,LOC-09,2025-08-05,Case Manager,Priority,40.4,Phone,Completed
REQ-000088,CLT-00151,SVC-05,LOC-07,2025-08-05,Family Member,Routine,8.5,Case Manager,Completed
REQ-000089,CLT-00157,SVC-05,LOC-07,2025-08-05,Client,Routine,17.1,Phone,Completed
REQ-000090,CLT-00181,SVC-08,LOC-03,2025-08-05,Client,Routine,16.0,Portal,Completed
REQ-000091,CLT-00348,SVC-03,LOC-10,2025-08-05,Client,Routine,24.5,Portal,Completed
REQ-000092,CLT-00007,SVC-01,LOC-08,2025-08-05,Family Member,Routine,58.1,Phone,Cancelled
REQ-000093,CLT-00014,SVC-04,LOC-02,2025-08-05,Case Manager,Priority,67.4,Referral,Cancelled
REQ-000094,CLT-00494,SVC-05,LOC-03,2025-08-05,Case Manager,Routine,37.4,Phone,Cancelled
REQ-000095,CLT-00236,SVC-05,LOC-04,2025-08-05,Family Member,Routine,14.9,Portal,Completed
REQ-000096,CLT-00373,SVC-02,LOC-04,2025-08-06,Client,Priority,40.3,Referral,Completed
REQ-000097,CLT-00480,SVC-05,LOC-10,2025-08-06,Family Member,Priority,41.5,Phone,Completed
REQ-000098,CLT-00385,SVC-09,LOC-01,2025-08-06,Case Manager,Routine,10.0,Case Manager,Scheduled
REQ-000099,CLT-00003,SVC-05,LOC-09,2025-08-06,Client,Routine,41.3,Portal,Scheduled
REQ-000100,CLT-00253,SVC-02,LOC-05,2025-08-06,Case Manager,Urgent,67.4,Referral,Cancelled
REQ-000101,CLT-00370,SVC-01,LOC-09,2025-08-06,Client,Routine,30.1,Phone,Completed
REQ-000102,CLT-00149,SVC-05,LOC-10,2025-08-06,Client,Routine,11.3,Referral,Cancelled
REQ-000103,CLT-00460,SVC-05,LOC-08,2025-08-06,Case Manager,Routine,18.4,Referral,Cancelled
REQ-000104,CLT-00274,SVC-04,LOC-04,2025-08-06,Family Member,Priority,62.7,Referral,Scheduled
REQ-000105,CLT-00181,SVC-01,LOC-03,2025-08-06,Client,Routine,18.4,Portal,Completed
REQ-000106,CLT-00267,SVC-02,LOC-10,2025-08-06,Family Member,Priority,65.6,Portal,Completed
REQ-000107,CLT-00199,SVC-09,LOC-10,2025-08-06,Case Manager,Emergency,58.2,Referral,Completed
REQ-000108,CLT-00321,SVC-05,LOC-10,2025-08-06,Family Member,Routine,22.2,Phone,Completed
REQ-000109,CLT-00450,SVC-05,LOC-08,2025-08-06,Client,Urgent,79.2,Portal,Completed
REQ-000110,CLT-00113,SVC-07,LOC-05,2025-08-06,Client,Routine,86.4,Referral,Scheduled
REQ-000111,CLT-00241,SVC-05,LOC-09,2025-08-06,Family Member,Emergency,56.5,Phone,Completed
REQ-000112,CLT-00308,SVC-01,LOC-03,2025-08-06,Client,Priority,26.1,Portal,Completed
REQ-000113,CLT-00067,SVC-01,LOC-08,2025-08-06,Client,Routine,12.4,Portal,Scheduled
REQ-000114,CLT-00080,SVC-01,LOC-01,2025-08-06,Case Manager,Urgent,78.6,Phone,Backlog
REQ-000115,CLT-00515,SVC-05,LOC-02,2025-08-06,Client,Priority,31.1,Portal,Cancelled
REQ-000116,CLT-00145,SVC-07,LOC-08,2025-08-06,Client,Urgent,39.1,Case Manager,Completed
REQ-000117,CLT-00382,SVC-05,LOC-06,2025-08-06,Family Member,Emergency,38.9,Referral,Scheduled
REQ-000118,CLT-00425,SVC-06,LOC-02,2025-08-06,Client,Priority,31.7,Phone,Scheduled
REQ-000119,CLT-00415,SVC-06,LOC-07,2025-08-06,Case Manager,Urgent,55.5,Portal,Cancelled
REQ-000120,CLT-00204,SVC-05,LOC-02,2025-08-06,Case Manager,Urgent,64.6,Case Manager,Completed
REQ-000121,CLT-00335,SVC-02,LOC-08,2025-08-07,Case Manager,Routine,75.4,Phone,Completed
REQ-000122,CLT-00237,SVC-04,LOC-10,2025-08-07,Family Member,Routine,21.4,Portal,Backlog
REQ-000123,CLT-00178,SVC-06,LOC-08,2025-08-07,Case Manager,Routine,37.2,Phone,Cancelled
REQ-000124,CLT-00044,SVC-01,LOC-10,2025-08-07,Family Member,Urgent,68.6,Phone,Completed
REQ-000125,CLT-00213,SVC-02,LOC-08,2025-08-07,Client,Priority,34.5,Referral,Cancelled
REQ-000126,CLT-00057,SVC-09,LOC-04,2025-08-07,Client,Routine,46.7,Phone,Completed
REQ-000127,CLT-00094,SVC-02,LOC-06,2025-08-07,Family Member,Urgent,42.0,Phone,Completed
REQ-000128,CLT-00039,SVC-01,LOC-03,2025-08-07,Client,Routine,24.7,Phone,Completed
REQ-000129,CLT-00262,SVC-05,LOC-08,2025-08-07,Family Member,Emergency,82.5,Referral,Completed
REQ-000130,CLT-00099,SVC-01,LOC-07,2025-08-07,Client,Priority,29.0,Portal,Completed
REQ-000131,CLT-00204,SVC-04,LOC-02,2025-08-07,Client,Priority,51.5,Case Manager,Completed
REQ-000132,CLT-00427,SVC-02,LOC-01,2025-08-07,Case Manager,Routine,32.1,Referral,Scheduled
REQ-000133,CLT-00041,SVC-01,LOC-07,2025-08-07,Client,Urgent,72.1,Phone,Completed
REQ-000134,CLT-00238,SVC-09,LOC-04,2025-08-07,Client,Priority,22.8,Phone,Completed
REQ-000135,CLT-00512,SVC-02,LOC-09,2025-08-07,Family Member,Routine,47.4,Portal,Cancelled
REQ-000136,CLT-00144,SVC-04,LOC-03,2025-08-07,Family Member,Routine,39.8,Phone,Backlog
REQ-000137,CLT-00217,SVC-01,LOC-06,2025-08-07,Case Manager,Routine,15.8,Portal,Completed
REQ-000138,CLT-00326,SVC-06,LOC-02,2025-08-07,Client,Priority,40.6,Referral,Completed
REQ-000139,CLT-00288,SVC-01,LOC-09,2025-08-07,Client,Priority,11.7,Portal,Completed
REQ-000140,CLT-00480,SVC-06,LOC-10,2025-08-07,Client,Priority,41.8,Phone,Scheduled
REQ-000141,CLT-00103,SVC-05,LOC-10,2025-08-07,Case Manager,Routine,11.5,Portal,Cancelled
REQ-000142,CLT-00229,SVC-01,LOC-01,2025-08-07,GP / Clinician,Urgent,86.8,Referral,Completed
REQ-000143,CLT-00061,SVC-01,LOC-04,2025-08-07,Client,Urgent,35.2,Portal,Completed
REQ-000144,CLT-00170,SVC-01,LOC-02,2025-08-07,Client,Routine,32.8,Portal,Cancelled
REQ-000145,CLT-00505,SVC-09,LOC-07,2025-08-07,Case Manager,Priority,91.2,Case Manager,Cancelled
REQ-000146,CLT-00518,SVC-02,LOC-01,2025-08-07,Case Manager,Routine,14.9,Referral,Scheduled
REQ-000147,CLT-00074,SVC-01,LOC-08,2025-08-07,Client,Routine,16.3,Phone,Cancelled
REQ-000148,CLT-00327,SVC-03,LOC-02,2025-08-07,Client,Routine,35.7,Portal,Completed
REQ-000149,CLT-00342,SVC-05,LOC-10,2025-08-07,Family Member,Routine,72.2,Phone,Cancelled
REQ-000150,CLT-00061,SVC-06,LOC-04,2025-08-08,Client,Routine,36.3,Phone,Completed
REQ-000151,CLT-00411,SVC-06,LOC-06,2025-08-08,Family Member,Routine,40.8,Phone,Cancelled
REQ-000152,CLT-00237,SVC-06,LOC-10,2025-08-08,Client,Routine,14.3,Portal,Cancelled
REQ-000153,CLT-90001,SVC-09,LOC-02,2025-08-08,Family Member,Emergency,19.8,Phone,Completed
REQ-000154,CLT-00373,SVC-01,LOC-04,2025-08-08,Family Member,Urgent,35.4,Phone,Completed
REQ-000155,CLT-00253,SVC-07,LOC-05,2025-08-08,Family Member,Priority,58.9,Referral,Backlog
REQ-000156,CLT-90011,SVC-06,LOC-03,2025-08-08,Family Member,Routine,20.9,Referral,Cancelled
REQ-000157,CLT-00029,SVC-01,LOC-06,2025-08-08,Case Manager,Priority,64.0,Phone,Backlog
REQ-000158,CLT-00079,SVC-01,LOC-05,2025-08-08,Family Member,Priority,13.2,Portal,Cancelled
REQ-000159,CLT-00334,SVC-07,LOC-06,2025-08-08,Client,Priority,27.1,Case Manager,Completed
REQ-000160,CLT-00368,SVC-05,LOC-06,2025-08-08,Case Manager,Routine,61.1,Phone,Cancelled
REQ-000161,CLT-00254,SVC-09,LOC-04,2025-08-08,Family Member,Routine,45.7,Portal,Cancelled
REQ-000162,CLT-00043,SVC-02,LOC-03,2025-08-08,Case Manager,Routine,27.6,Portal,Completed
REQ-000163,CLT-00212,SVC-02,LOC-01,2025-08-08,Client,Routine,13.4,Referral,Backlog
REQ-000164,CLT-00229,SVC-05,LOC-01,2025-08-08,Case Manager,Urgent,93.0,Phone,Completed
REQ-000165,CLT-00256,SVC-01,LOC-04,2025-08-08,Client,Routine,13.0,Phone,Completed
REQ-000166,CLT-00091,SVC-02,LOC-04,2025-08-08,Client,Routine,14.6,Phone,Cancelled
REQ-000167,CLT-00295,SVC-07,LOC-05,2025-08-08,Case Manager,Urgent,62.5,Case Manager,Backlog
REQ-000168,CLT-00280,SVC-05,LOC-02,2025-08-08,Client,Routine,16.6,Portal,Cancelled
REQ-000169,CLT-00201,SVC-01,LOC-04,2025-08-08,GP / Clinician,Urgent,61.3,Portal,Backlog
REQ-000170,CLT-00078,SVC-03,LOC-01,2025-08-08,GP / Clinician,Routine,34.6,Portal,Cancelled
REQ-000171,CLT-00203,SVC-06,LOC-01,2025-08-08,Client,Priority,39.2,Phone,Cancelled
REQ-000172,CLT-00376,SVC-04,LOC-01,2025-08-08,Case Manager,Urgent,62.4,Portal,Completed
REQ-000173,CLT-00365,SVC-01,LOC-03,2025-08-08,GP / Clinician,Urgent,66.5,Referral,Scheduled
REQ-000174,CLT-00482,SVC-09,LOC-06,2025-08-08,Case Manager,Urgent,66.4,Phone,Completed
REQ-000175,CLT-00050,SVC-07,LOC-10,2025-08-08,Case Manager,Priority,59.4,Referral,Cancelled
REQ-000176,CLT-00267,SVC-03,LOC-10,2025-08-08,Client,Routine,65.0,Referral,Cancelled
REQ-000177,CLT-00442,SVC-06,LOC-05,2025-08-09,Family Member,Routine,33.1,Portal,Cancelled
REQ-000178,CLT-00003,SVC-06,LOC-09,2025-08-09,Family Member,Routine,43.5,Phone,Cancelled
REQ-000179,CLT-00169,SVC-07,LOC-05,2025-08-09,Family Member,Routine,64.8,Phone,Cancelled
REQ-000180,CLT-00025,SVC-03,LOC-07,2025-08-09,Family Member,Urgent,8.2,Portal,Completed
REQ-000181,CLT-00461,SVC-09,LOC-07,2025-08-09,Client,Urgent,20.0,Portal,Completed
REQ-000182,CLT-00342,SVC-05,LOC-10,2025-08-09,GP / Clinician,Urgent,55.6,Phone,Completed
REQ-000183,CLT-00194,SVC-02,LOC-09,2025-08-09,Case Manager,Priority,59.2,Referral,Cancelled
REQ-000184,CLT-00361,SVC-01,LOC-02,2025-08-09,Client,Routine,47.1,Portal,Backlog
REQ-000185,CLT-00517,SVC-05,LOC-06,2025-08-09,Client,Routine,8.3,Referral,Cancelled
REQ-000186,CLT-00457,SVC-02,LOC-05,2025-08-09,Family Member,Urgent,40.8,Phone,Completed
REQ-000187,CLT-00006,SVC-03,LOC-09,2025-08-09,Family Member,Urgent,34.8,Portal,Completed
REQ-000188,CLT-00252,SVC-04,LOC-03,2025-08-09,Family Member,Urgent,74.0,Phone,Completed
REQ-000189,CLT-00443,SVC-05,LOC-07,2025-08-09,Family Member,Routine,59.6,Portal,Scheduled
REQ-000190,CLT-00207,SVC-05,LOC-09,2025-08-09,Client,Routine,14.7,Phone,Completed
REQ-000191,CLT-00137,SVC-04,LOC-05,2025-08-09,Case Manager,Urgent,55.3,Portal,Completed
REQ-000192,CLT-00255,SVC-01,LOC-01,2025-08-09,Case Manager,Urgent,39.7,Portal,Completed
REQ-000193,CLT-00341,SVC-07,LOC-04,2025-08-10,Client,Routine,8.1,Portal,Backlog
REQ-000194,CLT-00480,SVC-03,LOC-10,2025-08-10,Client,Urgent,28.7,Case Manager,Completed
REQ-000195,CLT-00158,SVC-04,LOC-09,2025-08-10,Family Member,Routine,11.5,Case Manager,Completed
REQ-000196,CLT-00517,SVC-08,LOC-06,2025-08-10,Client,Routine,16.1,Phone,Cancelled
REQ-000197,CLT-00136,SVC-01,LOC-01,2025-08-10,Client,Routine,30.5,Phone,Completed
REQ-000198,CLT-00468,SVC-07,LOC-05,2025-08-10,Client,Priority,7.4,Referral,Completed
REQ-000199,CLT-00012,SVC-02,LOC-05,2025-08-10,Family Member,Priority,65.3,Phone,Cancelled
REQ-000200,CLT-00220,SVC-02,LOC-09,2025-08-11,GP / Clinician,Urgent,86.3,Phone,Completed
REQ-000201,CLT-00256,SVC-02,LOC-04,2025-08-11,Client,Routine,15.1,Portal,Scheduled
REQ-000202,CLT-00038,SVC-07,LOC-01,2025-08-11,Client,Routine,7.9,Case Manager,Cancelled
REQ-000203,CLT-00457,SVC-01,LOC-05,2025-08-11,Family Member,Priority,35.9,Portal,Completed
REQ-000204,CLT-00378,SVC-08,LOC-07,2025-08-11,Family Member,Urgent,17.4,Case Manager,Completed
REQ-000205,CLT-00286,SVC-05,LOC-07,2025-08-11,Client,Routine,38.3,Phone,Completed
REQ-000206,CLT-00474,SVC-01,LOC-04,2025-08-11,Client,Routine,12.0,Portal,Completed
REQ-000207,CLT-00117,SVC-03,LOC-10,2025-08-11,Case Manager,Routine,25.9,Phone,Cancelled
REQ-000208,CLT-00463,SVC-06,LOC-06,2025-08-11,Client,Urgent,78.1,Phone,Cancelled
REQ-000209,CLT-00419,SVC-07,LOC-02,2025-08-11,Case Manager,Urgent,83.2,Phone,Completed
REQ-000210,CLT-00284,SVC-01,LOC-08,2025-08-11,Client,Routine,22.6,Referral,Completed
REQ-000211,CLT-00456,SVC-07,LOC-03,2025-08-11,Case Manager,Urgent,63.8,Portal,Completed
REQ-000212,CLT-00234,SVC-02,LOC-08,2025-08-11,Family Member,Routine,15.1,Phone,Cancelled
REQ-000213,CLT-00048,SVC-01,LOC-10,2025-08-11,Case Manager,Routine,28.0,Referral,Completed
REQ-000214,CLT-00421,SVC-01,LOC-01,2025-08-11,Client,Routine,11.7,Portal,Completed
REQ-000215,CLT-00280,SVC-01,LOC-02,2025-08-11,Family Member,Routine,18.6,Portal,Completed
REQ-000216,CLT-00113,SVC-09,LOC-05,2025-08-11,GP / Clinician,Urgent,80.4,Referral,Cancelled
REQ-000217,CLT-00428,SVC-05,LOC-03,2025-08-11,Client,Priority,42.8,Portal,Completed
REQ-000218,CLT-00044,SVC-01,LOC-10,2025-08-11,Family Member,Routine,63.5,Portal,Completed
REQ-000219,CLT-00471,SVC-08,LOC-04,2025-08-11,Client,Routine,36.3,Phone,Completed
REQ-000220,CLT-00428,SVC-06,LOC-03,2025-08-11,Client,Routine,,Case Manager,Completed
REQ-000221,CLT-00063,SVC-06,LOC-01,2025-08-11,GP / Clinician,Urgent,83.6,Referral,Completed
REQ-000222,CLT-00300,SVC-01,LOC-09,2025-08-11,GP / Clinician,Priority,87.0,Portal,Completed
REQ-000223,CLT-00252,SVC-02,LOC-03,2025-08-11,Family Member,Routine,85.7,Phone,Cancelled
REQ-000224,CLT-00389,SVC-08,LOC-07,2025-08-11,Family Member,Routine,21.0,Phone,Completed
REQ-000225,CLT-00039,SVC-05,LOC-03,2025-08-11,Client,Routine,15.9,Portal,Cancelled
REQ-000226,CLT-00372,SVC-04,LOC-09,2025-08-11,GP / Clinician,Routine,38.0,Phone,Cancelled
REQ-000227,CLT-00152,SVC-05,LOC-09,2025-08-12,Case Manager,Routine,67.0,Phone,Cancelled
REQ-000228,CLT-00346,SVC-07,LOC-05,2025-08-12,Client,Routine,14.6,Portal,Completed
REQ-000229,CLT-00191,SVC-05,LOC-06,2025-08-12,Case Manager,Routine,15.1,Portal,Completed
REQ-000230,CLT-00278,SVC-02,LOC-05,2025-08-12,Family Member,Urgent,84.8,Phone,Completed
REQ-000231,CLT-00259,SVC-09,LOC-02,2025-08-12,Client,Routine,4.0,Portal,Completed
REQ-000232,CLT-00177,SVC-09,LOC-08,2025-08-12,Family Member,Routine,32.5,Case Manager,Completed
REQ-000233,CLT-00493,SVC-05,LOC-05,2025-08-12,Family Member,Routine,48.4,Case Manager,Cancelled
REQ-000234,CLT-00328,SVC-04,LOC-03,2025-08-12,Client,Routine,12.8,Portal,Completed
REQ-000235,CLT-00156,SVC-02,LOC-07,2025-08-12,Family Member,Routine,38.7,Portal,Completed
REQ-000236,CLT-00391,SVC-05,LOC-05,2025-08-12,Family Member,Priority,17.2,Portal,Cancelled
REQ-000237,CLT-00452,SVC-09,LOC-03,2025-08-12,Family Member,Routine,25.2,Portal,Scheduled
REQ-000238,CLT-00329,SVC-08,LOC-08,2025-08-12,Client,Urgent,45.3,Phone,Completed
REQ-000239,CLT-00484,SVC-08,LOC-06,2025-08-12,Case Manager,Routine,37.8,Portal,Backlog
REQ-000240,CLT-00393,SVC-01,LOC-10,2025-08-12,Client,Priority,23.6,Referral,Completed
REQ-000241,CLT-00058,SVC-02,LOC-07,2025-08-12,Family Member,Urgent,26.6,Referral,Completed
REQ-000242,CLT-00290,SVC-05,LOC-07,2025-08-12,Family Member,Urgent,39.1,Portal,Backlog
REQ-000243,CLT-00406,SVC-06,LOC-01,2025-08-12,Case Manager,Routine,35.7,Case Manager,Completed
REQ-000244,CLT-00143,SVC-01,LOC-05,2025-08-12,Client,Urgent,54.5,Referral,Completed
REQ-000245,CLT-00376,SVC-05,LOC-01,2025-08-12,Family Member,Priority,54.7,Phone,Completed
REQ-000246,CLT-00274,SVC-08,LOC-04,2025-08-12,Family Member,Routine,,Phone,Completed
REQ-000247,CLT-00520,SVC-06,LOC-03,2025-08-12,Case Manager,Routine,87.6,Phone,Cancelled
REQ-000248,CLT-00223,SVC-01,LOC-04,2025-08-12,GP / Clinician,Priority,41.4,Phone,Completed
REQ-000249,CLT-00107,SVC-05,LOC-08,2025-08-12,Client,Priority,9.4,Portal,Completed
REQ-000250,CLT-00496,SVC-06,LOC-01,2025-08-12,Case Manager,Routine,43.7,Phone,Completed
REQ-000251,CLT-00268,SVC-05,LOC-04,2025-08-12,Client,Routine,16.0,Phone,Completed
REQ-000252,CLT-00481,SVC-02,LOC-04,2025-08-12,GP / Clinician,Priority,65.4,Phone,Cancelled
REQ-000253,CLT-00060,SVC-06,LOC-08,2025-08-13,Client,Routine,9.6,Portal,Cancelled
