outcome_id,appointment_id,client_satisfaction_score,outcome_quality_score,incident_flag,incident_severity,goal_achieved_flag,follow_up_required_flag
OUT-000046,APT-000074,4.9,86.6,False,,True,False
OUT-000047,APT-000075,4.3,76.0,True,Low,False,False
OUT-000048,APT-000077,4.3,79.3,False,,True,False
OUT-000049,APT-000078,4.4,80.8,False,,True,False
OUT-000050,APT-000079,5.0,86.9,False,,True,False
OUT-000051,APT-000080,3.9,68.6,False,,False,False
OUT-000052,APT-000081,4.6,88.5,False,,False,False
OUT-000053,APT-000082,4.5,95.0,False,,True,False
OUT-000054,APT-000083,5.0,95.7,False,,True,False
OUT-000055,APT-000087,5.0,87.8,False,,True,False
OUT-000056,APT-000088,3.7,78.4,False,,True,True
OUT-000057,APT-000089,4.8,45.9,False,,False,False
OUT-000058,APT-000093,,83.5,False,,False,False
OUT-000059,APT-000097,4.7,69.3,False,,True,False
OUT-000060,APT-000098,3.4,65.1,False,,True,False
OUT-000061,APT-000099,3.8,87.9,False,,True,False
OUT-000062,APT-000100,3.5,100.0,False,,True,False
OUT-000063,APT-000101,5.0,90.7,False,,True,False
OUT-000064,APT-000103,4.3,96.4,False,,True,False
OUT-000065,APT-000104,4.5,78.9,False,,True,False
OUT-000066,APT-000107,4.6,78.7,False,,True,True
OUT-000067,APT-000111,4.8,83.3,False,,True,False
OUT-000068,APT-000112,5.0,92.5,False,,True,False
OUT-000069,APT-000114,4.3,79.1,False,,True,False
OUT-000070,APT-000116,3.6,75.2,False,,True,False
OUT-000071,APT-000117,3.9,84.6,False,,False,False
OUT-000072,APT-000118,4.9,78.5,False,,True,False
OUT-000073,APT-000119,4.6,65.5,False,,True,False
OUT-000074,APT-000120,2.9,89.3,False,,True,False
OUT-000075,APT-000121,5.0,100.0,False,,True,True
OUT-000076,APT-000123,,93.0,False,,True,False
OUT-000077,APT-000124,3.0,87.7,False,,True,False
OUT-000078,APT-000126,,72.1,False,,True,False
OUT-000079,APT-000127,4.3,87.4,False,,True,False
OUT-000080,APT-000128,4.0,88.4,False,,True,False
OUT-000081,APT-000131,3.6,100.0,False,,True,False
OUT-000082,APT-000132,,84.9,False,,True,False
OUT-000083,APT-000137,5.0,76.1,False,,True,False
OUT-000084,APT-000139,4.5,100.0,False,,True,False
OUT-000085,APT-000142,3.9,74.8,False,,True,True
OUT-000086,APT-000143,4.3,87.6,False,,False,False
OUT-000087,APT-000146,3.2,86.6,False,,False,False
OUT-000088,APT-000149,3.6,68.8,False,,True,False
OUT-000089,APT-000150,4.9,66.6,False,,True,False
OUT-000090,APT-000151,3.9,88.9,False,,True,False
OUT-000091,APT-000156,4.6,76.2,False,,True,False
OUT-000092,APT-000158,4.6,80.3,False,,False,True
OUT-000093,APT-000164,3.9,94.6,True,Medium,True,False
OUT-000094,APT-000165,4.1,73.4,False,,True,True
OUT-000095,APT-000166,3.2,84.8,False,,True,False
OUT-000096,APT-000169,3.5,77.3,False,,True,False
OUT-000097,APT-000170,5.0,88.5,False,,True,False
OUT-000098,APT-000171,4.2,84.1,False,,True,False
OUT-000099,APT-000173,4.1,77.2,False,,True,False
OUT-000100,APT-000174,3.0,96.7,False,,True,False
OUT-000101,APT-000175,4.5,66.8,False,,True,False
OUT-000102,APT-000176,4.2,84.8,False,,True,False
OUT-000103,APT-000177,4.4,100.0,False,,True,False
OUT-000104,APT-000179,,72.5,False,,True,False
OUT-000105,APT-000180,4.7,83.7,False,,True,False
OUT-000106,APT-000182,4.8,84.8,False,,True,False
OUT-000107,APT-000185,4.5,81.3,False,,True,False
OUT-000108,APT-000186,4.7,65.0,False,,True,False
OUT-000109,APT-000187,4.0,89.7,False,,True,True
OUT-000110,APT-000188,3.5,97.0,False,,True,True
OUT-000111,APT-000191,4.9,74.9,False,,True,True
OUT-000112,APT-000192,4.1,82.0,False,,True,False
OUT-000113,APT-000193,,82.2,False,,True,False
OUT-000114,APT-000195,4.5,87.7,False,,False,False
OUT-000115,APT-000196,4.5,77.9,False,,True,False
OUT-000116,APT-000197,5.0,75.7,False,,True,True
OUT-000117,APT-000199,4.0,76.5,False,,True,False
OUT-000118,APT-000200,3.9,73.2,True,High,True,False
OUT-000119,APT-000201,3.2,89.6,False,,True,True
OUT-000120,APT-000202,4.0,66.3,False,,True,False
OUT-000121,APT-000203,3.2,90.3,False,,True,False
OUT-000122,APT-000204,4.5,94.5,False,,True,False
OUT-000123,APT-000206,3.9,80.9,False,,True,False
OUT-000124,APT-000210,4.7,89.0,False,,True,False
OUT-000125,APT-000211,,76.3,False,,True,False
OUT-000126,APT-000212,5.0,85.6,False,,True,False
OUT-000127,APT-000213,4.2,76.6,False,,True,False
OUT-000128,APT-000214,4.0,82.1,False,,True,True
OUT-000129,APT-000216,4.5,96.5,False,,True,False
OUT-000130,APT-000217,3.9,93.1,False,,True,False
OUT-000131,APT-000220,,76.9,False,,True,False
OUT-000132,APT-000221,4.5,84.0,False,,True,True
OUT-000133,APT-000222,,88.0,True,Medium,True,False
OUT-000134,APT-000223,5.0,82.5,False,,True,True
OUT-000135,APT-000224,4.6,83.3,False,,True,True
OUT-000136,APT-000225,4.2,77.3,True,Medium,True,True
OUT-000137,APT-000226,3.8,71.6,False,,True,False
OUT-000138,APT-000228,5.0,78.5,False,,True,True
OUT-000139,APT-000229,4.5,88.5,False,,True,False
OUT-000140,APT-000230,4.3,87.8,False,,True,True
OUT-000141,APT-000231,5.0,100.0,False,,True,False
OUT-000142,APT-000234,4.2,74.5,False,,True,False
OUT-000143,APT-000235,3.9,72.8,False,,True,False
OUT-000144,APT-000236,,82.1,False,,True,True
OUT-000145,APT-000241,3.1,88.5,False,,True,False
OUT-000146,APT-000242,3.7,81.8,False,,True,False
OUT-000147,APT-000245,3.8,65.5,False,,True,False
OUT-000148,APT-000246,3.4,71.7,False,,True,False
OUT-000149,APT-000247,4.7,100.0,False,,True,False
OUT-000150,APT-000248,,65.4,False,,True,False
OUT-000151,APT-000249,3.5,87.7,False,,True,False
OUT-000152,APT-000250,4.3,69.9,False,,True,False
OUT-000153,APT-000252,2.7,77.9,False,,False,True
OUT-000154,APT-000253,4.7,77.1,False,,False,False
OUT-000155,APT-000254,2.2,78.0,False,,True,False
OUT-000156,APT-000256,4.4,96.0,False,,True,False
OUT-000157,APT-000257,3.8,89.8,False,,True,False
OUT-000158,APT-000258,3.8,86.6,False,,True,False
OUT-000159,APT-000261,4.0,80.1,False,,True,False
OUT-000160,APT-000262,3.5,87.5,False,,True,False
OUT-000161,APT-000265,,89.3,False,,True,False
OUT-000162,APT-000267,5.0,80.7,False,,True,False
OUT-000163,APT-000268,4.4,90.5,False,,False,False
OUT-000164,APT-000269,2.7,95.7,False,,True,False
OUT-000165,APT-000278,3.7,82.4,False,,True,False
OUT-000166,APT-000279,3.6,86.1,False,,True,False
OUT-000167,APT-000280,5.0,76.7,False,,True,True
OUT-000168,APT-000282,3.6,85.5,False,,True,False
OUT-000169,APT-000283,3.9,72.2,False,,True,False
OUT-000170,APT-000284,2.6,84.7,False,,True,False
OUT-000171,APT-000286,3.7,68.2,False,,True,True
OUT-000172,APT-000288,5.0,68.1,False,,False,False
OUT-000173,APT-000289,3.8,61.6,False,,True,False
OUT-000174,APT-000290,4.0,77.2,False,,True,True
OUT-000175,APT-000294,4.2,83.3,False,,True,False
OUT-000176,APT-000295,4.6,77.9,False,,True,False
OUT-000177,APT-000300,3.3,70.3,False,,True,False
OUT-000178,APT-000301,4.3,76.1,False,,True,False
OUT-000179,APT-000302,3.9,84.6,False,,False,False
OUT-000180,APT-000303,5.0,78.6,False,,True,False
OUT-000181,APT-000304,4.5,85.4,True,Medium,True,True
OUT-000182,APT-000305,3.0,62.4,False,,False,True
OUT-000183,APT-000307,4.7,75.7,False,,False,False
OUT-000184,APT-000309,5.0,72.2,False,,True,False
OUT-000185,APT-000310,4.1,71.4,False,,True,False
OUT-000186,APT-000311,2.7,67.4,False,,True,False
OUT-000187,APT-000312,4.4,91.4,False,,True,True
OUT-000188,APT-000314,4.2,58.9,False,,True,False
OUT-000189,APT-000315,4.4,81.1,False,,True,False
OUT-000190,APT-000318,3.5,76.3,False,,False,True
OUT-000191,APT-000324,3.2,69.9,False,,False,False
OUT-000192,APT-000326,3.3,75.7,False,,True,False
OUT-000193,APT-000327,4.1,73.3,False,,True,False
OUT-000194,APT-000328,4.4,79.3,False,,True,True
OUT-000195,APT-000329,5.0,88.4,False,,True,False
OUT-000196,APT-000330,4.1,73.3,False,,True,True
OUT-000197,APT-000331,5.0,83.9,False,,True,False
OUT-000198,APT-000333,4.2,69.6,False,,True,False
OUT-000199,APT-000334,4.6,83.1,False,,True,False
OUT-000200,APT-000335,,91.0,False,,True,True
OUT-000201,APT-000336,4.3,70.5,False,,True,False
OUT-000202,APT-000337,4.0,68.8,False,,True,False
OUT-000203,APT-000338,3.6,78.8,False,,True,False
OUT-000204,APT-000339,4.0,75.7,False,,True,True
OUT-000205,APT-000340,3.5,79.6,False,,True,True
OUT-000206,APT-000341,3.7,72.4,False,,False,False
OUT-000207,APT-000344,4.6,82.7,False,,True,False
OUT-000208,APT-000345,4.2,86.4,False,,True,False
OUT-000209,APT-000346,4.6,79.8,False,,False,False
OUT-000210,APT-000348,4.5,90.7,False,,True,False
OUT-000211,APT-000349,3.9,84.2,False,,True,False
OUT-000212,APT-000350,4.2,76.7,False,,True,False
OUT-000213,APT-000351,4.6,92.0,False,,True,False
OUT-000214,APT-000352,4.2,86.5,False,,False,False
OUT-000215,APT-000353,5.0,76.8,False,,True,False
OUT-000216,APT-000354,4.0,89.4,False,,True,False
OUT-000217,APT-000357,3.8,88.2,False,,True,False
OUT-000218,APT-000358,4.4,72.4,False,,True,False
OUT-000219,APT-000361,5.0,86.7,False,,True,False
OUT-000220,APT-000363,2.9,81.6,False,,True,False
OUT-000221,APT-000364,4.8,77.3,False,,False,False
OUT-000222,APT-000365,4.9,72.2,False,,True,False
OUT-000223,APT-000366,,87.3,False,,True,True
OUT-000224,APT-000370,4.6,100.0,False,,True,True
OUT-000225,APT-000371,3.8,82.8,False,,True,False
OUT-000226,APT-000372,4.4,86.8,False,,True,False
OUT-000227,APT-000373,3.1,81.8,False,,True,False
OUT-000228,APT-000374,3.4,77.2,False,,True,False
OUT-000229,APT-000375,4.6,93.3,False,,True,False
OUT-000230,APT-000377,5.0,93.3,False,,True,False
OUT-000231,APT-000378,4.9,90.7,False,,True,False
OUT-000232,APT-000379,3.8,73.2,False,,True,False
OUT-000233,APT-000382,2.8,70.4,False,,True,False
OUT-000234,APT-000383,4.2,76.9,False,,True,False
OUT-000235,APT-000384,5.0,93.7,False,,True,False
OUT-000236,APT-000386,4.4,82.7,True,High,True,False
OUT-000237,APT-000388,4.4,79.1,False,,True,True
OUT-000238,APT-000389,4.0,100.0,False,,True,False
OUT-000239,APT-000390,2.7,83.1,False,,True,False
OUT-000240,APT-000394,5.0,96.7,False,,True,False
OUT-000241,APT-000396,3.8,90.5,False,,True,False
OUT-000242,APT-000398,,77.4,False,,False,False
OUT-000243,APT-000400,4.7,81.1,False,,True,False
OUT-000244,APT-000401,3.9,73.6,False,,True,False
OUT-000245,APT-000402,4.1,86.1,False,,True,False
OUT-000246,APT-000403,4.0,87.9,False,,True,False
OUT-000247,APT-000404,4.0,73.3,False,,True,False
OUT-000248,APT-000408,3.2,92.9,False,,True,False
OUT-000249,APT-000412,4.8,85.2,False,,True,False
OUT-000250,APT-000417,4.8,96.5,False,,True,False
OUT-000251,APT-000418,3.6,77.7,False,,True,False
OUT-000252,APT-000420,4.2,71.0,False,,False,False
OUT-000253,APT-000422,4.2,85.7,False,,True,False
OUT-000254,APT-000423,4.4,98.0,False,,True,True
OUT-000255,APT-000424,3.7,78.7,False,,True,True
OUT-000256,APT-000425,4.6,72.5,False,,False,False
OUT-000257,APT-000427,,88.1,False,,True,False
OUT-000258,APT-000428,4.7,77.1,False,,True,True
OUT-000259,APT-000429,4.0,81.2,False,,True,True
OUT-000260,APT-000430,4.2,92.1,False,,False,False
OUT-000261,APT-000431,3.7,80.5,False,,True,False
OUT-000262,APT-000433,4.8,79.7,False,,True,False
OUT-000263,APT-000434,4.1,95.1,False,,True,False
OUT-000264,APT-000435,4.7,83.0,False,,True,False
OUT-000265,APT-000436,5.0,64.6,False,,True,False
OUT-000266,APT-000437,5.0,82.0,False,,True,True
OUT-000267,APT-000438,3.9,87.2,False,,True,False
OUT-000268,APT-000439,4.6,84.6,False,,True,False
OUT-000269,APT-000440,4.6,95.3,False,,True,False
OUT-000270,APT-000441,4.4,57.9,False,,True,False
OUT-000271,APT-000443,3.6,89.3,False,,True,False
OUT-000272,APT-000444,4.8,100.0,False,,True,False
OUT-000273,APT-000445,5.0,89.2,False,,True,False
OUT-000274,APT-000447,5.0,85.2,False,,True,False
OUT-000275,APT-000449,4.3,78.4,False,,True,True
OUT-000276,APT-000450,3.7,81.3,False,,True,False
OUT-000277,APT-000451,4.5,89.6,False,,False,False
OUT-000278,APT-000454,4.1,87.3,False,,True,True
OUT-000279,APT-000459,4.0,88.0,False,,True,True
OUT-000280,APT-000461,3.7,72.4,False,,True,False
OUT-000281,APT-000462,3.1,86.9,False,,True,False
OUT-000282,APT-000464,4.4,86.6,False,,True,False
OUT-000283,APT-000465,3.4,92.8,False,,True,True
OUT-000284,APT-000466,3.8,65.5,False,,True,True
OUT-000285,APT-000467,,70.4,False,,True,False
OUT-000286,APT-000468,4.3,71.4,False,,True,False
OUT-000287,APT-000469,4.9,72.3,False,,True,False
OUT-000288,APT-000472,3.8,84.4,False,,True,False
OUT-000289,APT-000473,4.1,72.7,True,High,True,False
OUT-000290,APT-000475,4.0,74.3,False,,True,False
OUT-000291,APT-000476,4.5,98.8,False,,True,False
OUT-000292,APT-000477,4.1,74.0,False,,True,False
OUT-000293,APT-000478,3.7,70.4,False,,False,False
OUT-000294,APT-000479,3.1,75.0,False,,True,False
OUT-000295,APT-000480,4.0,81.8,False,,False,False
OUT-000296,APT-000481,3.9,79.8,False,,True,False
OUT-000297,APT-000482,4.9,89.8,False,,True,True
OUT-000298,APT-000485,4.7,81.2,False,,False,False
OUT-000299,APT-000486,3.1,84.8,False,,True,False
OUT-000300,APT-000488,4.6,100.0,False,,True,False
OUT-000301,APT-000490,3.6,82.0,False,,True,False
OUT-000302,APT-000491,3.5,88.8,False,,True,True
OUT-000303,APT-000492,4.6,88.2,False,,True,False
OUT-000304,APT-000496,4.9,78.0,False,,True,False
OUT-000305,APT-000497,4.9,77.7,False,,True,False
OUT-000306,APT-000498,3.7,72.1,False,,True,True
OUT-000307,APT-000499,4.6,89.4,False,,False,False
OUT-000308,APT-000500,4.1,85.6,False,,True,False
OUT-000309,APT-000501,3.9,71.9,False,,True,False
OUT-000310,APT-000502,,86.5,False,,True,True
OUT-000311,APT-000503,2.8,100.0,False,,True,False
OUT-000312,APT-000504,5.0,100.0,False,,True,False
OUT-000313,APT-000505,3.5,82.4,False,,True,False
OUT-000314,APT-000506,4.1,84.7,False,,False,False
OUT-000315,APT-000509,4.5,88.1,False,,False,False
OUT-000316,APT-000512,3.6,83.8,False,,True,False
OUT-000317,APT-000515,3.9,80.6,False,,True,False
OUT-000318,APT-000516,,81.2,False,,True,True
OUT-000319,APT-000517,4.3,73.7,False,,True,False
OUT-000320,APT-000518,3.4,72.0,False,,True,False
OUT-000321,APT-000519,3.9,77.3,False,,True,False
OUT-000322,APT-000520,4.2,90.0,False,,True,True
OUT-000323,APT-000522,4.8,72.3,False,,True,False
OUT-000324,APT-000523,4.8,75.8,False,,True,False
OUT-000325,APT-000524,5.0,74.5,False,,False,False
OUT-000326,APT-000525,4.3,80.5,False,,True,False
OUT-000327,APT-000526,4.3,89.0,False,,True,False
OUT-000328,APT-000527,4.0,88.2,False,,True,True
OUT-000329,APT-000528,,81.9,False,,True,False
OUT-000330,APT-000529,4.0,79.9,False,,False,False
OUT-000331,APT-000532,4.0,95.6,False,,True,False
OUT-000332,APT-000533,3.8,84.4,False,,True,True
OUT-000333,APT-000534,4.9,93.2,False,,False,True
OUT-000334,APT-000535,4.5,74.7,False,,False,False
OUT-000335,APT-000536,4.1,76.8,False,,False,False
OUT-000336,APT-000537,4.1,81.2,False,,True,False
OUT-000337,APT-000538,3.0,74.2,False,,True,False
OUT-000338,APT-000539,3.9,60.4,False,,True,True
OUT-000339,APT-000540,3.9,77.8,False,,True,False
OUT-000340,APT-000544,4.6,87.3,False,,True,False
OUT-000341,APT-000545,4.4,85.5,False,,True,True
OUT-000342,APT-000546,4.6,87.4,False,,True,False
OUT-000343,APT-000550,5.0,69.0,False,,False,False
OUT-000344,APT-000551,,73.1,False,,False,False
OUT-000345,APT-000552,3.4,68.1,False,,True,True
OUT-000346,APT-000554,4.0,82.9,False,,True,False
OUT-000347,APT-000557,4.9,64.7,False,,True,False
OUT-000348,APT-000559,4.5,80.9,False,,True,False
OUT-000349,APT-000561,,60.3,False,,True,False
OUT-000350,APT-000565,4.3,90.8,False,,True,False
OUT-000351,APT-000566,3.6,79.6,False,,True,False
OUT-000352,APT-000568,4.8,81.3,False,,True,False
OUT-000353,APT-000570,2.6,100.0,False,,True,False
OUT-000354,APT-000571,3.8,74.4,False,,True,False
OUT-000355,APT-000573,3.8,100.0,False,,True,False
OUT-000356,APT-000574,,82.3,False,,True,False
OUT-000357,APT-000576,3.4,79.4,False,,True,True
OUT-000358,APT-000578,4.3,75.7,False,,True,False
OUT-000359,APT-000579,4.4,89.7,False,,True,False
OUT-000360,APT-000580,4.6,62.6,False,,True,False
OUT-000361,APT-000581,,70.6,False,,True,False
OUT-000362,APT-000582,2.4,83.4,False,,True,False
OUT-000363,APT-000583,3.3,76.5,True,High,True,False
OUT-000364,APT-000584,4.3,80.2,False,,True,False
OUT-000365,APT-000585,,90.3,False,,True,False
OUT-000366,APT-000586,4.6,92.3,False,,True,False
OUT-000367,APT-000587,3.8,72.8,False,,True,False
OUT-000368,APT-000588,,87.8,False,,True,True
OUT-000369,APT-000589,3.4,56.9,False,,True,False
OUT-000370,APT-000590,,85.2,True,Medium,True,False
OUT-000371,APT-000591,3.6,74.8,False,,True,False
OUT-000372,APT-000592,3.3,73.7,False,,True,False
OUT-000373,APT-000593,,98.3,False,,True,False
OUT-000374,APT-000595,5.0,77.8,False,,True,False
OUT-000375,APT-000596,3.3,76.7,False,,False,False
OUT-000376,APT-000597,,67.0,False,,True,True
OUT-000377,APT-000598,3.7,89.2,False,,False,False
OUT-000378,APT-000599,3.4,82.2,False,,True,False
OUT-000379,APT-000600,4.3,83.5,False,,True,False
OUT-000380,APT-000602,5.0,88.1,False,,True,True
OUT-000381,APT-000603,4.4,67.8,False,,True,False
OUT-000382,APT-000605,3.5,83.5,False,,True,True
OUT-000383,APT-000606,3.6,94.6,False,,True,False
OUT-000384,APT-000610,,99.1,False,,True,False
OUT-000385,APT-000611,3.6,67.3,False,,True,False
OUT-000386,APT-000612,4.4,86.0,False,,True,False
OUT-000387,APT-000613,3.8,72.6,False,,False,False
OUT-000388,APT-000614,3.1,85.0,False,,False,False
OUT-000389,APT-000615,4.3,90.7,False,,True,False
OUT-000390,APT-000616,3.3,75.5,False,,True,False
OUT-000391,APT-000618,5.0,84.1,False,,True,True
OUT-000392,APT-000620,4.6,74.1,False,,True,False
OUT-000393,APT-000621,4.4,91.1,False,,False,False
OUT-000394,APT-000622,3.4,81.9,False,,True,False
OUT-000395,APT-000624,4.0,68.0,False,,False,False
OUT-000396,APT-000625,4.5,84.3,False,,True,True
OUT-000397,APT-000626,3.9,80.7,False,,True,False
OUT-000398,APT-000629,3.1,74.4,False,,True,True
OUT-000399,APT-000631,3.9,93.3,False,,True,False
OUT-000400,APT-000632,4.1,71.9,False,,True,False
OUT-000401,APT-000633,5.0,78.1,False,,True,True
OUT-000402,APT-000635,4.6,77.0,False,,True,False
OUT-000403,APT-000636,4.1,75.4,False,,True,False
OUT-000404,APT-000637,4.0,76.3,False,,True,False
OUT-000405,APT-000638,,82.8,False,,True,True
OUT-000406,APT-000640,4.2,89.7,False,,False,False
OUT-000407,APT-000641,3.8,89.0,False,,True,False
OUT-000408,APT-000644,5.0,85.0,False,,False,False
OUT-000409,APT-000646,5.0,95.8,False,,True,False
OUT-000410,APT-000648,3.5,84.5,False,,True,True
OUT-000411,APT-000649,3.2,84.9,False,,True,True
OUT-000412,APT-000650,3.1,94.1,False,,True,False
OUT-000413,APT-000651,3.8,61.4,False,,True,False
OUT-000414,APT-000652,3.7,72.0,False,,True,False
OUT-000415,APT-000653,4.5,76.1,False,,True,False
OUT-000416,APT-000654,3.1,79.5,False,,False,False
OUT-000417,APT-000655,4.9,75.1,False,,False,False
OUT-000418,APT-000656,3.7,73.8,False,,True,True
OUT-000419,APT-000659,3.8,88.8,False,,True,False
OUT-000420,APT-000661,5.0,87.6,False,,True,False
OUT-000421,APT-000662,4.0,74.4,False,,True,False
OUT-000422,APT-000666,3.8,82.3,False,,True,False
OUT-000423,APT-000669,4.5,87.9,False,,True,False
OUT-000424,APT-000671,4.3,62.6,False,,True,False
OUT-000425,APT-000672,4.7,89.1,False,,False,True
OUT-000426,APT-000675,,71.4,False,,True,False
OUT-000427,APT-000676,3.8,77.8,False,,True,False
OUT-000428,APT-000679,3.0,68.0,False,,True,True
OUT-000429,APT-000680,4.0,95.8,False,,True,False
OUT-000430,APT-000681,,100.0,False,,True,False
OUT-000431,APT-000684,5.0,95.7,False,,True,False
OUT-000432,APT-000686,2.7,85.6,False,,False,False
OUT-000433,APT-000687,3.2,94.0,False,,True,True
OUT-000434,APT-000690,4.7,83.0,False,,True,False
OUT-000435,APT-000692,4.3,84.1,False,,True,False
OUT-000436,APT-000695,4.1,74.1,False,,True,False
OUT-000437,APT-000696,5.0,79.2,False,,True,False
OUT-000438,APT-000697,4.4,86.5,False,,False,False
OUT-000439,APT-000699,4.5,86.6,False,,True,False
OUT-000440,APT-000702,4.5,80.3,False,,True,False
OUT-000441,APT-000703,4.2,98.1,False,,True,False
OUT-000442,APT-000704,4.6,83.2,False,,True,True
OUT-000443,APT-000705,4.3,63.8,False,,True,False
OUT-000444,APT-000707,3.9,92.8,False,,True,False
OUT-000445,APT-000709,3.3,86.7,False,,True,True
OUT-000446,APT-000710,3.7,86.1,False,,True,True
OUT-000447,APT-000711,5.0,72.9,False,,True,False
OUT-000448,APT-000712,,91.0,False,,False,False
OUT-000449,APT-000713,4.3,85.2,False,,True,True
OUT-000450,APT-000716,4.5,93.5,False,,True,True
OUT-000451,APT-000717,4.5,84.6,False,,True,False
OUT-000452,APT-000718,4.1,96.1,False,,False,True
OUT-000453,APT-000719,3.6,76.0,False,,True,False
OUT-000454,APT-000720,5.0,68.9,True,Low,True,False
OUT-000455,APT-000724,4.4,100.0,False,,True,False
OUT-000456,APT-000725,5.0,85.4,False,,True,False
OUT-000457,APT-000726,3.7,72.2,False,,True,False
OUT-000458,APT-000727,4.9,82.8,False,,True,False
OUT-000459,APT-000728,3.9,78.3,False,,True,False
OUT-000460,APT-000732,5.0,79.3,False,,True,False
OUT-000461,APT-000735,3.8,90.6,False,,True,False
OUT-000462,APT-000737,3.8,84.1,False,,True,False
OUT-000463,APT-000741,3.7,93.7,False,,True,False
OUT-000464,APT-000742,4.4,85.6,False,,True,False
OUT-000465,APT-000743,4.8,90.6,False,,False,True
OUT-000466,APT-000744,4.6,79.9,False,,True,False
OUT-000467,APT-000745,4.1,84.3,False,,True,False
OUT-000468,APT-000746,4.0,70.6,False,,False,False
OUT-000469,APT-000748,4.7,67.8,False,,True,False
OUT-000470,APT-000751,,73.4,True,Low,True,False
OUT-000471,APT-000753,4.3,79.4,False,,False,False
OUT-000472,APT-000754,4.1,100.0,False,,True,True
OUT-000473,APT-000755,1.8,60.6,False,,True,False
OUT-000474,APT-000756,5.0,69.8,False,,True,False
OUT-000475,APT-000757,4.9,95.9,False,,True,False
OUT-000476,APT-000758,3.9,83.5,False,,True,False
OUT-000477,APT-000760,4.3,72.2,False,,True,True
OUT-000478,APT-000762,5.0,100.0,False,,True,False
OUT-000479,APT-000763,4.4,95.4,False,,False,False
OUT-000480,APT-000764,4.3,80.0,False,,True,False
OUT-000481,APT-000765,5.0,79.7,False,,True,False
OUT-000482,APT-000766,3.8,79.7,False,,True,False
OUT-000483,APT-000767,3.4,95.2,False,,True,False
OUT-000484,APT-000768,3.7,59.9,False,,True,False
OUT-000485,APT-000769,4.0,85.2,False,,True,False
OUT-000486,APT-000771,,80.3,False,,True,False
OUT-000487,APT-000772,4.9,85.0,False,,True,False
OUT-000488,APT-000773,4.3,89.8,False,,False,False
OUT-000489,APT-000775,4.5,76.3,False,,True,False
OUT-000490,APT-000776,4.8,93.6,False,,False,False
OUT-000491,APT-000777,4.5,78.4,False,,True,False
OUT-000492,APT-000778,3.9,83.1,False,,True,False
OUT-000493,APT-000780,4.4,76.9,False,,True,False
OUT-000494,APT-000782,4.5,96.0,False,,True,False
OUT-000495,APT-000784,4.4,71.5,True,High,True,False
OUT-000496,APT-000788,3.9,71.6,False,,True,False
OUT-000497,APT-000790,4.1,62.3,False,,False,False
OUT-000498,APT-000791,4.1,98.5,False,,True,False
OUT-000499,APT-000794,,89.8,False,,True,False
