target_id,service_type_id,location_id,urgency,target_response_hours,target_completion_days,min_sla_percent
SLT-0062,SVC-02,LOC-02,Urgent,24,1,95
SLT-0063,SVC-02,LOC-03,Urgent,24,1,95
SLT-0064,SVC-02,LOC-04,Urgent,24,1,95
SLT-0065,SVC-02,LOC-05,Urgent,24,1,95
SLT-0066,SVC-02,LOC-06,Urgent,26,1,95
SLT-0067,SVC-02,LOC-07,Urgent,26,1,95
SLT-0068,SVC-02,LOC-08,Urgent,31,1,95
SLT-0069,SVC-02,LOC-09,Urgent,31,1,95
SLT-0070,SVC-02,LOC-10,Urgent,31,1,95
SLT-0071,SVC-02,LOC-01,Emergency,4,1,95
SLT-0072,SVC-02,LOC-02,Emergency,4,1,95
SLT-0073,SVC-02,LOC-03,Emergency,4,1,95
SLT-0074,SVC-02,LOC-04,Emergency,4,1,95
SLT-0075,SVC-02,LOC-05,Emergency,4,1,95
SLT-0076,SVC-02,LOC-06,Emergency,4,1,95
SLT-0077,SVC-02,LOC-07,Emergency,4,1,95
SLT-0078,SVC-02,LOC-08,Emergency,5,1,95
SLT-0079,SVC-02,LOC-09,Emergency,5,1,95
SLT-0080,SVC-02,LOC-10,Emergency,5,1,95
SLT-0081,SVC-03,LOC-01,Routine,168,7,90
SLT-0082,SVC-03,LOC-02,Routine,168,7,90
SLT-0083,SVC-03,LOC-03,Routine,168,7,90
SLT-0084,SVC-03,LOC-04,Routine,168,7,90
SLT-0085,SVC-03,LOC-05,Routine,168,7,90
SLT-0086,SVC-03,LOC-06,Routine,185,8,90
SLT-0087,SVC-03,LOC-07,Routine,185,8,90
SLT-0088,SVC-03,LOC-08,Routine,218,9,90
SLT-0089,SVC-03,LOC-09,Routine,218,9,90
SLT-0090,SVC-03,LOC-10,Routine,218,9,90
SLT-0091,SVC-03,LOC-01,Priority,72,3,90
SLT-0092,SVC-03,LOC-02,Priority,72,3,90
SLT-0093,SVC-03,LOC-03,Priority,72,3,90
SLT-0094,SVC-03,LOC-04,Priority,72,3,90
SLT-0095,SVC-03,LOC-05,Priority,72,3,90
SLT-0096,SVC-03,LOC-06,Priority,79,3,90
SLT-0097,SVC-03,LOC-07,Priority,79,3,90
SLT-0098,SVC-03,LOC-08,Priority,94,4,90
SLT-0099,SVC-03,LOC-09,Priority,94,4,90
SLT-0100,SVC-03,LOC-10,Priority,94,4,90
SLT-0101,SVC-03,LOC-01,Urgent,24,1,95
SLT-0102,SVC-03,LOC-02,Urgent,24,1,95
SLT-0103,SVC-03,LOC-03,Urgent,24,1,95
SLT-0104,SVC-03,LOC-04,Urgent,24,1,95
SLT-0105,SVC-03,LOC-05,Urgent,24,1,95
SLT-0106,SVC-03,LOC-06,Urgent,26,1,95
SLT-0107,SVC-03,LOC-07,Urgent,26,1,95
SLT-0108,SVC-03,LOC-08,Urgent,31,1,95
SLT-0109,SVC-03,LOC-09,Urgent,31,1,95
SLT-0110,SVC-03,LOC-10,Urgent,31,1,95
SLT-0111,SVC-03,LOC-01,Emergency,4,1,95
SLT-0112,SVC-03,LOC-02,Emergency,4,1,95
SLT-0113,SVC-03,LOC-03,Emergency,4,1,95
SLT-0114,SVC-03,LOC-04,Emergency,4,1,95
SLT-0115,SVC-03,LOC-05,Emergency,4,1,95
SLT-0116,SVC-03,LOC-06,Emergency,4,1,95
SLT-0117,SVC-03,LOC-07,Emergency,4,1,95
SLT-0118,SVC-03,LOC-08,Emergency,5,1,95
SLT-0119,SVC-03,LOC-09,Emergency,5,1,95
SLT-0120,SVC-03,LOC-10,Emergency,5,1,95
SLT-0121,SVC-04,LOC-01,Routine,168,7,90
SLT-0122,SVC-04,LOC-02,Routine,168,7,90
SLT-0123,SVC-04,LOC-03,Routine,168,7,90
SLT-0124,SVC-04,LOC-04,Routine,168,7,90
SLT-0125,SVC-04,LOC-05,Routine,168,7,90
SLT-0126,SVC-04,LOC-06,Routine,185,8,90
SLT-0127,SVC-04,LOC-07,Routine,185,8,90
SLT-0128,SVC-04,LOC-08,Routine,218,9,90
SLT-0129,SVC-04,LOC-09,Routine,218,9,90
SLT-0130,SVC-04,LOC-10,Routine,218,9,90
SLT-0131,SVC-04,LOC-01,Priority,72,3,90
SLT-0132,SVC-04,LOC-02,Priority,72,3,90
SLT-0133,SVC-04,LOC-03,Priority,72,3,90
SLT-0134,SVC-04,LOC-04,Priority,72,3,90
SLT-0135,SVC-04,LOC-05,Priority,72,3,90
SLT-0136,SVC-04,LOC-06,Priority,79,3,90
SLT-0137,SVC-04,LOC-07,Priority,79,3,90
SLT-0138,SVC-04,LOC-08,Priority,94,4,90
SLT-0139,SVC-04,LOC-09,Priority,94,4,90
SLT-0140,SVC-04,LOC-10,Priority,94,4,90
SLT-0141,SVC-04,LOC-01,Urgent,24,1,95
SLT-0142,SVC-04,LOC-02,Urgent,24,1,95
SLT-0143,SVC-04,LOC-03,Urgent,24,1,95
SLT-0144,SVC-04,LOC-04,Urgent,24,1,95
SLT-0145,SVC-04,LOC-05,Urgent,24,1,95
SLT-0146,SVC-04,LOC-06,Urgent,26,1,95
SLT-0147,SVC-04,LOC-07,Urgent,26,1,95
SLT-0148,SVC-04,LOC-08,Urgent,31,1,95
SLT-0149,SVC-04,LOC-09,Urgent,31,1,95
SLT-0150,SVC-04,LOC-10,Urgent,31,1,95
SLT-0151,SVC-04,LOC-01,Emergency,4,1,95
SLT-0152,SVC-04,LOC-02,Emergency,4,1,95
SLT-0153,SVC-04,LOC-03,Emergency,4,1,95
SLT-0154,SVC-04,LOC-04,Emergency,4,1,95
SLT-0155,SVC-04,LOC-05,Emergency,4,1,95
SLT-0156,SVC-04,LOC-06,Emergency,4,1,95
SLT-0157,SVC-04,LOC-07,Emergency,4,1,95
SLT-0158,SVC-04,LOC-08,Emergency,5,1,95
SLT-0159,SVC-04,LOC-09,Emergency,5,1,95
SLT-0160,SVC-04,LOC-10,Emergency,5,1,95
SLT-0161,SVC-05,LOC-01,Routine,168,7,90
SLT-0162,SVC-05,LOC-02,Routine,168,7,90
SLT-0163,SVC-05,LOC-03,Routine,168,7,90
SLT-0164,SVC-05,LOC-04,Routine,168,7,90
SLT-0165,SVC-05,LOC-05,Routine,168,7,90
SLT-0166,SVC-05,LOC-06,Routine,185,8,90
SLT-0167,SVC-05,LOC-07,Routine,185,8,90
SLT-0168,SVC-05,LOC-08,Routine,218,9,90
SLT-0169,SVC-05,LOC-09,Routine,218,9,90
SLT-0170,SVC-05,LOC-10,Routine,218,9,90
SLT-0171,SVC-05,LOC-01,Priority,72,3,90
SLT-0172,SVC-05,LOC-02,Priority,72,3,90
SLT-0173,SVC-05,LOC-03,Priority,72,3,90
SLT-0174,SVC-05,LOC-04,Priority,72,3,90
SLT-0175,SVC-05,LOC-05,Priority,72,3,90
SLT-0176,SVC-05,LOC-06,Priority,79,3,90
SLT-0177,SVC-05,LOC-07,Priority,79,3,90
SLT-0178,SVC-05,LOC-08,Priority,94,4,90
SLT-0179,SVC-05,LOC-09,Priority,94,4,90
SLT-0180,SVC-05,LOC-10,Priority,94,4,90
SLT-0181,SVC-05,LOC-01,Urgent,24,1,95
SLT-0182,SVC-05,LOC-02,Urgent,24,1,95
SLT-0183,SVC-05,LOC-03,Urgent,24,1,95
SLT-0184,SVC-05,LOC-04,Urgent,24,1,95
SLT-0185,SVC-05,LOC-05,Urgent,24,1,95
SLT-0186,SVC-05,LOC-06,Urgent,26,1,95
SLT-0187,SVC-05,LOC-07,Urgent,26,1,95
SLT-0188,SVC-05,LOC-08,Urgent,31,1,95
SLT-0189,SVC-05,LOC-09,Urgent,31,1,95
SLT-0190,SVC-05,LOC-10,Urgent,31,1,95
SLT-0191,SVC-05,LOC-01,Emergency,4,1,95
SLT-0192,SVC-05,LOC-02,Emergency,4,1,95
SLT-0193,SVC-05,LOC-03,Emergency,4,1,95
SLT-0194,SVC-05,LOC-04,Emergency,4,1,95
SLT-0195,SVC-05,LOC-05,Emergency,4,1,95
SLT-0196,SVC-05,LOC-06,Emergency,4,1,95
SLT-0197,SVC-05,LOC-07,Emergency,4,1,95
SLT-0198,SVC-05,LOC-08,Emergency,5,1,95
SLT-0199,SVC-05,LOC-09,Emergency,5,1,95
SLT-0200,SVC-05,LOC-10,Emergency,5,1,95
SLT-0201,SVC-06,LOC-01,Routine,168,7,90
SLT-0202,SVC-06,LOC-02,Routine,168,7,90
SLT-0203,SVC-06,LOC-03,Routine,168,7,90
SLT-0204,SVC-06,LOC-04,Routine,168,7,90
SLT-0205,SVC-06,LOC-05,Routine,168,7,90
SLT-0206,SVC-06,LOC-06,Routine,185,8,90
SLT-0207,SVC-06,LOC-07,Routine,185,8,90
SLT-0208,SVC-06,LOC-08,Routine,218,9,90
SLT-0209,SVC-06,LOC-09,Routine,218,9,90
SLT-0210,SVC-06,LOC-10,Routine,218,9,90
SLT-0211,SVC-06,LOC-01,Priority,72,3,90
SLT-0212,SVC-06,LOC-02,Priority,72,3,90
SLT-0213,SVC-06,LOC-03,Priority,72,3,90
SLT-0214,SVC-06,LOC-04,Priority,72,3,90
SLT-0215,SVC-06,LOC-05,Priority,72,3,90
SLT-0216,SVC-06,LOC-06,Priority,79,3,90
SLT-0217,SVC-06,LOC-07,Priority,79,3,90
SLT-0218,SVC-06,LOC-08,Priority,94,4,90
SLT-0219,SVC-06,LOC-09,Priority,94,4,90
SLT-0220,SVC-06,LOC-10,Priority,94,4,90
SLT-0221,SVC-06,LOC-01,Urgent,24,1,95
SLT-0222,SVC-06,LOC-02,Urgent,24,1,95
SLT-0223,SVC-06,LOC-03,Urgent,24,1,95
SLT-0224,SVC-06,LOC-04,Urgent,24,1,95
SLT-0225,SVC-06,LOC-05,Urgent,24,1,95
SLT-0226,SVC-06,LOC-06,Urgent,26,1,95
SLT-0227,SVC-06,LOC-07,Urgent,26,1,95
SLT-0228,SVC-06,LOC-08,Urgent,31,1,95
SLT-0229,SVC-06,LOC-09,Urgent,31,1,95
SLT-0230,SVC-06,LOC-10,Urgent,31,1,95
SLT-0231,SVC-06,LOC-01,Emergency,4,1,95
SLT-0232,SVC-06,LOC-02,Emergency,4,1,95
SLT-0233,SVC-06,LOC-03,Emergency,4,1,95
SLT-0234,SVC-06,LOC-04,Emergency,4,1,95
SLT-0235,SVC-06,LOC-05,Emergency,4,1,95
SLT-0236,SVC-06,LOC-06,Emergency,4,1,95
SLT-0237,SVC-06,LOC-07,Emergency,4,1,95
SLT-0238,SVC-06,LOC-08,Emergency,5,1,95
SLT-0239,SVC-06,LOC-09,Emergency,5,1,95
SLT-0240,SVC-06,LOC-10,Emergency,5,1,95
SLT-0241,SVC-07,LOC-01,Routine,168,7,90
SLT-0242,SVC-07,LOC-02,Routine,168,7,90
SLT-0243,SVC-07,LOC-03,Routine,168,7,90
SLT-0244,SVC-07,LOC-04,Routine,168,7,90
SLT-0245,SVC-07,LOC-05,Routine,168,7,90
SLT-0246,SVC-07,LOC-06,Routine,185,8,90
SLT-0247,SVC-07,LOC-07,Routine,185,8,90
SLT-0248,SVC-07,LOC-08,Routine,218,9,90
SLT-0249,SVC-07,LOC-09,Routine,218,9,90
SLT-0250,SVC-07,LOC-10,Routine,218,9,90
SLT-0251,SVC-07,LOC-01,Priority,72,3,90
SLT-0252,SVC-07,LOC-02,Priority,72,3,90
SLT-0253,SVC-07,LOC-03,Priority,72,3,90
SLT-0254,SVC-07,LOC-04,Priority,72,3,90
SLT-0255,SVC-07,LOC-05,Priority,72,3,90
SLT-0256,SVC-07,LOC-06,Priority,79,3,90
SLT-0257,SVC-07,LOC-07,Priority,79,3,90
SLT-0258,SVC-07,LOC-08,Priority,94,4,90
SLT-0259,SVC-07,LOC-09,Priority,94,4,90
SLT-0260,SVC-07,LOC-10,Priority,94,4,90
SLT-0261,SVC-07,LOC-01,Urgent,24,1,95
SLT-0262,SVC-07,LOC-02,Urgent,24,1,95
SLT-0263,SVC-07,LOC-03,Urgent,24,1,95
SLT-0264,SVC-07,LOC-04,Urgent,24,1,95
SLT-0265,SVC-07,LOC-05,Urgent,24,1,95
SLT-0266,SVC-07,LOC-06,Urgent,26,1,95
SLT-0267,SVC-07,LOC-07,Urgent,26,1,95
SLT-0268,SVC-07,LOC-08,Urgent,31,1,95
SLT-0269,SVC-07,LOC-09,Urgent,31,1,95
SLT-0270,SVC-07,LOC-10,Urgent,31,1,95
SLT-0271,SVC-07,LOC-01,Emergency,4,1,95
SLT-0272,SVC-07,LOC-02,Emergency,4,1,95
SLT-0273,SVC-07,LOC-03,Emergency,4,1,95
SLT-0274,SVC-07,LOC-04,Emergency,4,1,95
SLT-0275,SVC-07,LOC-05,Emergency,4,1,95
SLT-0276,SVC-07,LOC-06,Emergency,4,1,95
SLT-0277,SVC-07,LOC-07,Emergency,4,1,95
SLT-0278,SVC-07,LOC-08,Emergency,5,1,95
SLT-0279,SVC-07,LOC-09,Emergency,5,1,95
SLT-0280,SVC-07,LOC-10,Emergency,5,1,95
SLT-0281,SVC-08,LOC-01,Routine,168,7,90
SLT-0282,SVC-08,LOC-02,Routine,168,7,90
SLT-0283,SVC-08,LOC-03,Routine,168,7,90
SLT-0284,SVC-08,LOC-04,Routine,168,7,90
SLT-0285,SVC-08,LOC-05,Routine,168,7,90
SLT-0286,SVC-08,LOC-06,Routine,185,8,90
SLT-0287,SVC-08,LOC-07,Routine,185,8,90
SLT-0288,SVC-08,LOC-08,Routine,218,9,90
SLT-0289,SVC-08,LOC-09,Routine,218,9,90
SLT-0290,SVC-08,LOC-10,Routine,218,9,90
SLT-0291,SVC-08,LOC-01,Priority,72,3,90
SLT-0292,SVC-08,LOC-02,Priority,72,3,90
SLT-0293,SVC-08,LOC-03,Priority,72,3,90
SLT-0294,SVC-08,LOC-04,Priority,72,3,90
SLT-0295,SVC-08,LOC-05,Priority,72,3,90
SLT-0296,SVC-08,LOC-06,Priority,79,3,90
SLT-0297,SVC-08,LOC-07,Priority,79,3,90
SLT-0298,SVC-08,LOC-08,Priority,94,4,90
SLT-0299,SVC-08,LOC-09,Priority,94,4,90
SLT-0300,SVC-08,LOC-10,Priority,94,4,90
SLT-0301,SVC-08,LOC-01,Urgent,24,1,95
SLT-0302,SVC-08,LOC-02,Urgent,24,1,95
SLT-0303,SVC-08,LOC-03,Urgent,24,1,95
SLT-0304,SVC-08,LOC-04,Urgent,24,1,95
SLT-0305,SVC-08,LOC-05,Urgent,24,1,95
SLT-0306,SVC-08,LOC-06,Urgent,26,1,95
SLT-0307,SVC-08,LOC-07,Urgent,26,1,95
SLT-0308,SVC-08,LOC-08,Urgent,31,1,95
SLT-0309,SVC-08,LOC-09,Urgent,31,1,95
SLT-0310,SVC-08,LOC-10,Urgent,31,1,95
SLT-0311,SVC-08,LOC-01,Emergency,4,1,95
SLT-0312,SVC-08,LOC-02,Emergency,4,1,95
SLT-0313,SVC-08,LOC-03,Emergency,4,1,95
SLT-0314,SVC-08,LOC-04,Emergency,4,1,95
SLT-0315,SVC-08,LOC-05,Emergency,4,1,95
SLT-0316,SVC-08,LOC-06,Emergency,4,1,95
SLT-0317,SVC-08,LOC-07,Emergency,4,1,95
SLT-0318,SVC-08,LOC-08,Emergency,5,1,95
SLT-0319,SVC-08,LOC-09,Emergency,5,1,95
SLT-0320,SVC-08,LOC-10,Emergency,5,1,95
SLT-0321,SVC-09,LOC-01,Routine,168,7,90
SLT-0322,SVC-09,LOC-02,Routine,168,7,90
SLT-0323,SVC-09,LOC-03,Routine,168,7,90
SLT-0324,SVC-09,LOC-04,Routine,168,7,90
SLT-0325,SVC-09,LOC-05,Routine,168,7,90
SLT-0326,SVC-09,LOC-06,Routine,185,8,90
SLT-0327,SVC-09,LOC-07,Routine,185,8,90
SLT-0328,SVC-09,LOC-08,Routine,218,9,90
SLT-0329,SVC-09,LOC-09,Routine,218,9,90
SLT-0330,SVC-09,LOC-10,Routine,218,9,90
SLT-0331,SVC-09,LOC-01,Priority,72,3,90
SLT-0332,SVC-09,LOC-02,Priority,72,3,90
SLT-0333,SVC-09,LOC-03,Priority,72,3,90
SLT-0334,SVC-09,LOC-04,Priority,72,3,90
SLT-0335,SVC-09,LOC-05,Priority,72,3,90
SLT-0336,SVC-09,LOC-06,Priority,79,3,90
SLT-0337,SVC-09,LOC-07,Priority,79,3,90
SLT-0338,SVC-09,LOC-08,Priority,94,4,90
SLT-0339,SVC-09,LOC-09,Priority,94,4,90
SLT-0340,SVC-09,LOC-10,Priority,94,4,90
SLT-0341,SVC-09,LOC-01,Urgent,24,1,95
SLT-0342,SVC-09,LOC-02,Urgent,24,1,95
SLT-0343,SVC-09,LOC-03,Urgent,24,1,95
SLT-0344,SVC-09,LOC-04,Urgent,24,1,95
SLT-0345,SVC-09,LOC-05,Urgent,24,1,95
SLT-0346,SVC-09,LOC-06,Urgent,26,1,95
SLT-0347,SVC-09,LOC-07,Urgent,26,1,95
SLT-0348,SVC-09,LOC-08,Urgent,31,1,95
SLT-0349,SVC-09,LOC-09,Urgent,31,1,95
SLT-0350,SVC-09,LOC-10,Urgent,31,1,95
SLT-0351,SVC-09,LOC-01,Emergency,4,1,95
SLT-0352,SVC-09,LOC-02,Emergency,4,1,95
SLT-0353,SVC-09,LOC-03,Emergency,4,1,95
SLT-0354,SVC-09,LOC-04,Emergency,4,1,95
SLT-0355,SVC-09,LOC-05,Emergency,4,1,95
SLT-0356,SVC-09,LOC-06,Emergency,4,1,95
SLT-0357,SVC-09,LOC-07,Emergency,4,1,95
SLT-0358,SVC-09,LOC-08,Emergency,5,1,95
SLT-0359,SVC-09,LOC-09,Emergency,5,1,95
SLT-0360,SVC-09,LOC-10,Emergency,5,1,95
