request_id,employee_id,service_type_id,location_id,urgency,assigned_hours
REQ-003953,EMP-00091,SVC-06,LOC-07,Routine,0.67
REQ-004366,EMP-00117,SVC-05,LOC-09,Routine,0.75
REQ-003050,EMP-00075,SVC-04,LOC-02,Routine,1.0
REQ-003995,EMP-00047,SVC-01,LOC-01,Routine,1.0
REQ-002469,EMP-00102,SVC-01,LOC-02,Routine,1.0
REQ-007013,EMP-00134,SVC-06,LOC-01,Routine,0.67
REQ-007007,EMP-00086,SVC-07,LOC-02,Routine,0.83
REQ-000184,EMP-00129,SVC-01,LOC-02,Routine,1.0
REQ-000805,EMP-00123,SVC-05,LOC-08,Routine,0.75
REQ-005148,EMP-00002,SVC-05,LOC-01,Routine,0.75
REQ-006486,EMP-00139,SVC-06,LOC-08,Routine,0.67
REQ-007111,EMP-00095,SVC-05,LOC-09,Routine,0.75
REQ-003641,EMP-00136,SVC-03,LOC-01,Routine,0.75
REQ-001461,EMP-00043,SVC-01,LOC-08,Routine,1.0
REQ-004067,EMP-00006,SVC-06,LOC-07,Routine,0.67
REQ-000314,EMP-00098,SVC-01,LOC-01,Routine,1.0
REQ-004057,EMP-00128,SVC-09,LOC-08,Routine,1.0
REQ-004515,EMP-00008,SVC-06,LOC-06,Routine,0.67
REQ-000881,EMP-00115,SVC-08,LOC-05,Routine,1.5
REQ-005040,EMP-00066,SVC-01,LOC-07,Routine,1.0
REQ-003138,EMP-00080,SVC-04,LOC-09,Routine,1.0
REQ-002347,EMP-00033,SVC-03,LOC-07,Routine,0.75
REQ-003240,EMP-00013,SVC-05,LOC-03,Routine,0.75
REQ-001582,EMP-00042,SVC-03,LOC-01,Routine,0.75
REQ-003569,EMP-00010,SVC-05,LOC-01,Routine,0.75
REQ-004718,EMP-00011,SVC-05,LOC-05,Routine,0.75
REQ-001858,EMP-00103,SVC-06,LOC-02,Routine,0.67
REQ-004903,EMP-00101,SVC-05,LOC-09,Routine,0.75
REQ-004471,EMP-00106,SVC-09,LOC-01,Routine,1.0
REQ-006704,EMP-00118,SVC-08,LOC-03,Routine,1.5
REQ-000900,EMP-00090,SVC-06,LOC-06,Routine,0.67
REQ-006635,EMP-00005,SVC-07,LOC-01,Routine,0.83
REQ-001848,EMP-00037,SVC-05,LOC-06,Routine,0.75
REQ-004120,EMP-00089,SVC-03,LOC-01,Routine,0.75
REQ-004783,EMP-00100,SVC-04,LOC-10,Routine,1.0
REQ-001256,EMP-00022,SVC-01,LOC-01,Routine,1.0
REQ-003794,EMP-00092,SVC-03,LOC-02,Routine,0.75
REQ-000136,EMP-00112,SVC-04,LOC-03,Routine,1.0
REQ-005317,EMP-00041,SVC-08,LOC-07,Routine,1.5
REQ-006599,EMP-00024,SVC-01,LOC-05,Routine,1.0
REQ-003620,EMP-00085,SVC-08,LOC-02,Routine,1.5
REQ-000601,EMP-00122,SVC-08,LOC-09,Routine,1.5
REQ-001072,EMP-00030,SVC-08,LOC-03,Routine,1.5
REQ-000394,EMP-00133,SVC-09,LOC-03,Routine,1.0
REQ-000311,EMP-00083,SVC-03,LOC-10,Routine,0.75
REQ-004743,EMP-00052,SVC-01,LOC-08,Routine,1.0
REQ-006045,EMP-00115,SVC-08,LOC-02,Routine,1.5
REQ-000239,EMP-00118,SVC-08,LOC-06,Routine,1.5
REQ-001675,EMP-00099,SVC-01,LOC-03,Routine,1.0
REQ-003416,EMP-00150,SVC-01,LOC-02,Routine,1.0
REQ-006142,EMP-00096,SVC-05,LOC-06,Routine,0.75
REQ-001813,EMP-00137,SVC-04,LOC-02,Routine,1.0
REQ-004312,EMP-00027,SVC-06,LOC-08,Routine,0.67
REQ-006241,EMP-00032,SVC-01,LOC-04,Routine,1.0
REQ-007236,EMP-00049,SVC-01,LOC-01,Routine,1.0
REQ-005366,EMP-00110,SVC-06,LOC-08,Routine,0.67
REQ-000377,EMP-00028,SVC-05,LOC-08,Routine,0.75
REQ-006334,EMP-00119,SVC-09,LOC-08,Routine,1.0
REQ-005097,EMP-00021,SVC-07,LOC-04,Routine,0.83
REQ-002958,EMP-00141,SVC-01,LOC-03,Routine,1.0
REQ-001607,EMP-00017,SVC-07,LOC-02,Routine,0.83
REQ-002116,EMP-00025,SVC-04,LOC-08,Routine,1.0
REQ-007108,EMP-00065,SVC-01,LOC-03,Routine,1.0
REQ-004459,EMP-00057,SVC-06,LOC-09,Routine,0.67
REQ-005095,EMP-00084,SVC-01,LOC-03,Routine,1.0
REQ-000983,EMP-00004,SVC-03,LOC-01,Routine,0.75
REQ-003745,EMP-00038,SVC-05,LOC-02,Routine,0.75
REQ-005481,EMP-00060,SVC-06,LOC-03,Routine,0.67
REQ-005987,EMP-00126,SVC-06,LOC-09,Routine,0.67
REQ-003047,EMP-00040,SVC-05,LOC-08,Routine,0.75
REQ-004370,EMP-00036,SVC-07,LOC-10,Routine,0.83
REQ-001344,EMP-00104,SVC-04,LOC-09,Routine,1.0
REQ-001466,EMP-00039,SVC-03,LOC-09,Routine,0.75
REQ-000639,EMP-00075,SVC-04,LOC-10,Routine,1.0
REQ-004835,EMP-00016,SVC-03,LOC-06,Routine,0.75
REQ-006252,EMP-00146,SVC-01,LOC-07,Routine,1.0
REQ-003757,EMP-00093,SVC-01,LOC-03,Routine,1.0
REQ-004880,EMP-00086,SVC-07,LOC-02,Routine,0.83
REQ-000810,EMP-00091,SVC-06,LOC-02,Routine,0.67
REQ-006900,EMP-00136,SVC-08,LOC-08,Routine,1.5
REQ-005078,EMP-00134,SVC-06,LOC-09,Routine,0.67
REQ-001159,EMP-00015,SVC-07,LOC-08,Routine,0.83
REQ-006929,EMP-00056,SVC-07,LOC-04,Routine,0.83
REQ-004893,EMP-00061,SVC-05,LOC-04,Routine,0.75
REQ-000562,EMP-00138,SVC-01,LOC-10,Routine,1.0
REQ-002215,EMP-00044,SVC-03,LOC-09,Routine,0.75
REQ-006845,EMP-00051,SVC-05,LOC-02,Routine,0.75
REQ-007244,EMP-00139,SVC-06,LOC-04,Routine,0.67
REQ-001960,EMP-00014,SVC-01,LOC-06,Routine,1.0
REQ-000386,EMP-00080,SVC-04,LOC-06,Routine,1.0
REQ-001166,EMP-00131,SVC-05,LOC-07,Routine,0.75
REQ-004457,EMP-00121,SVC-09,LOC-06,Routine,1.0
REQ-001610,EMP-00143,SVC-05,LOC-06,Routine,0.75
REQ-005484,EMP-00041,SVC-08,LOC-06,Routine,1.5
REQ-002641,EMP-00124,SVC-07,LOC-08,Routine,0.83
REQ-003671,EMP-00031,SVC-01,LOC-01,Routine,1.0
REQ-002123,EMP-00035,SVC-03,LOC-06,Routine,0.75
REQ-002942,EMP-00033,SVC-07,LOC-04,Routine,0.83
REQ-000122,EMP-00100,SVC-04,LOC-10,Routine,1.0
REQ-004070,EMP-00054,SVC-05,LOC-05,Routine,0.75
REQ-003875,EMP-00042,SVC-07,LOC-09,Routine,0.83
REQ-001063,EMP-00112,SVC-04,LOC-07,Routine,1.0
REQ-002417,EMP-00024,SVC-01,LOC-05,Routine,1.0
REQ-000719,EMP-00005,SVC-07,LOC-03,Routine,0.83
REQ-001845,EMP-00068,SVC-03,LOC-04,Routine,0.75
REQ-000446,EMP-00050,SVC-03,LOC-04,Routine,0.75
REQ-004894,EMP-00063,SVC-03,LOC-08,Routine,0.75
REQ-002267,EMP-00067,SVC-05,LOC-10,Routine,0.75
REQ-002642,EMP-00142,SVC-05,LOC-07,Routine,0.75
REQ-004187,EMP-00085,SVC-08,LOC-08,Routine,1.5
REQ-002986,EMP-00022,SVC-01,LOC-10,Routine,1.0
REQ-000862,EMP-00065,SVC-01,LOC-10,Routine,1.0
REQ-000412,EMP-00089,SVC-03,LOC-07,Routine,0.75
REQ-005902,EMP-00023,SVC-01,LOC-04,Routine,1.0
REQ-004629,EMP-00043,SVC-01,LOC-08,Routine,1.0
REQ-003023,EMP-00092,SVC-03,LOC-04,Routine,0.75
REQ-006380,EMP-00128,SVC-04,LOC-06,Routine,1.0
REQ-000032,EMP-00137,SVC-04,LOC-03,Routine,1.0
REQ-001197,EMP-00062,SVC-05,LOC-06,Routine,0.75
REQ-005468,EMP-00086,SVC-07,LOC-09,Routine,0.83
REQ-002292,EMP-00069,SVC-01,LOC-06,Routine,1.0
REQ-003320,EMP-00102,SVC-01,LOC-02,Routine,1.0
REQ-006456,EMP-00032,SVC-01,LOC-10,Routine,1.0
REQ-002203,EMP-00025,SVC-04,LOC-02,Routine,1.0
REQ-006289,EMP-00030,SVC-08,LOC-03,Routine,1.5
REQ-003314,EMP-00052,SVC-01,LOC-08,Routine,1.0
REQ-007024,EMP-00104,SVC-04,LOC-07,Routine,1.0
REQ-007047,EMP-00105,SVC-05,LOC-10,Routine,0.75
REQ-006024,EMP-00047,SVC-01,LOC-10,Routine,1.0
REQ-007260,EMP-00083,SVC-03,LOC-02,Routine,0.75
REQ-005503,EMP-00017,SVC-07,LOC-06,Routine,0.83
REQ-001702,EMP-00084,SVC-01,LOC-08,Routine,1.0
REQ-000276,EMP-00049,SVC-01,LOC-10,Routine,1.0
REQ-005575,EMP-00070,SVC-05,LOC-05,Routine,0.75
REQ-006291,EMP-00075,SVC-04,LOC-01,Routine,1.0
REQ-003337,EMP-00080,SVC-04,LOC-07,Routine,1.0
REQ-001781,EMP-00079,SVC-05,LOC-03,Routine,0.75
REQ-004965,EMP-00138,SVC-01,LOC-08,Routine,1.0
REQ-006177,EMP-00100,SVC-04,LOC-04,Routine,1.0
REQ-000014,EMP-00055,SVC-01,LOC-04,Routine,1.0
REQ-003086,EMP-00094,SVC-05,LOC-06,Routine,0.75
REQ-002076,EMP-00099,SVC-01,LOC-03,Routine,1.0
REQ-002735,EMP-00115,SVC-08,LOC-10,Routine,1.5
