appointment_id,request_id,employee_id,location_id,service_type_id,scheduled_date,status,travel_minutes,override_flag,override_reason,cancellation_reason,cancelled_by,notice_hours,rebooked_flag,client_satisfaction_score,outcome_quality_score,incident_flag,goal_achieved_flag,follow_up_required_flag
APT-000044,REQ-000049,EMP-00119,LOC-07,SVC-02,2025-08-05,No-show,21,False,,Duplicate booking,Organisation,19.7,True,,,,,
APT-000045,REQ-000050,EMP-00064,LOC-01,SVC-07,2025-08-05,No-show,35,False,,Client unwell,Client,14.8,False,,,,,
APT-000046,REQ-000051,EMP-00105,LOC-07,SVC-05,2025-08-05,Cancelled,7,False,,Transport issue,Client,3.4,True,,,,,
APT-000058,REQ-000064,EMP-00008,LOC-01,SVC-01,2025-08-06,Cancelled,3,False,,Transport issue,Employee,37.0,False,,,,,
APT-000061,REQ-000067,EMP-00054,LOC-03,SVC-04,2025-08-04,Cancelled,25,False,,Transport issue,Organisation,8.7,True,,,,,
APT-000063,REQ-000069,EMP-00106,LOC-08,SVC-02,2025-08-05,Cancelled,51,False,,Client unwell,Employee,0.0,True,,,,,
APT-000064,REQ-000070,EMP-00005,LOC-04,SVC-05,2025-08-05,No-show,17,False,,Staff illness,Employee,0.0,True,,,,,
APT-000068,REQ-000074,EMP-00103,LOC-06,SVC-01,2025-08-06,No-show,53,False,,Weather,Client,1.1,True,,,,,
APT-000076,REQ-000083,EMP-00113,LOC-05,SVC-01,2025-08-06,Cancelled,35,False,,Staff illness,Client,27.5,False,,,,,
APT-000084,REQ-000092,EMP-00016,LOC-08,SVC-01,2025-08-07,Cancelled,41,False,,Transport issue,Employee,20.9,True,,,,,
APT-000085,REQ-000093,EMP-00134,LOC-02,SVC-04,2025-08-05,No-show,44,False,,Weather,Client,0.0,True,,,,,
APT-000086,REQ-000094,EMP-00038,LOC-03,SVC-05,2025-08-05,Cancelled,11,False,,Client unavailable,Organisation,61.2,False,,,,,
APT-000092,REQ-000100,EMP-00110,LOC-05,SVC-02,2025-08-07,Cancelled,13,False,,Duplicate booking,Employee,34.0,False,,,,,
APT-000094,REQ-000102,EMP-00033,LOC-10,SVC-05,2025-08-07,Cancelled,16,False,,Client unavailable,Client,53.4,True,,,,,
APT-000095,REQ-000103,EMP-00115,LOC-08,SVC-05,2025-08-06,Cancelled,21,False,,Client declined,Employee,8.7,True,,,,,
APT-000106,REQ-000115,EMP-00069,LOC-02,SVC-05,2025-08-06,Cancelled,3,False,,Transport issue,Employee,0.0,False,,,,,
APT-000110,REQ-000119,EMP-00041,LOC-07,SVC-06,2025-08-07,Cancelled,42,True,Continuity of care,Other,Client,0.0,True,,,,,
APT-000113,REQ-000123,EMP-00120,LOC-08,SVC-06,2025-08-07,Cancelled,12,False,,Other,Organisation,25.4,False,,,,,
APT-000115,REQ-000125,EMP-00105,LOC-08,SVC-02,2025-08-11,Cancelled,15,False,,Staff illness,Client,15.1,False,,,,,
APT-000130,REQ-000141,EMP-00119,LOC-10,SVC-05,2025-08-08,Cancelled,32,False,,Client unavailable,Client,27.3,True,,,,,
APT-000133,REQ-000144,EMP-00093,LOC-02,SVC-01,2025-08-07,Cancelled,16,False,,Client unwell,Client,30.8,False,,,,,
APT-000134,REQ-000145,EMP-00137,LOC-07,SVC-09,2025-08-07,Cancelled,61,False,,Client declined,Client,0.0,True,,,,,
APT-000136,REQ-000147,EMP-00040,LOC-08,SVC-01,2025-08-07,Cancelled,39,True,Client preference,Client unavailable,Client,16.4,False,,,,,
APT-000138,REQ-000149,EMP-00096,LOC-10,SVC-05,2025-08-08,Cancelled,22,False,,Other,Employee,0.0,True,,,,,
APT-000140,REQ-000151,EMP-00013,LOC-06,SVC-06,2025-08-11,No-show,33,False,,Weather,Client,56.4,True,,,,,
APT-000141,REQ-000152,EMP-00110,LOC-10,SVC-06,2025-08-08,Cancelled,26,False,,Duplicate booking,Client,0.0,True,,,,,
APT-000145,REQ-000158,EMP-00028,LOC-05,SVC-01,2025-08-08,No-show,12,False,,Client unwell,Client,25.2,True,,,,,
APT-000147,REQ-000160,EMP-00024,LOC-06,SVC-05,2025-08-09,Cancelled,12,False,,Client declined,Client,21.1,True,,,,,
APT-000148,REQ-000161,EMP-00094,LOC-04,SVC-09,2025-08-09,Cancelled,20,False,,Transport issue,Employee,16.8,True,,,,,
APT-000152,REQ-000166,EMP-00004,LOC-04,SVC-02,2025-08-08,No-show,21,False,,Weather,Organisation,27.8,True,,,,,
APT-000153,REQ-000168,EMP-00067,LOC-02,SVC-05,2025-08-08,Cancelled,31,False,,Staff illness,Organisation,13.2,True,,,,,
APT-000154,REQ-000170,EMP-00084,LOC-01,SVC-03,2025-08-09,Cancelled,3,False,,Other,Client,15.7,True,,,,,
APT-000155,REQ-000171,EMP-00017,LOC-01,SVC-06,2025-08-08,No-show,38,False,,Weather,Client,21.5,False,,,,,
APT-000159,REQ-000175,EMP-00101,LOC-10,SVC-07,2025-08-08,Cancelled,28,False,,Other,Employee,41.4,True,,,,,
APT-000160,REQ-000176,EMP-00142,LOC-10,SVC-03,2025-08-08,Cancelled,24,False,,Weather,Employee,36.4,True,,,,,
APT-000161,REQ-000177,EMP-00102,LOC-05,SVC-06,2025-08-10,Cancelled,7,False,,Client declined,Organisation,27.3,False,,,,,
APT-000162,REQ-000178,EMP-00146,LOC-09,SVC-06,2025-08-09,No-show,21,False,,Weather,Employee,40.5,True,,,,,
APT-000163,REQ-000179,EMP-00080,LOC-05,SVC-07,2025-08-11,No-show,8,False,,Duplicate booking,Employee,38.6,True,,,,,
APT-000167,REQ-000183,EMP-00049,LOC-09,SVC-02,2025-08-12,Cancelled,15,False,,Client unavailable,Client,28.6,False,,,,,
APT-000168,REQ-000185,EMP-00049,LOC-06,SVC-05,2025-08-11,Cancelled,30,False,,Staff illness,Organisation,31.8,True,,,,,
APT-000178,REQ-000196,EMP-00002,LOC-06,SVC-08,2025-08-10,Cancelled,3,True,Client preference,Client unavailable,Employee,21.5,True,,,,,
APT-000181,REQ-000199,EMP-00030,LOC-05,SVC-02,2025-08-10,No-show,14,False,,Weather,Organisation,6.3,True,,,,,
APT-000184,REQ-000202,EMP-00047,LOC-01,SVC-07,2025-08-11,Cancelled,8,False,,Staff illness,Client,24.0,False,,,,,
APT-000189,REQ-000207,EMP-00031,LOC-10,SVC-03,2025-08-11,Cancelled,3,False,,Client unavailable,Client,28.5,True,,,,,
APT-000190,REQ-000208,EMP-00121,LOC-06,SVC-06,2025-08-12,Cancelled,30,False,,Client unavailable,Client,47.1,True,,,,,
APT-000198,REQ-000216,EMP-00031,LOC-05,SVC-09,2025-08-11,Cancelled,14,False,,Client declined,Organisation,29.6,True,,,,,
APT-000205,REQ-000223,EMP-00138,LOC-03,SVC-02,2025-08-12,Cancelled,24,False,,Duplicate booking,Organisation,12.7,True,,,,,
APT-000207,REQ-000225,EMP-00141,LOC-03,SVC-05,2025-08-11,No-show,38,False,,Other,Client,12.2,True,,,,,
APT-000208,REQ-000226,EMP-00040,LOC-09,SVC-04,2025-08-12,Cancelled,23,True,Skill match unavailable,Staff illness,Employee,0.0,True,,,,,
APT-000209,REQ-000227,EMP-00031,LOC-09,SVC-05,2025-08-12,No-show,17,False,,Duplicate booking,Client,15.4,True,,,,,
APT-000215,REQ-000233,EMP-00070,LOC-05,SVC-05,2025-08-13,No-show,29,True,Urgent reassignment,Client unavailable,Client,17.8,False,,,,,
APT-000227,REQ-000247,EMP-00049,LOC-03,SVC-06,2025-08-12,Cancelled,29,False,,Client unavailable,Client,0.0,True,,,,,
APT-000232,REQ-000252,EMP-00084,LOC-04,SVC-02,2025-08-14,Cancelled,16,False,,Staff illness,Employee,41.7,False,,,,,
APT-000233,REQ-000253,EMP-00069,LOC-08,SVC-06,2025-08-13,No-show,18,False,,Other,Client,2.3,True,,,,,
APT-000237,REQ-000257,EMP-00106,LOC-10,SVC-02,2025-08-14,Cancelled,30,False,,Other,Client,0.0,False,,,,,
APT-000238,REQ-000258,EMP-00134,LOC-09,SVC-04,2025-08-14,Cancelled,23,False,,Client unwell,Employee,8.3,False,,,,,
APT-000239,REQ-000259,EMP-00067,LOC-03,SVC-02,2025-08-15,Cancelled,3,False,,Client unwell,Employee,10.6,False,,,,,
APT-000243,REQ-000263,EMP-00006,LOC-06,SVC-01,2025-08-15,Cancelled,27,False,,Other,Organisation,24.0,True,,,,,
APT-000244,REQ-000264,EMP-00079,LOC-09,SVC-07,2025-08-14,Cancelled,47,False,,Client declined,Client,16.6,False,,,,,
APT-000251,REQ-000272,EMP-00033,LOC-01,SVC-04,2025-08-15,Cancelled,45,False,,Other,Client,51.3,True,,,,,
APT-000255,REQ-000277,EMP-00112,LOC-10,SVC-01,2025-08-14,Cancelled,40,False,,Duplicate booking,Employee,38.7,True,,,,,
APT-000260,REQ-000282,EMP-00042,LOC-05,SVC-07,2025-08-17,Cancelled,42,False,,Client unwell,Client,29.4,False,,,,,
APT-000263,REQ-000285,EMP-00118,LOC-01,SVC-05,2025-08-14,Cancelled,36,False,,Staff illness,Employee,13.5,False,,,,,
APT-000264,REQ-000286,EMP-00037,LOC-05,SVC-01,2025-08-15,Cancelled,27,False,,Client unavailable,Client,4.6,True,,,,,
APT-000266,REQ-000289,EMP-00119,LOC-06,SVC-02,2025-08-15,Cancelled,19,False,,Staff illness,Client,30.9,True,,,,,
APT-000270,REQ-000293,EMP-00117,LOC-02,SVC-02,2025-08-17,Cancelled,6,False,,Transport issue,Client,36.2,True,,,,,
APT-000271,REQ-000294,EMP-00133,LOC-03,SVC-08,2025-08-16,Cancelled,25,False,,Client unavailable,Client,20.8,True,,,,,
APT-000272,REQ-000295,EMP-00064,LOC-10,SVC-05,2025-08-14,Cancelled,47,False,,Weather,Organisation,31.3,False,,,,,
APT-000273,REQ-000296,EMP-00110,LOC-06,SVC-09,2025-08-14,No-show,30,False,,Client unwell,Organisation,0.0,True,,,,,
APT-000274,REQ-000297,EMP-00089,LOC-07,SVC-05,2025-08-14,Cancelled,15,True,Continuity of care,Weather,Client,60.6,False,,,,,
APT-000275,REQ-000298,EMP-00118,LOC-07,SVC-02,2025-08-15,Cancelled,3,False,,Other,Client,26.7,False,,,,,
APT-000276,REQ-000300,EMP-00056,LOC-02,SVC-02,2025-08-16,Cancelled,36,False,,Client declined,Client,0.0,True,,,,,
APT-000277,REQ-000301,EMP-00085,LOC-08,SVC-08,2025-08-15,Cancelled,8,False,,Staff illness,Client,7.3,True,,,,,
APT-000285,REQ-000312,EMP-00110,LOC-01,SVC-02,2025-08-16,No-show,34,False,,Client declined,Organisation,0.0,False,,,,,
APT-000287,REQ-000315,EMP-00136,LOC-06,SVC-02,2025-08-17,No-show,18,False,,Other,Client,45.1,False,,,,,
APT-000291,REQ-000319,EMP-00121,LOC-07,SVC-03,2025-08-16,Cancelled,43,False,,Duplicate booking,Organisation,36.9,True,,,,,
APT-000293,REQ-000321,EMP-00050,LOC-04,SVC-02,2025-08-15,Cancelled,16,False,,Other,Employee,3.2,True,,,,,
APT-000296,REQ-000325,EMP-00122,LOC-03,SVC-02,2025-08-18,No-show,23,False,,Client unavailable,Client,20.1,True,,,,,
APT-000297,REQ-000326,EMP-00141,LOC-08,SVC-04,2025-08-16,No-show,13,False,,Client unwell,Employee,36.9,False,,,,,
APT-000298,REQ-000327,EMP-00042,LOC-05,SVC-01,2025-08-18,Cancelled,18,False,,Duplicate booking,Client,0.0,True,,,,,
APT-000306,REQ-000335,EMP-00050,LOC-10,SVC-01,2025-08-17,Cancelled,64,False,,Staff illness,Client,53.3,True,,,,,
APT-000308,REQ-000337,EMP-00044,LOC-01,SVC-08,2025-08-18,Cancelled,28,False,,Transport issue,Client,0.0,True,,,,,
APT-000313,REQ-000342,EMP-00057,LOC-07,SVC-02,2025-08-19,No-show,49,True,Urgent reassignment,Client unavailable,Organisation,35.8,False,,,,,
APT-000316,REQ-000346,EMP-00103,LOC-07,SVC-08,2025-08-18,Cancelled,32,False,,Staff illness,Client,0.0,True,,,,,
APT-000317,REQ-000347,EMP-00138,LOC-01,SVC-03,2025-08-18,Cancelled,40,False,,Client unwell,Organisation,31.4,True,,,,,
APT-000320,REQ-000351,EMP-00028,LOC-03,SVC-05,2025-08-18,Cancelled,46,False,,Client unwell,Employee,49.5,True,,,,,
APT-000321,REQ-000352,EMP-00018,LOC-09,SVC-09,2025-08-18,Cancelled,35,False,,Staff illness,Client,37.1,True,,,,,
APT-000322,REQ-000353,EMP-00018,LOC-10,SVC-08,2025-08-18,No-show,7,True,Client preference,Transport issue,Client,1.9,True,,,,,
APT-000323,REQ-000354,EMP-00030,LOC-05,SVC-02,2025-08-18,Cancelled,11,False,,Other,Client,40.1,False,,,,,
APT-000325,REQ-000356,EMP-00070,LOC-01,SVC-01,2025-08-20,Cancelled,9,False,,Weather,Client,8.7,False,,,,,
APT-000332,REQ-000365,EMP-00137,LOC-05,SVC-01,2025-08-19,Cancelled,11,False,,Staff illness,Client,0.0,True,,,,,
APT-000342,REQ-000375,EMP-00051,LOC-09,SVC-05,2025-08-18,Cancelled,14,False,,Staff illness,Client,30.8,True,,,,,
APT-000343,REQ-000376,EMP-00027,LOC-07,SVC-08,2025-08-18,Cancelled,41,False,,Transport issue,Employee,17.0,False,,,,,
APT-000347,REQ-000382,EMP-00137,LOC-04,SVC-02,2025-08-19,Cancelled,21,False,,Other,Client,16.2,True,,,,,
APT-000355,REQ-000392,EMP-00036,LOC-10,SVC-01,2025-08-23,Cancelled,32,False,,Other,Client,44.6,True,,,,,
APT-000356,REQ-000393,EMP-00084,LOC-04,SVC-03,2025-08-20,Cancelled,20,False,,Client unavailable,Employee,14.4,True,,,,,
APT-000359,REQ-000397,EMP-00005,LOC-07,SVC-02,2025-08-20,Cancelled,49,False,,Weather,Organisation,22.8,True,,,,,
APT-000360,REQ-000398,EMP-00089,LOC-07,SVC-02,2025-08-20,Cancelled,65,False,,Staff illness,Client,54.1,False,,,,,
APT-000367,REQ-000405,EMP-00079,LOC-10,SVC-01,2025-08-20,No-show,11,False,,Transport issue,Client,37.8,True,,,,,
APT-000369,REQ-000407,EMP-00005,LOC-07,SVC-09,2025-08-20,Cancelled,36,False,,Duplicate booking,Client,0.0,True,,,,,
APT-000376,REQ-000415,EMP-00150,LOC-03,SVC-07,2025-08-21,Cancelled,35,False,,Client declined,Organisation,43.5,True,,,,,
APT-000380,REQ-000419,EMP-00033,LOC-05,SVC-06,2025-08-20,Cancelled,25,False,,Client declined,Client,33.3,False,,,,,
APT-000381,REQ-000420,EMP-00050,LOC-06,SVC-01,2025-08-23,Cancelled,24,False,,Other,Client,13.7,True,,,,,
APT-000385,REQ-000424,EMP-00106,LOC-08,SVC-05,2025-08-20,Cancelled,36,False,,Weather,Organisation,18.0,False,,,,,
APT-000387,REQ-000426,EMP-00052,LOC-07,SVC-04,2025-08-20,No-show,23,False,,Staff illness,Client,42.9,False,,,,,
APT-000391,REQ-000430,EMP-00040,LOC-01,SVC-06,2025-08-22,Cancelled,14,False,,Client unavailable,Employee,8.2,True,,,,,
APT-000392,REQ-000431,EMP-00044,LOC-09,SVC-02,2025-08-24,Cancelled,20,False,,Client unavailable,Client,20.3,False,,,,,
APT-000395,REQ-000434,EMP-00014,LOC-08,SVC-06,2025-08-25,No-show,46,False,,Other,Organisation,55.7,False,,,,,
APT-000397,REQ-000436,EMP-00069,LOC-10,SVC-05,2025-08-22,Cancelled,10,False,,Staff illness,Organisation,16.7,True,,,,,
APT-000405,REQ-000445,EMP-00022,LOC-02,SVC-05,2025-08-21,Cancelled,16,False,,Weather,Organisation,21.5,True,,,,,
APT-000406,REQ-000447,EMP-00085,LOC-04,SVC-07,2025-08-21,No-show,24,False,,Transport issue,Client,51.3,True,,,,,
APT-000407,REQ-000448,EMP-00015,LOC-08,SVC-06,2025-08-21,Cancelled,8,False,,Other,Client,0.0,True,,,,,
APT-000409,REQ-000451,EMP-00017,LOC-05,SVC-06,2025-08-22,Cancelled,6,False,,Duplicate booking,Client,87.5,True,,,,,
APT-000410,REQ-000452,EMP-00006,LOC-06,SVC-01,2025-08-23,Cancelled,3,False,,Weather,Client,43.1,True,,,,,
APT-000413,REQ-000455,EMP-00150,LOC-07,SVC-07,2025-08-22,Cancelled,16,False,,Duplicate booking,Client,23.4,True,,,,,
APT-000414,REQ-000456,EMP-00126,LOC-04,SVC-03,2025-08-22,Cancelled,24,False,,Staff illness,Client,32.4,True,,,,,
APT-000416,REQ-000458,EMP-00100,LOC-04,SVC-04,2025-08-23,Cancelled,34,False,,Transport issue,Client,17.5,True,,,,,
APT-000419,REQ-000461,EMP-00113,LOC-08,SVC-08,2025-08-25,Cancelled,30,False,,Staff illness,Client,26.5,False,,,,,
APT-000421,REQ-000463,EMP-00044,LOC-06,SVC-07,2025-08-22,Cancelled,38,False,,Client unwell,Employee,12.3,True,,,,,
APT-000426,REQ-000469,EMP-00017,LOC-06,SVC-02,2025-08-23,Cancelled,48,False,,Weather,Organisation,3.3,False,,,,,
APT-000432,REQ-000475,EMP-00016,LOC-07,SVC-03,2025-08-24,Cancelled,35,False,,Client declined,Client,47.5,True,,,,,
APT-000442,REQ-000486,EMP-00030,LOC-06,SVC-02,2025-08-24,Cancelled,60,False,,Duplicate booking,Employee,20.3,False,,,,,
APT-000446,REQ-000491,EMP-00119,LOC-03,SVC-03,2025-08-24,No-show,24,False,,Client unwell,Employee,32.6,True,,,,,
APT-000448,REQ-000493,EMP-00102,LOC-01,SVC-08,2025-08-26,Cancelled,15,False,,Duplicate booking,Organisation,26.2,True,,,,,
APT-000453,REQ-000498,EMP-00103,LOC-02,SVC-05,2025-08-25,Cancelled,38,False,,Client unwell,Organisation,16.3,False,,,,,
APT-000455,REQ-000500,EMP-00128,LOC-03,SVC-02,2025-08-25,Cancelled,18,False,,Transport issue,Client,0.0,False,,,,,
APT-000456,REQ-000501,EMP-00100,LOC-06,SVC-02,2025-08-26,Cancelled,33,False,,Client unavailable,Employee,23.4,True,,,,,
APT-000457,REQ-000502,EMP-00035,LOC-10,SVC-01,2025-08-26,Cancelled,44,False,,Client unavailable,Organisation,0.0,False,,,,,
APT-000458,REQ-000503,EMP-00063,LOC-04,SVC-05,2025-08-26,Cancelled,40,False,,Weather,Client,44.2,True,,,,,
APT-000460,REQ-000505,EMP-00100,LOC-05,SVC-07,2025-08-25,Cancelled,38,True,Urgent reassignment,Client unwell,Employee,12.1,True,,,,,
APT-000463,REQ-000508,EMP-00067,LOC-08,SVC-04,2025-08-26,Cancelled,10,False,,Client unwell,Organisation,7.3,True,,,,,
APT-000470,REQ-000515,EMP-00027,LOC-09,SVC-09,2025-08-26,Cancelled,44,False,,Duplicate booking,Client,40.8,True,,,,,
APT-000471,REQ-000516,EMP-00095,LOC-07,SVC-01,2025-08-26,Cancelled,28,False,,Weather,Employee,30.1,False,,,,,
APT-000474,REQ-000519,EMP-00031,LOC-10,SVC-07,2025-08-25,Cancelled,9,False,,Client unwell,Employee,0.0,True,,,,,
APT-000483,REQ-000528,EMP-00031,LOC-08,SVC-01,2025-08-26,Cancelled,41,False,,Client declined,Employee,12.7,False,,,,,
APT-000484,REQ-000529,EMP-00105,LOC-06,SVC-01,2025-08-27,Cancelled,37,False,,Other,Client,0.0,False,,,,,
APT-000489,REQ-000535,EMP-00136,LOC-07,SVC-06,2025-08-27,No-show,46,False,,Other,Employee,7.6,True,,,,,
APT-000493,REQ-000539,EMP-00023,LOC-10,SVC-03,2025-08-27,Cancelled,52,False,,Transport issue,Client,5.9,True,,,,,
APT-000495,REQ-000541,EMP-00052,LOC-07,SVC-03,2025-08-28,Cancelled,9,False,,Other,Client,47.6,False,,,,,
APT-000508,REQ-000554,EMP-00136,LOC-02,SVC-01,2025-08-30,Cancelled,12,False,,Other,Organisation,40.1,False,,,,,
APT-000510,REQ-000556,EMP-00056,LOC-01,SVC-06,2025-08-27,Cancelled,12,False,,Staff illness,Employee,0.0,False,,,,,
APT-000511,REQ-000557,EMP-00044,LOC-03,SVC-01,2025-08-29,Cancelled,28,False,,Client declined,Organisation,0.0,True,,,,,
APT-000513,REQ-000559,EMP-00080,LOC-07,SVC-01,2025-08-29,Cancelled,28,False,,Client unavailable,Organisation,20.5,True,,,,,
APT-000521,REQ-000568,EMP-00058,LOC-06,SVC-05,2025-08-27,Cancelled,41,False,,Client unavailable,Client,1.7,False,,,,,
APT-000530,REQ-000577,EMP-00090,LOC-01,SVC-05,2025-08-28,Cancelled,12,False,,Transport issue,Client,0.0,False,,,,,
APT-000531,REQ-000578,EMP-00021,LOC-09,SVC-01,2025-08-29,Cancelled,29,False,,Client unavailable,Client,56.6,True,,,,,
APT-000541,REQ-000588,EMP-00141,LOC-05,SVC-02,2025-08-29,Cancelled,38,False,,Duplicate booking,Employee,28.3,True,,,,,
APT-000543,REQ-000590,EMP-00047,LOC-03,SVC-07,2025-08-29,No-show,3,False,,Duplicate booking,Client,0.0,True,,,,,
APT-000547,REQ-000594,EMP-00021,LOC-01,SVC-02,2025-08-30,No-show,29,False,,Staff illness,Organisation,43.7,True,,,,,
APT-000548,REQ-000595,EMP-00069,LOC-02,SVC-02,2025-08-29,No-show,7,False,,Other,Client,30.9,False,,,,,
APT-000549,REQ-000596,EMP-00128,LOC-08,SVC-06,2025-08-29,Cancelled,8,False,,Client unwell,Employee,45.5,True,,,,,
APT-000555,REQ-000603,EMP-00068,LOC-07,SVC-09,2025-08-29,Cancelled,17,False,,Staff illness,Client,49.5,False,,,,,
APT-000556,REQ-000604,EMP-00057,LOC-03,SVC-04,2025-08-28,Cancelled,14,False,,Duplicate booking,Employee,0.0,True,,,,,
APT-000560,REQ-000608,EMP-00038,LOC-09,SVC-06,2025-08-29,Cancelled,28,False,,Other,Client,9.6,False,,,,,
APT-000563,REQ-000611,EMP-00121,LOC-09,SVC-05,2025-08-29,Cancelled,12,False,,Transport issue,Employee,42.5,True,,,,,
APT-000564,REQ-000612,EMP-00017,LOC-08,SVC-02,2025-08-30,Cancelled,33,False,,Other,Organisation,22.1,True,,,,,
APT-000567,REQ-000615,EMP-00085,LOC-06,SVC-01,2025-08-29,No-show,3,False,,Duplicate booking,Employee,7.3,True,,,,,
APT-000572,REQ-000620,EMP-00105,LOC-06,SVC-02,2025-08-31,No-show,23,False,,Staff illness,Employee,8.8,True,,,,,
APT-000575,REQ-000623,EMP-00002,LOC-06,SVC-02,2025-08-30,Cancelled,27,False,,Weather,Client,13.7,True,,,,,
APT-000577,REQ-000625,EMP-00025,LOC-02,SVC-05,2025-08-29,Cancelled,7,False,,Other,Client,14.9,True,,,,,
APT-000604,REQ-000654,EMP-00112,LOC-01,SVC-03,2025-09-01,No-show,27,False,,Duplicate booking,Client,0.0,False,,,,,
APT-000607,REQ-000658,EMP-00005,LOC-09,SVC-02,2025-09-01,Cancelled,33,True,Skill match unavailable,Client unwell,Client,45.7,True,,,,,
APT-000609,REQ-000660,EMP-00015,LOC-06,SVC-08,2025-09-01,Cancelled,17,False,,Client unwell,Client,6.3,True,,,,,
APT-000617,REQ-000668,EMP-00036,LOC-03,SVC-02,2025-09-02,Cancelled,16,False,,Other,Client,23.9,False,,,,,
APT-000619,REQ-000670,EMP-00051,LOC-07,SVC-01,2025-09-04,Cancelled,39,False,,Client unavailable,Employee,10.2,True,,,,,
APT-000623,REQ-000674,EMP-00016,LOC-08,SVC-01,2025-09-06,No-show,55,False,,Weather,Client,0.0,True,,,,,
APT-000627,REQ-000678,EMP-00104,LOC-06,SVC-05,2025-09-02,Cancelled,40,False,,Duplicate booking,Organisation,7.4,False,,,,,
APT-000628,REQ-000679,EMP-00117,LOC-08,SVC-06,2025-09-03,Cancelled,11,False,,Client declined,Organisation,18.6,True,,,,,
APT-000630,REQ-000681,EMP-00052,LOC-09,SVC-07,2025-09-03,Cancelled,29,False,,Client unwell,Client,0.0,True,,,,,
APT-000634,REQ-000685,EMP-00100,LOC-01,SVC-02,2025-09-02,Cancelled,42,False,,Client unwell,Client,20.0,True,,,,,
APT-000639,REQ-000690,EMP-00050,LOC-08,SVC-09,2025-09-02,Cancelled,19,False,,Client unavailable,Employee,4.2,False,,,,,
APT-000642,REQ-000693,EMP-00040,LOC-07,SVC-04,2025-09-06,Cancelled,16,False,,Duplicate booking,Client,49.5,False,,,,,
APT-000643,REQ-000694,EMP-00014,LOC-01,SVC-05,2025-09-03,Cancelled,39,False,,Weather,Organisation,34.0,True,,,,,
APT-000645,REQ-000696,EMP-00042,LOC-03,SVC-07,2025-09-03,Cancelled,30,False,,Client declined,Organisation,64.5,True,,,,,
APT-000657,REQ-000708,EMP-00085,LOC-10,SVC-05,2025-09-05,Cancelled,18,False,,Staff illness,Client,9.9,True,,,,,
APT-000660,REQ-000711,EMP-00146,LOC-03,SVC-01,2025-09-09,Cancelled,29,False,,Staff illness,Client,8.1,True,,,,,
APT-000663,REQ-000714,EMP-00066,LOC-07,SVC-07,2025-09-05,No-show,40,False,,Client unwell,Employee,34.3,True,,,,,
APT-000665,REQ-000716,EMP-00146,LOC-02,SVC-08,2025-09-05,No-show,15,False,,Duplicate booking,Employee,12.2,False,,,,,
