employee_id,primary_role,employment_type,contracted_hours_per_week,fte,base_location_id,hire_date,employment_status,manager_id,tenure_years,hourly_rate_band
EMP-00079,Team Leader,Full-time,38.0,1.0,LOC-03,2023-04-11,Active,,3.3100616016427105,Band 1
EMP-00080,Support Worker,Full-time,38.0,1.0,LOC-08,2023-07-19,Active,EMP-00041,3.0390143737166326,Band 2
EMP-00081,Support Worker,Part-time,24.0,0.63,LOC-03,2021-11-17,On Leave,EMP-00015,4.706365503080082,Band 1
EMP-00082,Team Leader,Part-time,30.0,0.79,LOC-07,2021-08-11,Terminated,,4.974674880219028,Band 1
EMP-00083,Team Leader,Part-time,24.0,0.63,LOC-03,2025-06-20,Active,,1.1170431211498972,Band 4
EMP-00084,Support Worker,Casual,8.0,0.21,LOC-08,2022-08-10,Active,EMP-00035,3.978097193702943,Band 3
EMP-00085,Allied Health Clinician,Casual,8.0,0.21,LOC-10,2025-02-11,Active,EMP-00074,1.4702258726899384,Band 3
EMP-00086,Coordinator,Casual,16.0,0.42,LOC-09,2020-04-19,Active,,6.286105407255304,Band 2
EMP-00087,Allied Health Clinician,Full-time,38.0,1.0,LOC-06,2023-08-27,On Leave,EMP-00033,2.9322381930184807,Band 2
EMP-00088,Support Worker,Casual,12.0,0.32,LOC-09,2023-01-20,On Leave,EMP-00007,3.5318275154004106,Band 2
EMP-00089,Support Worker,Casual,8.0,0.21,LOC-07,2020-09-21,Active,EMP-00072,5.861738535249829,Band 4
EMP-00090,Support Worker,Full-time,38.0,1.0,LOC-06,2024-07-16,Active,EMP-00007,2.0451745379876796,Band 2
EMP-00091,Support Worker,Casual,12.0,0.32,LOC-02,2023-01-30,Active,EMP-00026,3.5044490075290895,Band 1
EMP-00092,Support Worker,Part-time,20.0,0.53,LOC-05,2023-02-01,Active,EMP-00001,3.4989733059548254,Band 2
EMP-00093,Support Worker,Casual,8.0,0.21,LOC-09,2021-07-23,Active,EMP-00008,5.026694045174538,Band 2
EMP-00094,Team Leader,Full-time,38.0,1.0,LOC-04,2023-10-21,Active,,2.7816563997262147,Band 1
EMP-00095,Support Worker,Part-time,24.0,0.63,LOC-09,2021-01-13,Active,EMP-00057,5.549623545516769,Band 3
EMP-00096,Allied Health Clinician,Part-time,20.0,0.53,LOC-06,2024-03-14,Active,EMP-00133,2.3846680355920604,Band 4
EMP-00097,Support Worker,Part-time,16.0,0.42,LOC-08,2018-11-26,Terminated,EMP-00110,7.682409308692677,Band 1
EMP-00098,Support Worker,Part-time,16.0,0.42,LOC-01,2023-04-21,Active,EMP-00008,3.2826830937713893,Band 1
EMP-00099,Team Leader,Full-time,38.0,1.0,LOC-03,2022-01-19,Active,,4.5338809034907595,Band 3
EMP-00100,Support Worker,Part-time,20.0,0.53,LOC-04,2022-01-21,Active,EMP-00005,4.528405201916495,Band 3
EMP-00101,Support Worker,Full-time,38.0,1.0,LOC-09,2019-01-26,Active,EMP-00041,7.515400410677618,Band 4
EMP-00102,Support Worker,Part-time,24.0,0.63,LOC-02,2020-06-30,Active,EMP-00083,6.0889801505817935,Band 4
EMP-00103,Support Worker,Full-time,38.0,1.0,LOC-08,2024-06-03,Active,EMP-00106,2.16290212183436,Band 2
EMP-00104,Allied Health Clinician,Full-time,38.0,1.0,LOC-07,2019-07-01,Active,EMP-00117,7.08829568788501,Band 3
EMP-00105,Support Worker,Casual,12.0,0.32,LOC-10,2018-09-09,Active,EMP-00045,7.8959616700889805,Band 1
EMP-00106,Coordinator,Part-time,30.0,0.79,LOC-05,2023-12-24,Active,,2.6064339493497606,Band 1
EMP-00107,Support Worker,Full-time,38.0,1.0,LOC-09,2020-11-11,On Leave,EMP-00021,5.722108145106092,Band 3
EMP-00108,Support Worker,Full-time,38.0,1.0,LOC-07,2024-06-28,On Leave,EMP-00005,2.0944558521560577,Band 4
EMP-00109,Support Worker,Full-time,38.0,1.0,LOC-04,2021-06-09,Active,EMP-00015,5.147159479808351,Band 2
EMP-00110,Team Leader,Full-time,38.0,1.0,LOC-06,2025-02-23,Active,,1.4373716632443532,Band 3
EMP-00111,Support Worker,Part-time,16.0,0.42,LOC-09,2019-07-17,Terminated,EMP-00007,7.044490075290897,Band 2
EMP-00112,Team Leader,Part-time,20.0,0.53,LOC-08,2021-07-06,Active,,5.073237508555784,Band 2
EMP-00113,Support Worker,Part-time,20.0,0.53,LOC-10,2022-06-29,Active,EMP-00133,4.093086926762491,Band 2
EMP-00114,Support Worker,Casual,8.0,0.21,LOC-02,2024-03-31,On Leave,EMP-00033,2.3381245722108144,Band 1
EMP-00115,Support Worker,Part-time,24.0,0.63,LOC-05,2020-12-16,Active,EMP-00117,5.626283367556468,Band 3
EMP-00116,Support Worker,Full-time,38.0,1.0,LOC-09,2019-02-21,On Leave,EMP-00076,7.444216290212183,Band 1
EMP-00117,Coordinator,Full-time,38.0,1.0,LOC-09,2018-07-20,Active,,8.035592060232718,Band 1
EMP-00118,Support Worker,Part-time,24.0,0.63,LOC-07,2022-08-16,Active,EMP-00074,3.9616700889801506,Band 1
EMP-00119,Support Worker,Full-time,38.0,1.0,LOC-04,2023-03-02,Active,EMP-00062,3.4195756331279945,Band 1
EMP-00120,Support Worker,Part-time,24.0,0.63,LOC-03,2019-04-21,Active,EMP-00117,7.282683093771389,Band 2
EMP-00121,Support Worker,Full-time,38.0,1.0,LOC-01,2025-06-10,Active,EMP-00005,1.1444216290212184,Band 1
EMP-00122,Support Worker,Full-time,38.0,1.0,LOC-09,2020-02-14,Active,EMP-00008,6.464065708418891,Band 4
EMP-00123,Registered Nurse,Full-time,38.0,1.0,LOC-03,2018-11-17,Active,EMP-00057,7.707049965776865,Band 2
EMP-00124,Support Worker,Full-time,38.0,1.0,LOC-02,2023-09-21,Active,EMP-00047,2.863791923340178,Band 3
EMP-00125,Support Worker,Full-time,38.0,1.0,LOC-01,2024-09-20,On Leave,EMP-00074,1.864476386036961,Band 1
EMP-00126,Allied Health Clinician,Full-time,38.0,1.0,LOC-09,2023-08-23,Active,EMP-00106,2.943189596167009,Band 2
EMP-00127,Support Worker,Part-time,16.0,0.42,LOC-08,2021-06-18,Terminated,EMP-00079,5.122518822724161,Band 1
EMP-00128,Support Worker,Casual,8.0,0.21,LOC-08,2019-04-03,Active,EMP-00029,7.3319644079397674,Band 2
EMP-00129,Support Worker,Part-time,20.0,0.53,LOC-02,2022-12-21,Active,EMP-00041,3.6139630390143735,Band 1
EMP-00130,Support Worker,Full-time,38.0,1.0,LOC-01,2023-09-21,Terminated,EMP-00106,2.863791923340178,Band 1
EMP-00131,Support Worker,Part-time,30.0,0.79,LOC-07,2021-10-13,Active,EMP-00022,4.802190280629706,Band 3
EMP-00132,Support Worker,Full-time,38.0,1.0,LOC-04,2019-01-09,On Leave,EMP-00072,7.561943874058864,Band 3
EMP-00133,Team Leader,Part-time,24.0,0.63,LOC-03,2019-09-06,Active,,6.9048596851471595,Unspecified
EMP-00134,Registered Nurse,Full-time,38.0,1.0,LOC-05,2025-01-24,Active,EMP-00074,1.5195071868583163,Band 2
EMP-00135,Support Worker,Casual,8.0,0.21,LOC-08,2022-08-04,On Leave,EMP-00106,3.994524298425736,Band 2
EMP-00136,Registered Nurse,Full-time,38.0,1.0,LOC-07,2024-04-03,Active,EMP-00099,2.329911019849418,Band 2
EMP-00137,Allied Health Clinician,Part-time,20.0,0.53,LOC-08,2022-04-26,Active,EMP-00062,4.268309377138946,Band 2
EMP-00138,Team Leader,Full-time,38.0,1.0,LOC-08,2021-07-20,Active,,5.034907597535934,Band 2
EMP-00139,Team Leader,Full-time,38.0,1.0,LOC-03,2022-03-27,Active,,4.350444900752909,Band 2
EMP-00140,Team Leader,Full-time,38.0,1.0,LOC-02,2023-03-16,On Leave,,3.381245722108145,Band 1
EMP-00141,Team Leader,Full-time,38.0,1.0,LOC-03,2020-02-11,Active,,6.4722792607802875,Band 1
EMP-00142,Support Worker,Part-time,20.0,0.53,LOC-07,2018-10-18,Active,EMP-00035,7.789185489390828,Unspecified
EMP-00143,Registered Nurse,Full-time,38.0,1.0,LOC-06,2021-09-02,Active,EMP-00045,4.914442162902122,Band 2
EMP-00144,Allied Health Clinician,Casual,8.0,0.21,LOC-06,2023-03-27,Terminated,EMP-00053,3.351129363449692,Band 1
EMP-00145,Support Worker,Casual,16.0,0.42,LOC-10,2023-04-12,Terminated,EMP-00026,3.3073237508555784,Band 3
EMP-00146,Support Worker,Part-time,30.0,0.79,LOC-07,2023-10-24,Active,EMP-00082,2.7734428473648185,Band 2
EMP-00147,Support Worker,Full-time,38.0,1.0,LOC-06,2023-06-16,Terminated,EMP-00022,3.1293634496919918,Band 3
EMP-00148,Coordinator,Full-time,38.0,1.0,LOC-02,2020-01-20,Active,,6.532511978097194,Band 1
EMP-00149,Support Worker,Part-time,20.0,0.53,LOC-03,2019-04-30,Terminated,EMP-00083,7.258042436687201,Band 3
EMP-00150,Support Worker,Casual,8.0,0.21,LOC-02,2020-10-31,Active,EMP-00106,5.752224503764545,Band 2
