client_id,location_id,client_since_date,complexity_tier,active_flag,consent_data_use_flag
CLT-00025,LOC-07,2022-08-30,Low,True,True
CLT-00027,LOC-03,2022-11-02,Medium,True,True
CLT-00033,LOC-08,2021-06-01,Medium,True,True
CLT-00037,LOC-03,2023-12-27,Low,True,True
CLT-00043,LOC-03,2019-07-27,Low,True,True
CLT-00045,LOC-01,2024-12-26,Medium,True,True
CLT-00050,LOC-10,2020-01-13,High,True,True
CLT-00054,LOC-03,2025-03-30,Low,True,True
CLT-00056,LOC-07,2019-09-30,High,True,True
CLT-00057,LOC-04,2023-04-08,Medium,True,True
CLT-00062,LOC-10,2020-08-28,Low,True,True
CLT-00065,LOC-08,2020-09-28,Low,True,True
CLT-00067,LOC-08,2022-06-16,Low,True,True
CLT-00069,LOC-10,2023-07-10,Medium,True,True
CLT-00070,LOC-01,2022-10-16,Low,True,True
CLT-00072,LOC-08,2021-06-15,Low,True,True
CLT-00078,LOC-01,2023-08-28,Medium,True,True
CLT-00079,LOC-05,2022-01-30,Low,True,True
CLT-00081,LOC-02,2020-10-27,Critical,True,True
CLT-00087,LOC-06,2023-09-14,Medium,True,True
CLT-00092,LOC-07,2020-10-26,Medium,True,True
CLT-00097,LOC-07,2021-03-10,Medium,True,True
CLT-00113,LOC-05,2024-11-08,Critical,True,True
CLT-00119,LOC-09,2021-08-13,Medium,True,True
CLT-00122,LOC-07,2023-09-09,Medium,True,True
CLT-00124,LOC-09,2023-01-14,Low,True,True
CLT-00133,LOC-07,2023-05-16,Medium,True,True
CLT-00134,LOC-04,2024-06-08,High,True,True
CLT-00147,LOC-02,2025-06-05,Medium,True,True
CLT-00154,LOC-02,2021-02-02,Critical,True,True
CLT-00161,LOC-06,2022-10-19,Low,True,True
CLT-00167,LOC-06,2020-12-26,Medium,True,True
CLT-00169,LOC-05,2023-12-26,High,True,True
CLT-00173,LOC-10,2020-05-13,Critical,True,True
CLT-00174,LOC-06,2025-04-12,Medium,True,True
CLT-00178,LOC-08,2021-10-30,Medium,True,True
CLT-00185,LOC-06,2021-06-27,High,False,True
CLT-00188,LOC-02,2021-07-15,Medium,True,True
CLT-00196,LOC-09,2020-09-24,High,True,True
CLT-00201,LOC-04,2025-02-27,High,True,True
CLT-00209,LOC-05,2022-09-17,Medium,True,True
CLT-00210,LOC-01,2023-03-16,High,True,True
CLT-00211,LOC-08,2024-08-19,Medium,True,True
CLT-00213,LOC-08,2021-04-27,Medium,True,True
CLT-00215,LOC-10,2023-07-03,Low,True,True
CLT-00219,LOC-04,2020-08-06,Critical,True,True
CLT-00222,LOC-01,2019-11-23,Medium,True,True
CLT-00225,LOC-04,2021-08-26,Medium,True,True
CLT-00228,LOC-07,2023-07-29,Medium,True,True
CLT-00231,LOC-09,2021-03-08,Medium,True,True
CLT-00242,LOC-04,2023-11-25,Medium,True,True
CLT-00244,LOC-01,2021-01-21,Medium,True,True
CLT-00245,LOC-01,2020-04-03,Low,True,True
CLT-00246,LOC-07,2020-01-03,Medium,True,True
CLT-00249,LOC-09,2023-08-23,Medium,False,True
CLT-00252,LOC-03,2021-05-17,Critical,True,True
CLT-00253,LOC-05,2025-04-30,High,True,True
CLT-00255,LOC-01,2022-04-07,Medium,True,True
CLT-00260,LOC-10,2023-02-12,Low,True,True
CLT-00267,LOC-10,2020-03-13,High,True,True
CLT-00272,LOC-05,2022-08-31,Medium,True,True
CLT-00276,LOC-01,2024-01-06,High,True,True
CLT-00279,LOC-05,2019-10-19,Medium,True,True
CLT-00282,LOC-09,2022-04-06,Medium,True,True
CLT-00284,LOC-08,2019-11-11,Low,True,True
CLT-00290,LOC-07,2024-01-28,Medium,False,True
CLT-00292,LOC-08,2023-02-24,Low,True,True
CLT-00294,LOC-04,2024-08-19,Low,True,True
CLT-00297,LOC-06,2023-06-13,Medium,True,True
CLT-00300,LOC-09,2022-07-23,Critical,True,True
CLT-00303,LOC-06,2020-12-23,Low,True,True
CLT-00306,LOC-10,2024-04-16,Low,True,True
CLT-00308,LOC-03,2024-11-05,Low,False,True
CLT-00313,LOC-09,2024-08-08,Critical,True,True
CLT-00315,LOC-06,2019-12-22,Low,True,True
CLT-00318,LOC-01,2020-06-02,Medium,True,True
CLT-00319,LOC-09,2022-05-06,Low,True,True
CLT-00321,LOC-10,2024-07-08,Low,True,True
CLT-00322,LOC-07,2023-10-07,Low,True,True
CLT-00333,LOC-07,2020-04-11,Medium,True,True
CLT-00335,LOC-08,2021-01-21,High,True,True
CLT-00336,LOC-08,2019-09-02,Medium,True,True
CLT-00339,LOC-03,2024-02-04,Medium,True,True
CLT-00341,LOC-04,2021-09-21,Low,True,True
CLT-00343,LOC-10,2022-07-08,Critical,True,True
CLT-00344,LOC-05,2022-10-07,Medium,True,True
CLT-00350,LOC-01,2021-06-22,High,True,True
CLT-00361,LOC-02,2023-02-02,High,True,True
CLT-00366,LOC-04,2020-10-26,High,True,True
CLT-00369,LOC-05,2020-07-04,Medium,True,True
CLT-00372,LOC-09,2019-08-29,Medium,True,True
CLT-00379,LOC-01,2020-12-05,High,True,True
CLT-00382,LOC-06,2025-05-13,Medium,True,True
CLT-00385,LOC-01,2024-11-29,Low,True,True
CLT-00386,LOC-01,2021-01-16,Medium,True,True
CLT-00387,LOC-03,2024-09-20,Low,True,True
CLT-00400,LOC-10,2023-06-05,Low,True,True
CLT-00408,LOC-09,2019-11-06,Medium,True,True
CLT-00412,LOC-07,2022-04-03,High,True,True
CLT-00413,LOC-02,2024-06-21,Low,True,True
CLT-00417,LOC-10,2021-08-25,Medium,True,True
CLT-00419,LOC-02,2021-07-14,Critical,True,True
CLT-00425,LOC-02,2025-06-30,Medium,True,True
CLT-00426,LOC-06,2023-02-10,Low,True,True
CLT-00431,LOC-07,2020-11-13,High,True,True
CLT-00434,LOC-01,2023-12-04,Low,True,True
CLT-00435,LOC-08,2021-01-27,Medium,True,True
CLT-00436,LOC-06,2022-09-29,Low,True,True
CLT-00445,LOC-02,2021-12-02,Critical,True,True
CLT-00448,LOC-07,2023-02-11,Medium,True,True
CLT-00449,LOC-08,2024-03-30,Low,True,True
CLT-00453,LOC-06,2021-05-12,High,True,True
CLT-00455,LOC-04,2025-03-30,Critical,True,True
CLT-00456,LOC-03,2022-11-02,High,True,True
CLT-00459,LOC-05,2025-05-08,Medium,True,True
CLT-00471,LOC-04,2025-03-05,Medium,False,True
CLT-00473,LOC-08,2023-07-31,High,True,True
CLT-00476,LOC-03,2020-10-17,Low,True,True
CLT-00477,LOC-05,2022-08-02,Low,True,True
CLT-00483,LOC-02,2024-03-12,High,True,True
CLT-00485,LOC-09,2023-09-01,Medium,False,True
CLT-00487,LOC-07,2024-06-30,Low,True,True
CLT-00488,LOC-02,2020-09-01,Medium,True,True
CLT-00491,LOC-04,2022-11-02,High,True,True
CLT-00501,LOC-05,2020-02-05,High,True,True
CLT-00502,LOC-03,2021-05-21,Medium,True,True
CLT-00505,LOC-07,2022-03-15,Critical,True,True
CLT-00506,LOC-08,2022-06-17,Low,True,True
CLT-00511,LOC-05,2021-07-02,Medium,True,True
CLT-00002,LOC-10,2024-07-04,Low,True,True
CLT-00003,LOC-09,2019-12-04,Medium,True,True
CLT-00014,LOC-02,2024-03-28,High,True,True
CLT-00018,LOC-01,2023-12-24,High,True,True
CLT-00020,LOC-09,2025-01-30,Low,True,True
CLT-00022,LOC-06,2025-06-24,Medium,True,True
CLT-00028,LOC-06,2023-01-11,Low,True,True
CLT-00029,LOC-06,2021-06-15,High,True,True
CLT-00030,LOC-07,2020-05-22,Medium,True,True
CLT-00031,LOC-02,2019-10-03,Low,True,True
CLT-00032,LOC-08,2022-05-29,Medium,True,True
CLT-00035,LOC-10,2022-02-13,Low,True,True
CLT-00040,LOC-03,2025-04-05,Medium,True,True
CLT-00041,LOC-07,2021-01-12,High,True,True
CLT-00042,LOC-01,2023-08-29,Medium,True,True
CLT-00048,LOC-10,2020-10-08,Medium,False,True
CLT-00049,LOC-06,2025-05-24,High,False,True
CLT-00052,LOC-02,2023-10-23,Low,True,True
CLT-00059,LOC-01,2020-09-01,High,True,True
CLT-00060,LOC-08,2024-01-11,Low,True,True
CLT-00063,LOC-01,2023-12-01,Critical,True,True
CLT-00074,LOC-08,2020-03-17,Low,True,True
CLT-00075,LOC-10,2022-11-19,High,True,True
CLT-00080,LOC-01,2022-11-20,Critical,True,True
CLT-00082,LOC-03,2020-12-22,Low,True,True
CLT-00083,LOC-10,2020-02-11,Low,True,True
CLT-00084,LOC-04,2024-02-02,Low,True,True
CLT-00090,LOC-07,2024-02-29,High,True,True
CLT-00093,LOC-06,2024-02-11,Medium,True,True
CLT-00096,LOC-07,2024-05-18,High,True,True
CLT-00098,LOC-03,2020-06-19,Critical,True,True
CLT-00101,LOC-04,2019-11-13,High,True,True
CLT-00102,LOC-07,2020-09-18,Low,True,True
CLT-00112,LOC-05,2024-08-22,Low,True,True
CLT-00117,LOC-10,2023-05-14,Medium,True,True
CLT-00118,LOC-01,2019-12-20,Medium,True,True
CLT-00120,LOC-03,2024-06-25,Medium,True,True
CLT-00125,LOC-06,2023-03-31,Low,True,True
CLT-00128,LOC-02,2023-12-01,Medium,True,True
CLT-00129,LOC-05,2022-02-21,Medium,True,True
CLT-00137,LOC-05,2023-11-02,High,True,True
CLT-00143,LOC-05,2020-09-09,High,True,True
CLT-00145,LOC-08,2023-04-07,Medium,True,True
CLT-00150,LOC-04,2022-02-06,Critical,True,True
CLT-00151,LOC-07,2022-09-05,Low,False,True
CLT-00153,LOC-02,2020-01-31,Low,True,True
CLT-00155,LOC-04,2020-06-24,Critical,True,True
CLT-00156,LOC-07,2023-07-05,Medium,True,True
CLT-00158,LOC-09,2019-10-31,Low,True,True
CLT-00159,LOC-07,2020-08-01,Medium,True,True
CLT-00163,LOC-09,2023-03-20,Low,True,True
CLT-00164,LOC-05,2021-08-03,Medium,True,True
CLT-00168,LOC-02,2024-09-24,Medium,True,True
CLT-00171,LOC-03,2024-09-23,Low,True,True
CLT-00183,LOC-08,2023-03-15,Low,True,True
CLT-00184,LOC-06,2024-12-17,Low,True,True
CLT-00190,LOC-02,2023-07-25,High,True,True
CLT-00192,LOC-08,2024-11-08,Medium,True,True
CLT-00203,LOC-01,2022-03-30,Medium,True,True
CLT-00204,LOC-02,2019-12-06,High,True,True
CLT-00205,LOC-08,2023-07-19,Medium,True,True
CLT-00207,LOC-09,2023-09-27,Low,True,True
CLT-00220,LOC-09,2021-10-11,Critical,True,True
CLT-00227,LOC-01,2025-01-04,Low,True,True
CLT-00230,LOC-05,2025-04-06,Low,True,True
CLT-00233,LOC-09,2025-01-22,Medium,False,True
CLT-00237,LOC-10,2022-03-20,Low,True,True
CLT-00243,LOC-07,2021-06-21,Low,True,True
CLT-00251,LOC-07,2021-12-07,High,True,True
CLT-00254,LOC-04,2021-01-16,Medium,True,True
CLT-00257,LOC-05,2021-01-29,High,True,True
CLT-00262,LOC-08,2022-08-24,Critical,True,True
CLT-00266,LOC-10,2025-06-11,High,True,True
CLT-00273,LOC-08,2022-01-15,Low,True,True
CLT-00278,LOC-05,2022-11-06,Critical,True,True
CLT-00281,LOC-08,2023-10-06,Low,True,True
CLT-00283,LOC-03,2024-11-16,Medium,True,True
CLT-00296,LOC-07,2023-05-28,Low,True,True
CLT-00298,LOC-06,2022-12-15,Medium,True,True
CLT-00309,LOC-06,2019-12-28,Medium,True,True
CLT-00310,LOC-04,2020-01-24,Low,True,True
CLT-00312,LOC-07,2019-09-15,Low,False,True
CLT-00314,LOC-10,2020-12-09,Low,True,True
CLT-00317,LOC-09,2020-08-08,Critical,True,True
CLT-00320,LOC-10,2025-01-06,Medium,True,True
CLT-00324,LOC-06,2024-06-27,Medium,True,True
CLT-00325,LOC-07,2020-08-16,Medium,True,True
CLT-00326,LOC-02,2021-07-25,Medium,True,True
CLT-00327,LOC-02,2021-12-02,Medium,True,True
CLT-00330,LOC-05,2019-11-20,Medium,True,True
CLT-00334,LOC-06,2024-08-30,Low,True,True
CLT-00338,LOC-09,2020-04-11,Low,True,True
CLT-00342,LOC-10,2023-12-01,High,True,True
CLT-00347,LOC-05,2020-06-17,Low,True,True
CLT-00353,LOC-10,2020-10-01,Low,True,True
CLT-00356,LOC-10,2024-01-29,Low,True,True
CLT-00364,LOC-01,2019-11-24,Low,True,True
CLT-00365,LOC-03,2023-12-18,High,True,True
CLT-00373,LOC-04,2021-11-22,Medium,True,True
CLT-00375,LOC-01,2021-04-18,High,True,True
CLT-00377,LOC-09,2024-08-10,Low,True,True
CLT-00381,LOC-03,2024-12-12,High,True,True
CLT-00384,LOC-02,2023-05-29,Medium,True,True
CLT-00390,LOC-07,2023-09-06,Medium,True,True
CLT-00392,LOC-04,2025-01-16,Low,True,True
CLT-00397,LOC-04,2025-05-17,Medium,True,True
CLT-00403,LOC-08,2020-04-08,High,False,True
CLT-00409,LOC-03,2024-07-07,Critical,True,True
CLT-00411,LOC-06,2023-04-06,Medium,True,True
CLT-00414,LOC-02,2019-10-22,Critical,False,True
CLT-00415,LOC-07,2020-08-30,High,True,True
CLT-00418,LOC-01,2023-07-24,Low,True,True
CLT-00421,LOC-01,2020-03-04,Low,True,True
CLT-00422,LOC-01,2020-12-14,High,True,True
CLT-00430,LOC-01,2020-10-27,Medium,True,True
CLT-00432,LOC-06,2025-04-09,Medium,True,True
CLT-00433,LOC-01,2020-05-11,Medium,True,True
CLT-00440,LOC-07,2023-01-12,Low,True,True
CLT-00441,LOC-09,2022-02-05,High,True,True
CLT-00442,LOC-05,2024-11-19,Medium,True,True
CLT-00444,LOC-01,2022-12-14,Medium,True,True
CLT-00452,LOC-03,2021-04-04,Low,True,True
CLT-00457,LOC-05,2021-01-03,Medium,True,True
CLT-00460,LOC-08,2023-10-03,Low,True,True
CLT-00465,LOC-03,2025-05-29,Medium,True,True
CLT-00469,LOC-05,2022-12-31,High,True,True
CLT-00474,LOC-04,2020-01-27,Low,False,True
CLT-00480,LOC-10,2020-09-04,Medium,True,True
CLT-00490,LOC-08,2024-07-19,Low,True,True
CLT-00493,LOC-05,2021-10-16,Medium,True,True
CLT-00494,LOC-03,2025-03-05,Medium,True,True
CLT-00498,LOC-09,2023-07-17,High,True,True
CLT-00508,LOC-10,2022-03-21,Medium,True,True
CLT-00509,LOC-02,2024-10-26,Low,True,True
CLT-00510,LOC-10,2022-11-02,High,True,True
CLT-00513,LOC-01,2025-04-19,Medium,True,True
CLT-00516,LOC-09,2024-05-04,Medium,True,True
CLT-00519,LOC-08,2023-07-26,Medium,True,True
