gender,age_band,primary_role,location_id,shift_count,total_actual_hours,overtime_shift_count
Female,45-54,Support Worker,LOC-07,101,834.2899999999995,21.0
Female,25-34,Support Worker,LOC-07,86,721.5999999999999,11.0
Male,25-34,Support Worker,LOC-09,90,750.8300000000002,10.0
Male,35-44,Support Worker,LOC-03,95,772.0600000000001,9.0
Female,35-44,Support Worker,LOC-08,332,2744.5799999999995,43.0
Male,65+,Allied Health Clinician,LOC-05,250,1957.1900000000003,18.0
Male,45-54,Coordinator,LOC-08,152,1253.7800000000002,20.0
Female,25-34,Allied Health Clinician,LOC-02,103,829.9200000000006,9.0
Female,45-54,Support Worker,LOC-09,154,1245.1999999999991,23.0
Male,25-34,Support Worker,LOC-08,230,1892.9299999999996,33.0
Male,45-54,Allied Health Clinician,LOC-07,248,2032.94,36.0
Male,25-34,Team Leader,LOC-09,239,1964.2999999999995,30.0
Male,25-34,Coordinator,LOC-02,152,1199.4800000000002,18.0
Female,25-34,Support Worker,LOC-08,258,2108.609999999999,27.0
Male,65+,Support Worker,LOC-08,239,1982.89,24.0
Female,25-34,Coordinator,LOC-09,92,769.0599999999996,12.0
Female,35-44,Support Worker,LOC-09,232,1883.9199999999996,36.0
Female,45-54,Support Worker,LOC-08,247,2005.739999999999,30.0
Female,45-54,Team Leader,LOC-06,243,1990.11,25.0
Male,35-44,Coordinator,LOC-09,249,2039.0500000000002,35.0
Male,35-44,Support Worker,LOC-07,98,825.2600000000002,9.0
Male,65+,Support Worker,LOC-09,244,1958.3500000000004,27.0
Female,55-64,Registered Nurse,LOC-03,245,2029.8899999999992,16.0
Male,18-24,Registered Nurse,LOC-07,250,2020.4499999999994,31.0
Female,65+,Allied Health Clinician,LOC-08,96,771.9000000000002,14.0
Female,65+,Coordinator,LOC-02,253,2072.1299999999987,31.0
