date_key,location_id,primary_role,shifts_rostered,shifts_completed,actual_hours,planned_hours,overtime_shifts
2026-07-24,LOC-05,Allied Health Clinician,2,2.0,18.41,16.0,1.0
2025-08-05,LOC-01,Coordinator,1,1.0,7.92,8.0,0.0
2025-08-08,LOC-01,Coordinator,2,2.0,18.21,18.0,0.0
2025-08-12,LOC-01,Coordinator,1,1.0,7.94,8.0,0.0
2025-08-26,LOC-01,Coordinator,1,1.0,7.93,8.0,0.0
2025-09-05,LOC-01,Coordinator,2,2.0,16.14,16.0,0.0
2025-09-12,LOC-01,Coordinator,2,2.0,18.7,16.0,1.0
2025-09-19,LOC-01,Coordinator,2,2.0,18.299999999999997,18.0,0.0
2025-10-31,LOC-01,Coordinator,2,2.0,16.619999999999997,16.0,1.0
2025-11-04,LOC-01,Coordinator,1,1.0,10.17,8.0,1.0
2025-11-25,LOC-01,Coordinator,1,1.0,8.0,8.0,0.0
2025-12-09,LOC-01,Coordinator,1,1.0,10.5,8.0,1.0
2025-12-16,LOC-01,Coordinator,1,1.0,8.05,8.0,0.0
2026-02-10,LOC-01,Coordinator,1,1.0,7.87,8.0,0.0
2026-03-10,LOC-01,Coordinator,1,1.0,9.92,10.0,0.0
2026-04-21,LOC-01,Coordinator,1,1.0,8.01,8.0,0.0
2026-05-22,LOC-01,Coordinator,2,2.0,15.75,16.0,0.0
2026-06-02,LOC-01,Coordinator,1,1.0,10.03,10.0,0.0
2026-06-09,LOC-01,Coordinator,1,1.0,8.01,8.0,0.0
2026-06-26,LOC-01,Coordinator,2,2.0,16.23,16.0,0.0
2026-07-17,LOC-01,Coordinator,2,2.0,17.04,16.0,1.0
2026-07-28,LOC-01,Coordinator,1,1.0,8.15,8.0,0.0
2026-07-31,LOC-01,Coordinator,2,2.0,19.770000000000003,20.0,0.0
2025-10-27,LOC-09,Support Worker,4,3.0,26.02,34.0,0.0
2025-10-30,LOC-09,Support Worker,4,4.0,32.3,32.0,0.0
2025-11-20,LOC-09,Support Worker,4,4.0,33.74,32.0,1.0
2025-11-24,LOC-09,Support Worker,4,4.0,31.93,32.0,0.0
2025-12-15,LOC-09,Support Worker,4,4.0,35.81,36.0,0.0
2026-01-26,LOC-09,Support Worker,4,3.0,26.08,34.0,0.0
2026-01-29,LOC-09,Support Worker,4,4.0,33.980000000000004,34.0,0.0
2026-02-05,LOC-09,Support Worker,4,4.0,33.61,34.0,0.0
2026-02-09,LOC-09,Support Worker,3,2.0,18.07,26.0,0.0
2026-04-09,LOC-09,Support Worker,4,4.0,32.32,32.0,0.0
2026-05-14,LOC-09,Support Worker,4,4.0,36.34,32.0,3.0
2026-05-25,LOC-09,Support Worker,3,3.0,25.57,24.0,1.0
2026-06-15,LOC-09,Support Worker,4,4.0,31.84,32.0,0.0
2026-06-18,LOC-09,Support Worker,4,4.0,35.86,34.0,1.0
2026-06-22,LOC-09,Support Worker,3,3.0,26.86,26.0,0.0
2026-07-13,LOC-09,Support Worker,4,4.0,35.94,34.0,1.0
2026-07-16,LOC-09,Support Worker,4,4.0,32.65,32.0,0.0
2025-08-04,LOC-05,Team Leader,2,2.0,15.84,16.0,0.0
2025-08-11,LOC-05,Team Leader,2,2.0,17.93,18.0,0.0
2025-08-14,LOC-05,Team Leader,1,1.0,9.4,8.0,1.0
2025-10-09,LOC-05,Team Leader,1,1.0,8.03,8.0,0.0
2025-10-16,LOC-05,Team Leader,1,1.0,8.01,8.0,0.0
2025-10-30,LOC-05,Team Leader,1,1.0,8.2,8.0,0.0
2025-11-13,LOC-05,Team Leader,1,1.0,7.83,8.0,0.0
2025-11-24,LOC-05,Team Leader,2,2.0,16.14,16.0,0.0
2025-12-01,LOC-05,Team Leader,2,2.0,16.43,16.0,0.0
2025-12-11,LOC-05,Team Leader,1,1.0,7.93,8.0,0.0
2025-12-15,LOC-05,Team Leader,2,2.0,15.879999999999999,16.0,0.0
2026-01-01,LOC-05,Team Leader,1,1.0,7.92,8.0,0.0
2026-01-05,LOC-05,Team Leader,2,2.0,15.989999999999998,16.0,0.0
2026-01-08,LOC-05,Team Leader,1,1.0,9.8,10.0,0.0
2026-01-12,LOC-05,Team Leader,2,2.0,17.9,18.0,0.0
2026-02-16,LOC-05,Team Leader,2,2.0,18.05,18.0,0.0
2026-03-12,LOC-05,Team Leader,1,1.0,7.93,8.0,0.0
2026-03-19,LOC-05,Team Leader,1,1.0,7.79,8.0,0.0
2026-05-07,LOC-05,Team Leader,1,1.0,7.6,8.0,0.0
2026-05-14,LOC-05,Team Leader,1,1.0,7.98,8.0,0.0
2026-06-01,LOC-05,Team Leader,2,2.0,16.13,16.0,0.0
2026-06-29,LOC-05,Team Leader,2,2.0,16.07,16.0,0.0
2026-07-09,LOC-05,Team Leader,1,1.0,7.99,8.0,0.0
2026-07-23,LOC-05,Team Leader,1,1.0,9.74,10.0,0.0
2025-08-07,LOC-05,Support Worker,5,5.0,40.699999999999996,40.0,0.0
2025-09-16,LOC-05,Support Worker,3,3.0,23.98,24.0,0.0
2025-09-18,LOC-05,Support Worker,4,3.0,23.759999999999998,32.0,0.0
2025-09-25,LOC-05,Support Worker,5,5.0,42.81,40.0,1.0
2025-10-02,LOC-05,Support Worker,5,5.0,42.13,42.0,0.0
2025-10-21,LOC-05,Support Worker,3,3.0,25.410000000000004,24.0,1.0
2025-10-23,LOC-05,Support Worker,5,5.0,42.78,40.0,1.0
2025-10-26,LOC-05,Support Worker,2,2.0,16.04,16.0,0.0
2025-11-02,LOC-05,Support Worker,2,2.0,19.45,18.0,1.0
2025-11-04,LOC-05,Support Worker,2,2.0,16.01,16.0,0.0
2025-11-06,LOC-05,Support Worker,4,4.0,35.620000000000005,32.0,2.0
2025-11-09,LOC-05,Support Worker,2,2.0,15.73,16.0,0.0
2025-11-20,LOC-05,Support Worker,4,4.0,32.06,32.0,0.0
2025-11-27,LOC-05,Support Worker,4,4.0,31.93,32.0,0.0
2025-12-02,LOC-05,Support Worker,2,2.0,15.98,16.0,0.0
2025-12-04,LOC-05,Support Worker,5,5.0,41.83,42.0,0.0
2025-12-07,LOC-05,Support Worker,2,1.0,8.09,16.0,0.0
2025-12-09,LOC-05,Support Worker,3,3.0,25.79,26.0,0.0
2025-12-23,LOC-05,Support Worker,3,3.0,24.339999999999996,24.0,0.0
2025-12-25,LOC-05,Support Worker,5,5.0,39.629999999999995,40.0,0.0
2026-01-06,LOC-05,Support Worker,3,3.0,26.169999999999998,24.0,2.0
2026-01-15,LOC-05,Support Worker,5,5.0,42.2,40.0,1.0
2026-01-20,LOC-05,Support Worker,3,3.0,25.73,24.0,1.0
2026-01-27,LOC-05,Support Worker,3,3.0,23.979999999999997,24.0,0.0
2026-01-29,LOC-05,Support Worker,5,5.0,41.0,40.0,1.0
2026-02-01,LOC-05,Support Worker,2,2.0,15.809999999999999,16.0,0.0
2026-02-05,LOC-05,Support Worker,4,4.0,31.79,32.0,0.0
2026-02-10,LOC-05,Support Worker,3,3.0,24.550000000000004,24.0,0.0
2026-02-12,LOC-05,Support Worker,5,5.0,39.89,40.0,0.0
2026-02-19,LOC-05,Support Worker,5,5.0,39.89,40.0,0.0
2026-02-22,LOC-05,Support Worker,2,2.0,15.91,16.0,0.0
2026-03-05,LOC-05,Support Worker,5,5.0,39.8,40.0,0.0
2026-03-26,LOC-05,Support Worker,4,4.0,33.959999999999994,34.0,0.0
2026-04-07,LOC-05,Support Worker,3,3.0,24.08,24.0,0.0
2026-04-14,LOC-05,Support Worker,3,3.0,23.799999999999997,24.0,0.0
2026-04-16,LOC-05,Support Worker,5,5.0,39.52,40.0,0.0
2026-04-19,LOC-05,Support Worker,2,2.0,17.58,16.0,1.0
2026-04-21,LOC-05,Support Worker,3,3.0,26.869999999999997,24.0,1.0
2026-04-23,LOC-05,Support Worker,5,5.0,41.480000000000004,40.0,1.0
2026-04-26,LOC-05,Support Worker,2,2.0,15.79,16.0,0.0
2026-04-30,LOC-05,Support Worker,4,4.0,32.26,32.0,0.0
2026-05-21,LOC-05,Support Worker,4,4.0,31.760000000000005,32.0,0.0
2026-06-04,LOC-05,Support Worker,5,5.0,42.230000000000004,42.0,0.0
2026-06-11,LOC-05,Support Worker,4,4.0,33.42,34.0,0.0
2026-06-16,LOC-05,Support Worker,3,3.0,25.549999999999997,24.0,1.0
2026-06-18,LOC-05,Support Worker,4,3.0,27.189999999999998,32.0,1.0
2026-06-21,LOC-05,Support Worker,2,2.0,21.42,16.0,2.0
2026-06-23,LOC-05,Support Worker,3,3.0,27.57,28.0,0.0
2026-06-25,LOC-05,Support Worker,5,5.0,39.959999999999994,40.0,0.0
2026-07-16,LOC-05,Support Worker,5,5.0,42.510000000000005,40.0,1.0
2025-08-01,LOC-06,Support Worker,3,2.0,15.53,26.0,0.0
2025-08-03,LOC-06,Support Worker,2,2.0,16.7,16.0,1.0
2025-08-04,LOC-06,Support Worker,3,3.0,24.25,24.0,0.0
2025-08-05,LOC-06,Support Worker,3,3.0,23.41,24.0,0.0
2025-08-12,LOC-06,Support Worker,3,3.0,26.520000000000003,24.0,1.0
2025-08-24,LOC-06,Support Worker,2,2.0,21.689999999999998,20.0,1.0
2025-08-28,LOC-06,Support Worker,3,3.0,25.88,26.0,0.0
2025-08-31,LOC-06,Support Worker,2,2.0,15.85,16.0,0.0
2025-09-01,LOC-06,Support Worker,3,3.0,25.42,24.0,1.0
2025-09-04,LOC-06,Support Worker,2,2.0,16.18,16.0,0.0
2025-09-16,LOC-06,Support Worker,3,3.0,25.94,26.0,0.0
2025-09-22,LOC-06,Support Worker,3,3.0,24.330000000000002,24.0,0.0
2025-09-26,LOC-06,Support Worker,3,3.0,24.990000000000002,24.0,1.0
2025-09-29,LOC-06,Support Worker,3,2.0,16.17,24.0,0.0
2025-10-05,LOC-06,Support Worker,2,2.0,16.17,16.0,0.0
2025-10-09,LOC-06,Support Worker,3,3.0,26.309999999999995,26.0,0.0
2025-10-13,LOC-06,Support Worker,3,2.0,16.12,24.0,0.0
2025-10-14,LOC-06,Support Worker,3,3.0,24.74,24.0,1.0
2025-11-02,LOC-06,Support Worker,2,2.0,17.04,16.0,1.0
2025-11-03,LOC-06,Support Worker,3,3.0,23.72,24.0,0.0
2025-11-06,LOC-06,Support Worker,3,3.0,26.37,26.0,1.0
2025-11-11,LOC-06,Support Worker,3,3.0,23.959999999999997,24.0,0.0
2025-11-18,LOC-06,Support Worker,2,2.0,16.14,16.0,0.0
2025-11-21,LOC-06,Support Worker,2,2.0,20.63,18.0,1.0
2025-11-24,LOC-06,Support Worker,2,2.0,15.98,16.0,0.0
2025-12-01,LOC-06,Support Worker,3,3.0,26.25,26.0,0.0
2025-12-05,LOC-06,Support Worker,3,3.0,26.27,26.0,0.0
2025-12-11,LOC-06,Support Worker,3,3.0,26.22,26.0,0.0
2025-12-15,LOC-06,Support Worker,3,3.0,24.09,24.0,0.0
2025-12-18,LOC-06,Support Worker,3,3.0,23.77,24.0,0.0
2026-01-02,LOC-06,Support Worker,3,3.0,23.33,24.0,0.0
2026-01-08,LOC-06,Support Worker,3,3.0,24.279999999999998,24.0,0.0
2026-01-23,LOC-06,Support Worker,1,1.0,8.04,8.0,0.0
2026-02-02,LOC-06,Support Worker,3,3.0,26.560000000000002,24.0,1.0
2026-02-03,LOC-06,Support Worker,3,3.0,25.68,26.0,0.0
2026-02-05,LOC-06,Support Worker,3,3.0,25.8,24.0,1.0
2026-02-19,LOC-06,Support Worker,3,3.0,25.220000000000002,24.0,1.0
2026-02-27,LOC-06,Support Worker,3,3.0,23.799999999999997,24.0,0.0
2026-03-01,LOC-06,Support Worker,2,2.0,15.54,16.0,0.0
2026-03-05,LOC-06,Support Worker,3,3.0,28.36,24.0,2.0
2026-03-15,LOC-06,Support Worker,2,2.0,15.93,16.0,0.0
2026-03-16,LOC-06,Support Worker,3,3.0,25.96,26.0,0.0
2026-03-17,LOC-06,Support Worker,3,3.0,29.1,24.0,2.0
2026-03-22,LOC-06,Support Worker,2,2.0,15.95,16.0,0.0
2026-03-24,LOC-06,Support Worker,3,3.0,24.13,24.0,0.0
2026-03-30,LOC-06,Support Worker,3,3.0,23.9,24.0,0.0
2026-04-05,LOC-06,Support Worker,2,2.0,16.07,16.0,0.0
2026-04-12,LOC-06,Support Worker,2,2.0,18.04,18.0,0.0
2026-04-16,LOC-06,Support Worker,3,3.0,23.99,24.0,0.0
2026-04-21,LOC-06,Support Worker,3,3.0,24.31,24.0,0.0
2026-04-27,LOC-06,Support Worker,3,3.0,25.21,24.0,1.0
2026-05-03,LOC-06,Support Worker,2,2.0,17.32,16.0,1.0
2026-05-07,LOC-06,Support Worker,3,3.0,29.12,26.0,2.0
2026-05-24,LOC-06,Support Worker,2,2.0,15.86,16.0,0.0
2026-05-25,LOC-06,Support Worker,3,3.0,27.269999999999996,26.0,1.0
2026-06-05,LOC-06,Support Worker,3,3.0,25.77,26.0,0.0
2026-06-07,LOC-06,Support Worker,2,2.0,15.8,16.0,0.0
2026-06-16,LOC-06,Support Worker,3,3.0,25.11,24.0,1.0
2026-06-18,LOC-06,Support Worker,3,3.0,24.380000000000003,24.0,0.0
2026-06-26,LOC-06,Support Worker,3,3.0,30.319999999999997,26.0,2.0
2026-07-16,LOC-06,Support Worker,2,2.0,16.91,16.0,1.0
2026-07-21,LOC-06,Support Worker,3,3.0,25.92,26.0,0.0
2025-08-10,LOC-03,Support Worker,2,2.0,15.99,16.0,0.0
2025-08-17,LOC-03,Support Worker,2,2.0,17.62,18.0,0.0
2025-08-24,LOC-03,Support Worker,2,2.0,16.25,16.0,0.0
2025-09-21,LOC-03,Support Worker,2,2.0,15.96,16.0,0.0
2025-09-22,LOC-03,Support Worker,2,2.0,18.409999999999997,18.0,0.0
2025-10-12,LOC-03,Support Worker,2,2.0,18.19,18.0,0.0
2025-10-13,LOC-03,Support Worker,2,2.0,16.09,16.0,0.0
2025-11-02,LOC-03,Support Worker,2,2.0,18.55,18.0,0.0
2025-12-08,LOC-03,Support Worker,2,2.0,16.3,16.0,0.0
2025-12-28,LOC-03,Support Worker,2,2.0,16.06,16.0,0.0
2026-01-26,LOC-03,Support Worker,2,2.0,15.95,16.0,0.0
2026-02-09,LOC-03,Support Worker,2,2.0,15.620000000000001,16.0,0.0
2026-02-15,LOC-03,Support Worker,2,2.0,15.51,16.0,0.0
2026-02-23,LOC-03,Support Worker,2,2.0,17.939999999999998,18.0,0.0
2026-03-22,LOC-03,Support Worker,2,2.0,16.07,16.0,0.0
2026-03-23,LOC-03,Support Worker,2,2.0,15.850000000000001,16.0,0.0
2026-04-05,LOC-03,Support Worker,2,2.0,15.780000000000001,16.0,0.0
2026-04-06,LOC-03,Support Worker,2,2.0,16.0,16.0,0.0
2026-05-04,LOC-03,Support Worker,2,2.0,15.94,16.0,0.0
2026-05-10,LOC-03,Support Worker,2,2.0,15.809999999999999,16.0,0.0
2026-05-17,LOC-03,Support Worker,2,2.0,15.9,16.0,0.0
2026-07-05,LOC-03,Support Worker,2,2.0,15.829999999999998,16.0,0.0
2026-07-26,LOC-03,Support Worker,2,1.0,8.29,16.0,0.0
2025-08-11,LOC-07,Support Worker,3,2.0,15.91,24.0,0.0
2025-09-29,LOC-07,Support Worker,4,4.0,37.36,36.0,1.0
2025-11-10,LOC-07,Support Worker,3,3.0,25.67,24.0,1.0
2025-11-17,LOC-07,Support Worker,4,4.0,33.67,32.0,1.0
2025-11-18,LOC-07,Support Worker,1,1.0,7.77,8.0,0.0
2025-12-15,LOC-07,Support Worker,3,3.0,25.990000000000002,26.0,0.0
2025-12-29,LOC-07,Support Worker,4,4.0,35.32,34.0,1.0
2026-01-12,LOC-07,Support Worker,3,3.0,23.929999999999996,24.0,0.0
2026-01-13,LOC-07,Support Worker,1,1.0,8.11,8.0,0.0
2026-01-19,LOC-07,Support Worker,4,4.0,34.190000000000005,32.0,1.0
2026-01-27,LOC-07,Support Worker,1,1.0,9.97,10.0,0.0
2026-02-09,LOC-07,Support Worker,4,4.0,37.04,34.0,1.0
2026-02-16,LOC-07,Support Worker,4,4.0,36.55,34.0,1.0
2026-02-23,LOC-07,Support Worker,4,4.0,36.56,34.0,1.0
2026-03-03,LOC-07,Support Worker,1,1.0,8.13,8.0,0.0
2026-04-20,LOC-07,Support Worker,4,4.0,34.14,32.0,1.0
2026-04-27,LOC-07,Support Worker,4,4.0,32.06,32.0,0.0
2026-05-19,LOC-07,Support Worker,1,1.0,7.92,8.0,0.0
2026-05-25,LOC-07,Support Worker,4,4.0,32.18,32.0,0.0
2026-05-26,LOC-07,Support Worker,1,1.0,8.29,8.0,0.0
2026-06-01,LOC-07,Support Worker,4,4.0,33.58,34.0,0.0
2026-06-02,LOC-07,Support Worker,1,1.0,7.89,8.0,0.0
2026-06-09,LOC-07,Support Worker,1,1.0,7.76,8.0,0.0
2026-06-16,LOC-07,Support Worker,1,1.0,7.85,8.0,0.0
2026-07-06,LOC-07,Support Worker,4,4.0,33.64,32.0,1.0
2026-07-13,LOC-07,Support Worker,4,4.0,34.04,34.0,0.0
2026-07-14,LOC-07,Support Worker,1,1.0,10.2,8.0,1.0
2026-07-20,LOC-07,Support Worker,4,4.0,32.019999999999996,32.0,0.0
2026-07-27,LOC-07,Support Worker,3,3.0,25.540000000000003,24.0,1.0
2025-08-22,LOC-05,Team Leader,1,1.0,9.13,8.0,1.0
2025-08-29,LOC-05,Team Leader,1,1.0,8.13,8.0,0.0
2025-09-13,LOC-05,Team Leader,1,1.0,7.87,8.0,0.0
2025-09-19,LOC-05,Team Leader,1,0.0,0.0,8.0,0.0
2025-10-03,LOC-05,Team Leader,1,1.0,8.1,8.0,0.0
2025-10-04,LOC-05,Team Leader,1,1.0,9.35,8.0,1.0
2025-10-17,LOC-05,Team Leader,1,1.0,7.8,8.0,0.0
2025-11-14,LOC-05,Team Leader,1,1.0,8.04,8.0,0.0
2025-12-13,LOC-05,Team Leader,1,1.0,7.87,8.0,0.0
2026-01-09,LOC-05,Team Leader,1,1.0,10.11,10.0,0.0
2026-01-17,LOC-05,Team Leader,1,1.0,7.82,8.0,0.0
2026-01-26,LOC-05,Team Leader,1,1.0,8.11,8.0,0.0
2026-01-31,LOC-05,Team Leader,1,1.0,7.96,8.0,0.0
2026-02-13,LOC-05,Team Leader,1,1.0,7.85,8.0,0.0
2026-02-20,LOC-05,Team Leader,1,1.0,8.0,8.0,0.0
2026-02-28,LOC-05,Team Leader,1,1.0,10.09,10.0,0.0
2026-03-13,LOC-05,Team Leader,1,1.0,7.84,8.0,0.0
2026-03-14,LOC-05,Team Leader,1,1.0,8.17,8.0,0.0
2026-03-21,LOC-05,Team Leader,1,1.0,7.95,8.0,0.0
2026-03-27,LOC-05,Team Leader,1,1.0,8.11,8.0,0.0
2026-04-03,LOC-05,Team Leader,1,1.0,8.23,8.0,0.0
2026-04-18,LOC-05,Team Leader,1,1.0,7.79,8.0,0.0
2026-05-02,LOC-05,Team Leader,1,1.0,7.81,8.0,0.0
2026-05-30,LOC-05,Team Leader,1,1.0,7.96,8.0,0.0
2026-06-19,LOC-05,Team Leader,1,1.0,7.99,8.0,0.0
2026-07-04,LOC-05,Team Leader,1,1.0,8.27,8.0,0.0
2026-07-11,LOC-05,Team Leader,1,1.0,7.93,8.0,0.0
2026-07-24,LOC-05,Team Leader,1,1.0,7.88,8.0,0.0
2026-07-25,LOC-05,Team Leader,1,1.0,7.87,8.0,0.0
2025-08-04,LOC-08,Support Worker,5,4.0,35.330000000000005,42.0,1.0
2025-08-05,LOC-08,Support Worker,5,5.0,42.97,40.0,1.0
2025-08-10,LOC-08,Support Worker,5,5.0,39.68000000000001,40.0,0.0
2025-08-17,LOC-08,Support Worker,6,5.0,44.230000000000004,50.0,1.0
2025-08-24,LOC-08,Support Worker,6,6.0,53.03999999999999,50.0,2.0
2025-09-07,LOC-08,Support Worker,6,6.0,49.809999999999995,50.0,0.0
2025-09-18,LOC-08,Support Worker,8,8.0,64.5,64.0,0.0
2025-09-22,LOC-08,Support Worker,5,5.0,42.08,40.0,1.0
2025-09-29,LOC-08,Support Worker,5,5.0,39.87,40.0,0.0
2025-10-06,LOC-08,Support Worker,5,5.0,41.47,40.0,1.0
2025-10-09,LOC-08,Support Worker,7,7.0,58.28,56.0,1.0
2025-10-20,LOC-08,Support Worker,5,5.0,40.93,40.0,1.0
2025-10-27,LOC-08,Support Worker,5,5.0,39.95,40.0,0.0
2025-10-30,LOC-08,Support Worker,8,8.0,64.22999999999999,64.0,0.0
2025-11-02,LOC-08,Support Worker,6,6.0,51.660000000000004,50.0,1.0
2025-11-10,LOC-08,Support Worker,4,4.0,33.31,32.0,1.0
2025-11-13,LOC-08,Support Worker,7,7.0,60.94000000000001,58.0,1.0
2025-11-16,LOC-08,Support Worker,5,5.0,42.82,40.0,1.0
2025-11-20,LOC-08,Support Worker,7,7.0,60.92999999999999,56.0,2.0
2025-11-22,LOC-08,Support Worker,4,3.0,26.279999999999998,34.0,0.0
2025-12-04,LOC-08,Support Worker,8,8.0,68.13,68.0,0.0
2025-12-18,LOC-08,Support Worker,8,7.0,60.42000000000001,68.0,0.0
2025-12-21,LOC-08,Support Worker,6,6.0,52.040000000000006,52.0,1.0
2025-12-23,LOC-08,Support Worker,5,5.0,40.39,40.0,0.0
2025-12-25,LOC-08,Support Worker,7,6.0,54.05,62.0,1.0
2025-12-28,LOC-08,Support Worker,6,6.0,53.10000000000001,48.0,2.0
2025-12-30,LOC-08,Support Worker,5,5.0,42.0,42.0,0.0
2026-01-04,LOC-08,Support Worker,5,5.0,47.14000000000001,42.0,3.0
2026-01-24,LOC-08,Support Worker,5,5.0,43.26,44.0,0.0
2026-01-26,LOC-08,Support Worker,4,4.0,36.88,32.0,2.0
2026-01-27,LOC-08,Support Worker,4,4.0,31.68,32.0,0.0
2026-02-02,LOC-08,Support Worker,5,4.0,33.76,42.0,0.0
2026-02-03,LOC-08,Support Worker,5,5.0,40.739999999999995,40.0,1.0
2026-02-07,LOC-08,Support Worker,3,3.0,25.169999999999998,24.0,1.0
2026-02-08,LOC-08,Support Worker,5,5.0,42.19,42.0,0.0
2026-03-05,LOC-08,Support Worker,8,7.0,57.28,64.0,1.0
2026-03-08,LOC-08,Support Worker,6,6.0,47.08,48.0,0.0
2026-03-12,LOC-08,Support Worker,8,8.0,70.06,68.0,1.0
2026-03-17,LOC-08,Support Worker,5,5.0,41.72,42.0,0.0
2026-03-22,LOC-08,Support Worker,6,6.0,48.739999999999995,48.0,1.0
2026-03-28,LOC-08,Support Worker,5,5.0,39.75,40.0,0.0
2026-03-30,LOC-08,Support Worker,5,5.0,43.83,42.0,1.0
2026-03-31,LOC-08,Support Worker,5,5.0,44.68,40.0,2.0
